,r,b,tau,kk
16224,1.3481454417427961e-11,158.1568512586448,30.970488755218113,-4.824856009936393
15253,1.0482187350865782e-11,215.8359273549235,30.555458405382936,-8.41793539194171
19037,1.1387074928219089e-11,186.58171416555106,30.297579118578565,-5.897320730484653
23529,9.765117181349166e-12,244.85386460939785,31.244391235717604,-10.276278268968355
26853,1.0952743104108414e-11,199.99119123715943,30.057860995691975,-8.253887315290882
19581,1.207562813778809e-11,191.12224707414276,31.569662266537197,-6.8270914678562065
21907,1.0806265171856392e-11,207.45364605852225,30.949470288654414,-6.961119861758604
25663,1.1044498717446488e-11,200.2761234327423,30.86202885735179,-7.257885325510222
21012,1.082399331001787e-11,204.1658896935397,30.157455084398755,-8.17939375504317
23510,1.28045579658683e-11,177.58723065262592,31.486706525258572,-5.980183176852012
17963,9.701306201655572e-12,237.0940329759481,30.423415800052908,-9.845002179120382
26691,1.2718329931865307e-11,163.28796063458813,30.846730131455054,-4.713636688446502
19409,1.3400549409369915e-11,159.1796755583513,31.40608928693729,-4.166829213388513
23751,1.125579733808022e-11,239.09454519958499,34.090531307337564,-8.722461563474246
22585,1.0245747413039028e-11,222.7982892429932,30.79357638334819,-8.45609710291279
26502,1.204938047530096e-11,169.09477013766673,30.28342298343558,-4.123970393259859
23169,1.1179646341160476e-11,195.5107571688565,30.207417784838007,-7.191821000839477
15186,1.2886597581928135e-11,156.74269548206493,30.274128676390646,-4.328771048961004
23713,1.3505387708181544e-11,153.023322109925,30.418208119050266,-3.7179423126862106
23206,1.1112266413504779e-11,193.92722325679858,30.299671991489948,-6.683350857630552
25473,1.118190832709281e-11,208.07499860118403,31.60772476637643,-8.054879334097642
23943,1.4148638858269761e-11,146.49218315594348,31.19300927478755,-3.4259098789317215
20140,1.1256242888690455e-11,193.19918891618477,30.07456588517817,-7.044099594347397
22029,1.3093927498234172e-11,161.31662935172733,30.907981741377647,-4.111684869222985
23634,1.1639512834412964e-11,201.6541856993744,32.06950531883503,-6.74686429440378
20453,1.1223904481801037e-11,233.8406627315075,33.03302918030581,-9.340247157155694
20704,1.1366497946726151e-11,215.57320326265278,32.49637016735408,-8.08257568411687
28398,9.508067471500373e-12,247.20842466049515,30.5448316548466,-10.417567048860313
20938,1.194325556717683e-11,222.98410696774823,33.815427696138286,-9.394453152011117
17728,1.161216543194245e-11,212.21368447303053,32.624641318643036,-7.484584689966446
25232,1.3574901072550065e-11,161.32650587028274,31.418023134303205,-4.902274047739228
17727,1.1222153348059573e-11,198.80748884585861,30.62782811891284,-7.1097098441623165
16922,1.1606424089099271e-11,184.21574656201312,30.428680573762545,-5.941035320203904
20633,1.1913602527552604e-11,178.556444867608,30.36383476887858,-5.894591445187152
16379,1.0219712399843325e-11,224.3106436270272,31.099804066477315,-7.5007288854546355
24271,1.233332936063571e-11,171.96297315387886,30.141389785111077,-6.1029499626937485
24867,1.0964278928992351e-11,198.3569305424189,30.303886462201284,-6.6413948769039335
