,r,b,tau
19795,0.03769607423170972,219.79094187896777,70.35011744796908
18308,0.03528601256787703,172.708938575844,62.07136928379586
15433,0.025721700695417148,214.1091854935167,60.61260103472707
21422,0.028932033167353693,220.94702665582255,64.12948089198599
21342,0.03437201856008958,264.6565055226804,74.08266527673909
16516,0.03784269202956504,171.42428102153025,64.64483969811165
21315,0.03634224414953416,188.64446462013427,67.75704496053025
26188,0.03186283430295078,270.06705860369544,71.8706582548153
15313,0.03375769496344534,243.30179855775356,67.53682417352785
18285,0.03416584827071605,200.66736220595484,65.4603851370211
18254,0.030981046582030405,156.51513763046825,59.22183522209676
27795,0.03055500535086302,206.83765235175107,66.46013430343085
26823,0.025298589368052536,216.53628080624642,58.265842885724894
18398,0.03614390826527481,215.03962998594443,71.00962980679572
27431,0.030881686718214764,199.24309825017335,62.64079788473133
20295,0.036377193390317426,282.36577159670856,76.89118774521936
27076,0.03302295172106678,171.93914135388766,60.75630738555006
18895,0.02774741579921526,210.2184231570282,59.99232403890128
16219,0.03648391126469242,239.7749685493092,73.17519998397026
23907,0.03435950075793396,204.6446935704464,67.22408086383156
15598,0.024909402255867318,251.42078678550888,62.14297558138881
22917,0.02657448669370006,311.6035273396268,67.67644986473545
24132,0.036563761941183125,177.56447537719066,67.69566564109742
23720,0.03174029579473394,296.4342334035658,73.69453532520726
18430,0.032176730200207934,253.52707970665347,69.79208338375845
25280,0.03139879304941956,291.35027680250573,70.37698992861209
15428,0.039779557877900086,301.115798532879,76.96202093078892
18923,0.026145801349532517,203.66925260793442,59.852164126363654
15727,0.036627866835419784,265.42721786924494,73.4813587214266
27840,0.02887702142444707,267.4207092729766,69.72932595333509
17670,0.028335233564288326,203.01614168546985,61.872099316080885
25970,0.030541544762422698,305.21621386638617,69.27425248620989
28185,0.02697689683733659,285.71659720826096,65.14606998995637
25869,0.036709141508499306,274.18598385543993,73.99675778187266
25914,0.02471580412318497,221.60606012197186,58.21512783357093
27835,0.027534188692593903,210.0770358313323,60.38739482109306
22403,0.026122919642445418,189.94550954267075,58.542277750949864
