,r,b,tau,kk,__lnsigma
26844,0.009996786600105842,250.0882648263692,30.58857241839407,-0.0003675910395217872,-5.163895127946681
16959,0.009971427832638494,312.9114778165134,33.769513720932295,-0.00040207356588664887,-5.099259645247415
15214,0.010441204316502323,266.24827860042154,31.495183554939015,-0.0004397582043426724,-4.966482993468769
23097,0.01120324871456966,223.21586605127158,30.9446954180578,-0.00037211638951556165,-4.980370972263359
19775,0.011433258058443873,229.71222993573295,31.565085101492958,-0.00043119048198094417,-5.143933911120955
25630,0.01107598831550495,219.75299109741687,30.583206455634027,-0.00040862672241509816,-5.217029438816175
27414,0.009907933305180262,285.09095452395064,31.84242953414841,-0.00041869022209353865,-5.1657983959639076
25304,0.011398997937375524,211.40032671412885,30.199032092477214,-0.00044529170768825414,-5.243717442771661
15099,0.00992891733535153,258.6262278030625,30.1544576309952,-0.0004053184297815789,-5.070743884681724
18735,0.009081436330694656,290.5025132119307,30.802239511257014,-0.00036197084408190916,-5.096872218155273
25462,0.012980846858051242,174.8439081224123,30.29471093900982,-0.00044752770801583826,-5.132970758697885
21876,0.010044474928550012,235.4050129558275,30.109156580780983,-0.00034748145688203076,-5.090674883009149
23473,0.0127166304532229,180.20040822567998,30.297901832980887,-0.0003918588481015351,-5.075848138663469
20530,0.012177823614480955,211.24023029932033,31.22309075294804,-0.0004894074863053751,-5.196771639713431
25308,0.01299264313035265,195.73417953458792,31.359987761678276,-0.00047081641306150437,-5.257817884357945
16645,0.011777879703458156,256.0129526456745,33.42020948224893,-0.0004966153839502908,-5.055471062456364
20861,0.010831687533268795,248.25644552936856,31.857135470827274,-0.0004220619870566783,-5.162129441022083
22005,0.012072938930880713,194.91253345738636,30.10351232817608,-0.00045696070743573224,-4.99789051213951
17718,0.011989934016001198,219.503720945889,32.28011903272565,-0.0004422300950889718,-5.219252890102645
19121,0.010863344225420889,254.34854404323642,32.22609703905787,-0.0004280747291556115,-5.1029205731771015
27740,0.008879417182049952,332.4315717316997,32.39296128678218,-0.0003668978282205072,-5.0243421464536
20620,0.010292048636863083,266.64231242156933,32.11600377100146,-0.0004061710336218651,-4.905099105441198
20973,0.011287673983515146,214.55590012418713,30.32702664277019,-0.0004296201065059368,-5.1279506406366115
16012,0.01149462796607457,213.11773822508897,30.775557247725725,-0.00040718953189066624,-5.083223772402633
24495,0.01080540115465594,240.75536020279304,31.051194440034056,-0.0004330119241991447,-5.026719656177945
18487,0.00890188890038443,318.0710348382833,31.51289258632113,-0.00036330734773929173,-4.996634043995617
24464,0.00896923226420448,307.8476854899253,30.855418062548583,-0.0003883598134541958,-5.018238800636494
24423,0.009493818863541448,273.15172044254683,30.855957989278007,-0.0003476862927825669,-5.0361248116819795
26579,0.009625566616521898,254.89073353523287,30.062123365536713,-0.000370514193835721,-5.041731134089025
27049,0.010482430341659405,258.36992324716937,31.52241971979613,-0.00042236590397800347,-5.141609683617429
21756,0.011336531614057736,215.84577675885242,30.658912264731445,-0.0004192557389667218,-5.067205881654552
19090,0.010467931969291197,242.04487045801278,30.865263378955348,-0.0003977683524294323,-5.074040150629985
27696,0.010315511224250312,239.92344327377188,30.183728510583062,-0.0003956051642008282,-5.0431082778491225
27001,0.011456282896045807,221.3430610530171,30.972004830662094,-0.00044842861126669705,-5.279234560962209
28414,0.011863038890598507,203.0264191419466,30.292579635150442,-0.0004417799953814765,-5.0963888191503655
16977,0.010540558314243444,261.7172636941788,32.068523957043475,-0.0004255898761198204,-4.840929578928173
18357,0.010710753923753267,244.78344090700898,30.823046357067994,-0.0004442470080159092,-5.136566992882661
16760,0.011556524751573717,201.66395644019403,30.221702404590616,-0.0004148248232852737,-5.146909971982114
26847,0.01200145792502108,200.7298514317421,30.52119539356804,-0.000437475743293419,-5.094509294011566
18598,0.009544510774748997,268.27213204000134,30.583572142608404,-0.00035124379374100776,-4.972859773376052
25857,0.010863495066168766,231.11201181662992,30.849526563723657,-0.00042263197763094834,-5.126067203830465
17782,0.01226635031735322,210.12436416328168,31.94634116546859,-0.00046634726206151527,-5.065563136663419
24164,0.009459875502399441,283.64407510955164,30.763593004854776,-0.0003891796980177848,-5.075722034256139
26580,0.011537623987235157,212.88941408622864,30.490689764609606,-0.00044556111105316414,-5.11849278971454
28402,0.010688611728438699,269.8867102219366,32.295788148963645,-0.00044210603717532754,-5.0176890461631585
23116,0.008633574834760599,297.0202775291257,30.137100384362103,-0.0003379647271087562,-5.039032598028606
16756,0.010648579532841701,223.59098029956522,30.2606078504875,-0.0003783319698795719,-5.087393403093174
28172,0.010818730740691923,239.82954159363766,31.378294373118667,-0.0004037320191065113,-4.900362418034249
24196,0.00947260970744402,274.7608412326085,30.84150678686779,-0.00036405794385804986,-5.0798081339960826
25769,0.014793536685598341,150.5956470996516,30.844104916530444,-0.00043474147510891916,-5.037208852008504
25324,0.0133630660550308,167.99849769787556,30.19712042179202,-0.0004518795369701942,-5.0510518486198945
19157,0.010292716077960447,252.164198339089,30.453766601980032,-0.00041974159696624093,-5.192622042560627
26037,0.009713125740734099,293.419265741379,32.140807928738546,-0.0004002763805042962,-5.011055455856413
16610,0.010800888145742094,257.26551075295765,32.33028805038439,-0.00044193260875150545,-5.0710913793561065
21770,0.011808105922734746,217.96030639905183,31.796582876249502,-0.00042384913052438515,-4.949238990809914
20583,0.010109758224219173,243.6042141019575,30.560808684120087,-0.00037358228502439906,-5.104799774036719
17724,0.014768626156011665,147.57350565490933,30.330961241816418,-0.0003963926396853692,-5.05738007582141
28048,0.01120689112672063,242.4611338362943,32.41009566381034,-0.0004407442135039838,-5.110915123565669
17248,0.011974506880066129,200.3053469849462,30.1194818935631,-0.0004557497357311803,-5.048635339264155
24197,0.009998681315110006,248.59346728596185,30.265709615385767,-0.00039394542616884797,-5.070186605505695
15704,0.010202103037846353,250.07575240856644,30.328624911391906,-0.00041619878152116885,-5.079474863613811
15165,0.012189672998025643,190.6605295257223,30.694893527463794,-0.000407005795529519,-5.118248033914047
23787,0.009641260435279497,268.5931115195218,30.259466082760483,-0.0003963496525459633,-5.087758382005776
16206,0.011907508932783535,210.4123421202582,31.092447195226775,-0.00045877691677433146,-5.031223864444872
23751,0.010206151591261248,287.22087286093614,32.451725729554454,-0.0004231072267328685,-5.0540400400593715
23570,0.009952780919704524,247.22437820172155,30.123309837205202,-0.00037872398080534696,-5.008739786622192
24778,0.010898829768098663,224.03366125646673,30.155140993973497,-0.0004174618229263759,-5.132961303368482
19174,0.010896684768388577,254.81691738578786,32.59467239575728,-0.0004166570625412146,-5.019927236432386
19979,0.012444586871166586,205.1715054048667,31.987498922353694,-0.0004740501860216889,-5.170515263615229
27133,0.010260346753489125,242.18027539743935,30.31181237797428,-0.0003979167702966049,-5.081116939024794
20930,0.010572720376486325,227.31063731594583,30.07305608281702,-0.00039280573209678205,-5.122227323453524
25841,0.009387325472202635,273.825017603839,30.176134740132458,-0.0003843909074342882,-4.91932542487904
23069,0.008954336314589108,323.07850654274495,31.82828834821625,-0.00038226956874425695,-5.1298189084900505
21810,0.011365444951676986,209.60413496911266,30.03682926848864,-0.00042596218310343313,-5.215306997177658
21656,0.009553463003117534,268.59207785453293,30.42063638318887,-0.0003762376862091695,-5.0575633692988085
28150,0.00951285674455252,297.5199955713368,32.31933019958252,-0.0003701982997572384,-5.090587423658055
24803,0.01167716766139677,213.0421826190651,30.539337480952817,-0.00046057720874590315,-5.18143191617371
16601,0.012340393630916088,193.38700319415994,30.447217134726785,-0.00044675324667697245,-5.004191156269915
23741,0.01186367788532074,243.71748430224753,32.66932399868968,-0.0004970502714827893,-5.0428467686554415
26598,0.010578340402859848,247.08741385910807,31.235217481952258,-0.0004229438692465053,-5.135863933837452
20802,0.010660488321626074,239.13372571865318,30.7624361343005,-0.00040728906066641847,-4.970179744578035
24472,0.009295159004567552,294.16202222379997,31.238441640915656,-0.00038973790711049915,-4.973717200343935
28293,0.00925250907194958,289.5307884315105,30.863947366933445,-0.00037348697761250096,-5.14164364835802
22247,0.011139108855363268,237.88663350451884,32.11801213676634,-0.0004222075234922803,-5.084838155425294
25826,0.01075618714070554,226.7816453897253,30.215069786848346,-0.0004180813363497134,-5.207480381922968
17164,0.00991378702906983,267.87957305854485,31.139975521819494,-0.00038826769285084134,-5.076566263193694
19398,0.01026655909887297,249.4190903311155,30.64266608608619,-0.0004048213923770907,-5.125707017851994
16242,0.012092595580986644,204.21451185903027,31.10359163725865,-0.00045553138024532135,-5.072582695142884
25485,0.010633059903238798,231.5405442406597,30.317142234636282,-0.0003814823249831622,-5.17494046256969
20080,0.01063788589083671,272.69374941806126,32.83369111957711,-0.0004167636516091131,-5.049345099850922
27308,0.01025472401337839,250.0353415224534,30.94828769834415,-0.0004076569590160021,-5.0864787323618454
22157,0.009996005609485398,276.69310463147144,31.7017042941142,-0.00043025030248218754,-5.088589556843779
19031,0.010004088439012848,290.77304385743844,32.18737034867787,-0.00042966654947674843,-5.108549671508172
22993,0.009433087817814285,292.9322556619607,31.985085467517102,-0.00036177376942592436,-5.164628846776527
21257,0.010581451949368156,257.25051274738723,31.331999105241387,-0.0004425319558482282,-5.184798399696674
28011,0.010758794688921759,235.01835929387664,30.525034697135034,-0.0003990777533924763,-5.150304403827247
28487,0.015190880165559473,145.334992969185,30.309449743531246,-0.0004881319077880351,-5.181514862767944
22950,0.010699562139423848,303.70307339033593,34.5970162238916,-0.00044744947926847266,-5.06352496461376
28280,0.009844498796361961,295.7621988778604,31.612635799864425,-0.00043881009337103083,-4.919278559921132
24887,0.010241950970713157,254.67349981072078,31.192109571408594,-0.0004117955940255998,-5.156933949611589
24922,0.010638489139503668,231.65892362100618,30.27000921281264,-0.00040589816393548365,-5.157185562836361
27618,0.012050735363710048,215.1889156023385,31.259131230790125,-0.00045592479037127247,-5.103136888795695
27753,0.010571104504046178,232.4980288210308,30.322183852100657,-0.0004049645354435175,-5.0975054903764985
22385,0.009824908649325486,278.4941749460144,31.855387253286942,-0.00037164539001469636,-5.20360884979956
15813,0.011261327149441423,213.1625058459102,30.16481512966268,-0.00041508057426994997,-5.132011532903993
15177,0.010656583591707723,237.66897851047707,30.485661131040864,-0.00041487585766058945,-5.05628583699678
25441,0.009036024527434003,296.1511522313138,30.384675218735943,-0.0003839375736209747,-5.0759989732738795
23163,0.010345223852345164,245.80101080919678,30.49840933186291,-0.00042295276394051766,-5.144748722351673
18757,0.010795449376088052,225.4992837907018,30.284251133600783,-0.0004166675846257891,-5.131808640675937
26572,0.009628603035399702,270.5929729272168,30.073883332763064,-0.0004059593799833284,-5.21449931884628
28367,0.010942191801509123,247.2796487247527,31.742759299865092,-0.0004401260116917193,-5.156955378359943
18269,0.009538226725293985,263.94242131988574,30.10579965857227,-0.00038535944831500973,-5.133047563155861
17782,0.01226635031735322,210.12436416328168,31.94634116546859,-0.00046634726206151527,-5.065563136663419
15773,0.009286993717493771,286.8057870069191,30.762393781347466,-0.0003743179420024337,-5.234638749019046
22992,0.008904121961156362,300.39915656981077,30.887680692894754,-0.00036046901625758456,-5.1437321602605754
23656,0.011043519997309834,217.59127840829393,30.35423537576791,-0.00040433059767639676,-5.223154411077856
19447,0.011067353380663315,222.37567269138452,30.0418785751103,-0.0004328500794150118,-5.102733789209994
18707,0.012575837023086997,187.44435167419792,30.198849690291617,-0.00047182315914140894,-5.024181894223163
22945,0.010944408519675987,232.13835558692836,30.919903182701873,-0.0004373728766356032,-5.08941209410207
17781,0.013568369042370737,182.54211449635557,31.8458797144669,-0.00045643982153013076,-5.2313288453519045
17121,0.010519819857150094,244.57235832832066,30.516794113478294,-0.0004310441172641382,-5.130088558860357
15194,0.011099454049418676,232.93703368200124,31.554852458674365,-0.0004031108577225291,-5.127116456675435
24359,0.01168821021799492,204.2310955472363,30.293836805898035,-0.00042178175575950704,-5.1303241973684095
24164,0.009459875502399441,283.64407510955164,30.763593004854776,-0.0003891796980177848,-5.075722034256139
22457,0.010138663930809604,250.46925003691794,30.62831764557191,-0.0003960918067505376,-5.008971868902524
28141,0.010387789057847222,257.0150400155229,31.783196372390663,-0.00039574181649680676,-5.1098326113715276
15414,0.010146757029767894,260.90365748232307,31.04836957516195,-0.0004109940512619954,-5.0636111281624405
15347,0.010604770578073838,259.00234939993766,31.791331627174685,-0.00043520420780006157,-5.143368854206035
23675,0.010120388130381082,252.64974051178027,30.67532301913475,-0.0003953980456576058,-5.0564176039548725
23381,0.00938899107026864,299.2681209681161,31.910822497939265,-0.0003763992567248597,-5.247219510270719
27582,0.011288693767762398,229.18660158525088,31.121860884286107,-0.0004305878913031909,-5.171787297766836
20811,0.009659864188138459,272.4818090977495,30.978521298232888,-0.0003817143435375799,-5.180267125489637
18467,0.011937105021658536,202.51416585813712,30.546477983851233,-0.00045240414775162257,-5.154863988834739
24198,0.01019796406159815,250.11488658175654,30.83092131516833,-0.000391294978791755,-5.150830849165792
20840,0.01192962343206589,218.843403715969,31.629203762650558,-0.00047269219193922356,-5.110509245607522
