,r,b,tau,kk
25686,0.008254118340017916,153.9917390063895,-318.48864034617725,112.54468693309155
24587,0.01034405922280447,111.28207797026965,-355.6637568542159,118.70301160132868
20220,0.00987344095614387,109.51770759023711,-362.9773196960065,117.06257002872627
25568,0.008612551239797452,132.49612084370676,-355.7926144965365,116.51977751414492
20696,0.010074668052230971,113.04577388892959,-354.35000609054026,115.33796756920597
19192,0.005719086501173561,244.6389355451576,-433.4546107117557,137.7014118268155
20882,0.009187205134514329,125.8268117776545,-392.9781820269105,122.39888265873617
27754,0.00924031422035176,121.02658141790049,-342.3018313603854,112.77525522965702
28205,0.009570640144050976,118.79858145650351,-411.37744706875054,127.69779337324917
17316,0.011432982541579999,91.14000539344676,-356.61795485057644,113.58416412096008
26862,0.0076722593262570065,159.6269599566123,-389.3274247942111,125.0625199047285
25278,0.008838137032179033,130.13448828474628,-409.0951768269614,127.03992456378248
25388,0.01015839017622489,110.14722728293705,-354.75423913251467,116.47651011171277
20188,0.008512714434150874,139.68475298760748,-392.51789488633636,125.78246150799247
15517,0.010214950220417886,113.05734121429045,-328.42794627315004,112.0990277132378
23886,0.008621703018613574,142.31441212777634,-401.029635229406,129.81169449477466
22627,0.0070389872950474995,175.79451167627244,-409.9828559540177,126.54257196968862
22975,0.008052015683512775,152.23193529409852,-392.7427881528613,126.55674968222095
26473,0.009625614845811302,113.37623440086222,-386.7949761588055,121.13550661483876
18743,0.010883713654734912,98.14239956886922,-298.31799544988326,101.81172391127183
28494,0.011205910139425675,101.21985605944582,-327.1222028047967,112.32556380207915
25990,0.008636603141328634,139.93587661313694,-375.28778079424904,123.1178924071083
20331,0.00898662437885237,132.47373686245098,-359.6433390321539,119.76063915336796
23996,0.005719242072633622,242.44351707479865,-423.8199337997597,134.9605714567292
15449,0.009293968304186538,121.03665784619974,-356.819949339495,115.5589001119933
27309,0.010584617090580058,105.2459285496412,-381.4527613571852,121.86239797499752
25673,0.00901173720383045,133.34338517521815,-382.5849949520316,123.63552344187984
24832,0.0066722095283326685,198.24422889649085,-302.31155869132573,109.90479747017046
19606,0.009816387610475697,121.78301713847038,-366.2298001826987,122.38217261765404
18822,0.010633934995465093,102.7837213638001,-379.86378643873917,119.98529128455345
22587,0.008587493044340349,143.29105987992637,-388.54705674392784,127.26887685528443
24411,0.00782490737500615,159.57698990088363,-347.7504633182549,117.68173233768297
17574,0.007672357604273162,163.7040601380411,-357.96948188767334,120.51200037145223
24693,0.010444448650205239,111.06602202977238,-337.9878535258645,116.64331381876812
23132,0.009881076354038208,122.47309200711254,-307.9184358915006,110.23568674877265
22614,0.009390378367869226,122.30933447730837,-363.04855967408366,118.96216163612414
20303,0.008679597766688805,132.71824128846856,-406.5770077708895,125.78972639407665
19588,0.009073446550226637,128.54609673439603,-349.4436048025316,116.85003487616234
22626,0.011572024793964953,93.89582230326846,-349.36486792651476,113.54269028634725
21497,0.010648695434086098,100.04031360248086,-407.85991975696487,125.30969813103582
18335,0.008146930526241733,149.7629676569467,-405.01988094515116,128.432684877732
22999,0.008536669820600196,139.854244634749,-400.84522449726023,126.90180959572189
23248,0.007227953497353156,169.42793421218408,-428.8006552787151,132.35677090509637
26304,0.009200812220363355,121.44824723118288,-391.06962011441857,123.64399769726592
16660,0.007460023234303402,171.14965807933658,-426.10403888230996,133.71484973133587
20515,0.006566807703353616,209.84158978726845,-430.7887889757972,136.9495100824187
21804,0.007510027000069309,166.38537085048668,-366.1996858243039,120.99551067077779
23714,0.008468852039878929,136.6342968353732,-399.5637840353793,124.74551754715908
22225,0.0058063628097277074,247.41600272934585,-411.5579910421121,135.73101894006123
27415,0.010476727710235173,102.10381433328392,-336.28203391990047,111.2835643377607
28417,0.010381334293844777,106.59427489039025,-377.8909396427433,119.95216329972062
27851,0.00687992488719269,196.75003070810743,-356.0796277223387,121.42715263823843
23159,0.00964807096519365,116.36223295548851,-352.58716616032416,115.45631652715329
15514,0.009105167619578507,124.85993806151627,-375.9717973113771,120.3261928741798
24288,0.008959045104452385,133.54960670979222,-378.9154009589303,122.07540572773337
27337,0.00941787247337728,125.14456144940617,-352.1903743758372,117.76119803904814
15682,0.00886813464999624,130.63800292885261,-349.5443634566266,114.06947879634248
16566,0.008819049505356618,137.4973126083987,-328.67999542225107,113.03315054230852
20961,0.009244003403687839,123.54059742150812,-403.73069828090655,126.76064854878443
28394,0.012051585837799429,90.44411588593842,-338.26316277324344,113.26593615455369
17574,0.007672357604273162,163.7040601380411,-357.96948188767334,120.51200037145223
24129,0.010142517216701324,114.94275385757634,-371.17815901871603,121.33142856489512
16533,0.008855587016873227,130.57150332637687,-388.69720107990264,123.10524862913559
18280,0.010763377253378923,97.63396989529903,-379.80616618906555,118.43842349353964
15257,0.01147501762531305,92.36411831593813,-371.43241125578675,116.47442231744199
19729,0.00793022343585259,149.0620113369228,-387.37353546620153,122.07662148230713
24510,0.009008110242073198,127.95582760095584,-398.92878884350284,124.67203525294711
17763,0.008265229171847287,141.51995142377376,-335.8258377071056,113.09387318924769
19474,0.00926432911764748,119.01543185327344,-412.2868502659601,125.90212332707995
19703,0.008844304265392174,131.31090525161227,-333.8743692386816,110.98813897439584
25377,0.01004214547334512,111.18836418954605,-386.2311929465876,123.2227898868202
18178,0.008394946537996157,145.7999787587252,-384.70678072384703,124.9455344613802
17874,0.009170882918631534,125.67001387253835,-365.256737352936,118.17388706023242
18402,0.008286932136221604,143.56498253221392,-359.04235058660146,119.85302024546493
15274,0.01093914497357297,102.85246245104085,-382.0761334504688,121.61831888363109
21300,0.009601036011583181,114.3096392607822,-338.4528520127217,112.1839753911983
25442,0.007330308962285329,177.09175991477994,-385.4836759640696,126.20750162706483
27101,0.007737655801265852,159.026620391635,-390.93872982633957,125.63364845375297
26724,0.007960229981519063,149.41262578478646,-351.5484807388958,116.61925050725627
15796,0.006745642441379413,195.04222500439346,-426.2438448194751,135.1450810367427
27462,0.010653952361996306,103.29169379002072,-333.2147742815358,111.14715983173505
24912,0.009319598662939372,122.09604549761414,-379.04676598962783,121.46760237630058
16185,0.008888438833685904,130.14543385789722,-403.6798237094188,127.3451891807198
23247,0.009855615598861205,114.6556537295088,-375.19637865677595,120.73476577636747
25809,0.009627399698196305,124.33712676467928,-340.54235773482094,117.8083360014602
25647,0.010049799554240872,112.8457535308457,-319.9500599816062,110.21259287349751
27565,0.010340194144058432,101.07521108788583,-339.4987345401539,110.19842078937671
28302,0.009122908448280407,135.59678806946079,-336.0313089119716,116.32310060230407
22148,0.008675561909829078,139.3996850055905,-377.713027885766,124.07482144902663
27064,0.00862935067353793,139.46044013835765,-364.888081122838,120.19865656884205
27964,0.009519904753083173,120.67157110817192,-360.4829216007914,116.7973617969464
22159,0.012030349266769418,86.61960788590707,-361.51940446355843,115.61267166206677
18290,0.011432182793051478,90.92200422629405,-361.94537042308514,115.05435228742455
17874,0.009170882918631534,125.67001387253835,-365.256737352936,118.17388706023242
21273,0.01111610788776502,95.61868551063247,-344.5543538775122,112.2214497357831
21112,0.01077839507850958,99.44004891664912,-378.94504745674,118.303697551746
15445,0.009616966131101173,118.86936829447134,-410.47227617594007,126.75543252026856
16993,0.006671664600728488,189.25033678284655,-429.56132214662176,132.92853444247854
25960,0.008920890878260344,131.07358418423175,-372.9401081549496,120.84204627744313
19143,0.008488429960701463,135.89042898931024,-380.1217892030993,121.48182152507869
25236,0.006830446068756346,185.75781366740773,-355.36290958452173,118.35351165635896
23194,0.009635179162615077,116.64590500168904,-386.65643008924405,122.10381044167602
17312,0.009708725447716718,123.37297670308088,-326.776223765848,113.93985819493348
24693,0.010444448650205239,111.06602202977238,-337.9878535258645,116.64331381876812
23272,0.008880344477634921,136.55798038541275,-360.1253398663219,121.51245815432705
23965,0.008251232544023069,143.82156628778526,-418.08101866159745,129.84658118494875
26575,0.00932406004751305,127.15688102750143,-386.6965284584136,124.35388891034042
17835,0.010291299162854229,112.02491314669754,-330.03340088781135,114.07030848924303
17354,0.00654649544102339,202.4130775448887,-396.3147691907595,128.541423210438
23122,0.007300153804786885,176.58963657822682,-367.86556624876874,123.49015379115714
23010,0.00988070505485568,113.87144823788411,-385.6559787800499,123.15883357264146
26510,0.01026029015753921,112.21411760235246,-354.4835271685993,117.52281879204212
27889,0.010607762320677509,102.75842524558418,-388.3880744118991,122.60070030432158
24170,0.004350525046245102,370.43580529788505,-438.72946482650514,142.73624547951457
21799,0.007779860952431104,155.91671331211063,-406.2816102332833,128.3966767023388
28451,0.007463432945346458,170.38867605859843,-338.0565237918388,116.06680216290584
26311,0.009113376509172969,122.20281394477786,-395.163598663883,122.75188487678966
24454,0.008581425733193248,132.8205645802989,-385.90628578955915,121.08440746223698
18905,0.005973854857932353,225.3635758938867,-363.4727958177463,121.59763568635731
16125,0.0078002164138427695,161.7989160555359,-385.87434624378295,125.52821218930343
22887,0.009210872006799894,125.40741449152792,-390.7837131254081,125.21993544916594
15012,0.010851853156087719,103.09996978380644,-318.0570625271081,108.61279273354626
16815,0.01055095459416307,104.09088556966398,-354.6465647707078,115.68642702708833
20193,0.01003293309236514,108.59455453371824,-372.98308177521244,119.06431392485008
23881,0.008981019799609778,133.22719963793003,-363.8517703347712,120.25323545189713
18058,0.008436293800907846,138.31703558641368,-382.02174964929776,121.37311696954035
26620,0.009183323907360616,120.86955560171667,-412.9038878911998,127.14882979063242
27905,0.008128830751420896,149.87722416917725,-404.7490167598646,128.27569157828114
27991,0.00810759229723768,145.5928221445494,-437.46269397451164,132.38899823737648
18787,0.008374790792035994,140.63885466759433,-409.0324024269373,127.71440395477423
19997,0.00824093472463136,142.02360110698044,-407.16583067205136,127.4685206710126
20604,0.008439361601338959,138.94054958072263,-385.35877166831204,123.49017547378384
22433,0.009252750096315479,128.9706335667481,-350.80036994030877,118.92396806778918
21279,0.008144598759994523,149.8423263358023,-375.76287626888166,122.4237994246094
24361,0.009071621697495251,127.87754131494252,-389.5548170086197,124.1223756330596
15772,0.010533395541879688,109.32317202872521,-367.5275527167505,120.54125968199419
24624,0.010371947919972025,105.3419217028997,-357.015437368869,115.7664413913125
21223,0.010261415187255964,110.40967321796806,-349.282284312369,114.50321056588395
17318,0.01040272953919348,108.24340066009684,-365.7950875322879,119.00710910107225
