,r,b,tau
17499,7.614541783730731e-11,555.4772382636932,106.01255627717893
28356,7.647660498238513e-11,563.1272403727506,106.7330239960613
27040,7.784332305417844e-11,553.9804914063236,107.20632048828817
27463,7.386268919699607e-11,582.1610556740586,105.89777047746621
17232,7.790467616917133e-11,533.9624336546327,105.58659951612809
20746,7.358861636250616e-11,608.1250820995735,107.48178760077548
22087,7.372855629960419e-11,582.5419103739707,106.06295414420889
20257,6.984098777322293e-11,606.4987383212325,104.89701481695185
22087,7.372855629960419e-11,582.5419103739707,106.06295414420889
21701,7.550578500705542e-11,585.4738367059566,107.14577722709296
22995,7.393021528887654e-11,620.6634976278245,108.27922928092237
27315,7.411080107816786e-11,599.4011613798832,107.21097451679512
21729,7.285687320963042e-11,575.1724055442219,105.12501917764163
27733,7.641277218998982e-11,538.4749886036859,105.33389088298843
24248,7.29648922953124e-11,556.8331602173878,104.32073262720137
19026,7.286091409021814e-11,616.9104332715888,107.44824905634664
26283,7.498311050262268e-11,579.2134101219957,106.74165343714625
15643,7.037874028145245e-11,631.486215566292,106.4379057314885
20228,7.146690884730122e-11,624.0344489145983,106.98671393232887
15828,7.272943114663714e-11,607.3392281630609,106.75324306193565
23880,7.47158983379074e-11,554.1876918055704,104.91250123146163
23186,7.503351153994186e-11,566.9841307814959,105.92579017056059
28135,7.541402976377253e-11,614.6528257548449,109.08355512120022
26745,7.21911858200466e-11,602.4771315671953,106.15919919602624
19020,7.100868404399757e-11,657.9703525349502,108.31313956853376
19535,7.331084169172907e-11,598.960147970509,106.52818574100961
27308,7.613440593428869e-11,561.4307800723528,106.19280281951758
16091,7.081546923614181e-11,661.4410918061523,107.98445567134179
20489,7.370639022895985e-11,579.3429988631933,105.90562292348235
25789,7.544344521895652e-11,557.6000857394529,105.70712449177823
17878,7.123698173958154e-11,631.4196326879885,106.83945889920165
15665,7.583284034446151e-11,582.8204053003494,107.11339546339998
19474,7.448793593647494e-11,571.6221694259189,106.03092120287515
26130,7.335204975713658e-11,563.1260966514592,105.02666157536389
21258,7.018184213295319e-11,595.4640120846104,104.49212063555389
19225,7.585225906550072e-11,521.1460968314044,103.77125611369043
26416,7.374874071717932e-11,601.5743998033809,106.90339068761253
21748,7.348120932818482e-11,562.9467370112768,104.83945821823258
16320,7.313010926827467e-11,591.0292730637259,106.08543535802345
18644,7.137542259381034e-11,632.4861225407974,107.39479013882253
19576,7.580851963937458e-11,563.9015446553756,106.18392362122373
26451,7.501714924419875e-11,587.8095285944628,107.28942270697404
25851,7.229091589225453e-11,622.3611986210379,107.29892180309187
18207,7.646135663662273e-11,581.2380442688026,107.73785676442368
25980,7.433550067696181e-11,579.1690297810537,106.26714557851078
26753,7.277239373965371e-11,592.7303721247799,106.52971075998089
25380,6.964912626367703e-11,633.9081897278832,106.1115373868162
