,r,b,tau,__lnsigma
17720,0.7077542185134479,128.29334275392515,53.21170453664294,-4.616975867150641
19606,0.597088623253025,131.56386912348228,49.80676777169151,-4.641478259742918
20189,0.7016225854231553,164.68838111462833,57.86527411186978,-4.740937398589669
23404,0.6460017882641427,149.88228915864758,52.6487684984819,-4.708725761896638
22357,0.5838775387697168,175.23840815994978,54.90858398537734,-4.641796242123233
23498,0.578439913590389,132.0088379844056,49.40297638359114,-4.6096125349580435
15822,0.7606858887914707,123.70522541979301,53.260257380244624,-4.66243816373061
23502,0.6336994000468056,107.79960084696565,47.272479080274245,-4.652933466510206
17852,0.5820073828614174,160.52373665764733,52.90793009647366,-4.6575744398295695
26045,0.659914918648278,129.31689303048842,51.200381230225524,-4.612799433931442
25237,0.5774371293747154,195.8973714467454,55.533717147566804,-4.639316014603563
23934,0.5847128714613853,142.50143635418297,49.865748281596,-4.583327743354046
22760,0.6058909885785146,163.59162128484417,54.04334613026484,-4.675530730079475
22348,0.667978899375765,132.23880946209127,52.11844258127063,-4.662067723415308
18187,0.6507822109172979,137.91486140215423,52.10270092624231,-4.746781611209034
27385,0.709157789682256,97.81194500595173,48.118192819318324,-4.697583683960363
21030,0.6890384227171531,128.68406517168515,52.045982584573736,-4.655654434483474
20052,0.6636361825755563,139.64203423876563,52.07979250448901,-4.684733468468412
19974,0.5477347306111889,149.49572688955556,49.549619123608046,-4.670658089748693
27742,0.7775611576439114,129.61132145896906,55.373127819743495,-4.69198415908116
21270,0.5862362545624855,198.28307912246828,55.513705322740215,-4.6630747870022
17129,0.7030150601363342,177.8190797658546,58.85882044789368,-4.634529642717985
25604,0.6698713468162779,118.28250530867331,49.658771508834455,-4.665508220205462
20235,0.6714309020683286,140.05607412791815,52.29050970221633,-4.6402501082111876
16597,0.6895087985528161,127.22192196872248,51.30504698863211,-4.698163389972248
23702,0.6305551139806794,134.97190721553073,50.775602780737756,-4.678257361450199
21209,0.6368149150353092,161.96626268401033,54.08859649836744,-4.748064982231128
25248,0.6806708021721403,124.80033106966272,51.4540781526237,-4.721702864027263
17084,0.5282782056297224,213.41932522885804,55.67640395610364,-4.604658115845376
24397,0.7446735664765887,127.38108422507219,52.94047792675546,-4.672905443072013
20965,0.5584001883820899,201.2549603156023,55.15401336917151,-4.682314186038871
25154,0.6616633753746614,111.12291355622705,48.5727928669067,-4.646721111266437
15135,0.6960342318995973,145.55494624716906,54.21769326618892,-4.747670380602211
16606,0.6578962847009678,109.887887945047,48.374486110240056,-4.639824674348433
23738,0.70525892191989,136.74484605368602,53.387753635171315,-4.6637971595866885
22771,0.6567096231804217,130.03823005942422,50.200098862953,-4.736495830393603
24472,0.6188528569212729,183.6659158986563,56.53430001591679,-4.688960897826876
16663,0.693021848288449,130.25636925937715,51.713200909449334,-4.6395567331493535
23879,0.5978437817714863,149.7384463902814,51.51930238532576,-4.656761746226706
16549,0.6993100678330431,117.21525631037471,50.492280298858645,-4.655198856146961
25450,0.6065556996444306,131.38381586911822,49.53914259806631,-4.687125596914759
23305,0.6439624209724396,154.32130178908818,53.41712828790337,-4.738162954727404
19741,0.5727104613435593,173.41648652249253,53.456456812172554,-4.64399709409643
16286,0.6073675546264478,196.8140672381714,56.89214040267404,-4.673488196629608
27211,0.6228517029014062,131.74618421427698,50.49805756765686,-4.685109511151914
24396,0.5986869550119108,152.9972631584289,51.766787297395176,-4.681242876543327
19177,0.6118290333775798,141.79533713607387,50.97923637364991,-4.7453820196990035
24947,0.6275919554474216,126.93903028103426,50.108757323755306,-4.70902208769841
23774,0.6705719339872566,150.63999558859047,53.690370914826204,-4.711676863341086
18087,0.7074100855824937,118.19822619874931,50.98599420081416,-4.676509820994182
22470,0.6608740596617144,127.72946997973276,50.92791863274865,-4.652382120312766
19364,0.6339751790647085,166.22098247040395,54.66248196472807,-4.663034841669554
26575,0.5676267022916981,180.29604436088474,52.97442921627755,-4.682570076700136
22919,0.6243893410906404,158.53478326916334,54.20888560617842,-4.689351804505281
28161,0.6766883335387527,140.79502599264407,52.979163100296695,-4.692041777829095
18289,0.5907496108547519,161.4892706139339,52.7653889540003,-4.7060874352184285
24432,0.5843087924619759,119.75245727986524,46.85756195899443,-4.718321645105419
25428,0.7765493081121156,119.99830739453247,52.94434882493662,-4.622208159573966
26306,0.515217486943774,177.0814643873564,51.41235278868957,-4.730397411737289
27771,0.5621104746026434,130.17763218225267,48.38690020597704,-4.673132647012345
17798,0.6812682359977614,135.9839771095768,53.090357434601025,-4.601978155861614
24081,0.7715916394527137,122.95817845325686,54.391341533280404,-4.650897850812967
15680,0.5886246113402842,170.25066995550364,53.23166638716415,-4.636421300816458
17408,0.6849314190989103,134.98938255237306,53.296407462753514,-4.67285771340865
23969,0.7921934856679692,143.0687009361194,58.25874729140726,-4.5842620958715035
16916,0.6984498113889208,152.4130740056494,56.24506431915348,-4.619208439190668
18502,0.5955861663289194,128.5491068518607,48.391980897858026,-4.647630759051125
17381,0.6761896405568404,138.7300220838901,53.531783643702106,-4.601366064183864
20450,0.5949096721844738,163.1131847025814,52.819658476390956,-4.665767217663185
17512,0.6946709066880931,138.04070598608013,53.20249471795865,-4.6539751533993226
22546,0.6789035028896705,118.8882638451863,50.94215925417701,-4.72482919470005
19475,0.5624248664532514,145.85256350035996,50.04358997780121,-4.602319072680891
26892,0.6543655641733871,118.83722698860757,50.18113885778531,-4.729112696925982
15609,0.745081446542086,133.86376181742926,53.96266252768071,-4.665282136277117
25959,0.5816679959585165,156.57674074236263,52.32274145771225,-4.738764199011929
26850,0.6655960119794307,124.78230044065532,50.84501796309599,-4.719032196743249
16638,0.7714689020685829,106.33615364652715,50.065517220048456,-4.692269265824529
17672,0.7419329746240952,142.02827347527588,55.09519461365283,-4.657005515803802
17928,0.6256661441986435,156.37607690096144,53.39890322893222,-4.681166261908442
25537,0.6165302852749466,165.909371931937,54.481003578667874,-4.615733603449754
28285,0.5737463492678618,151.34329767988373,50.300831705847635,-4.586626908979499
22493,0.520986961138951,169.24363938461644,50.560476374265406,-4.709287336053377
22098,0.6895983463205408,143.32207182911935,54.71649904713316,-4.679797147468756
27780,0.7212975836839934,116.4419854634252,51.06753725088238,-4.734832403177432
15180,0.6880658146236723,130.0102351247616,52.67628424152087,-4.724953102221575
16761,0.7341185716687932,152.11804525392657,55.995416789364505,-4.709513778871232
26465,0.5919110980898014,141.90445019912596,50.725623333492905,-4.653719783896559
25558,0.5529155984478481,126.43551033328865,46.99288285474451,-4.639815084164214
26471,0.6546363809121307,163.79127091085041,56.18227257978519,-4.700593342670087
25550,0.552887805507037,138.81142973637233,47.91586702971155,-4.703207493289348
23335,0.5593497296786816,142.2031639045219,48.53093392319446,-4.6344329466512235
16139,0.6910866607728935,112.58649228434484,49.2054089683543,-4.6737041288608685
16554,0.6747124199946672,122.25966280719133,51.22465489341969,-4.655121895001378
23614,0.6501993383145348,171.17530024536995,56.26024141012041,-4.66934972212103
27145,0.6301292282632792,149.1671750100973,53.246883222103264,-4.681496671909747
24947,0.6275919554474216,126.93903028103426,50.108757323755306,-4.70902208769841
20509,0.5636155395122094,120.92836946598327,46.04451652821301,-4.677907164399104
18122,0.7102001259860671,125.8385464354661,51.82689686413422,-4.65861054203819
25379,0.6863369882329766,118.34137279557284,50.42543857267158,-4.6589446760892805
25072,0.5619996328792904,133.44407555250214,47.4646465835454,-4.700381803449083
20201,0.7351335803575973,130.95370630947548,54.84857025213946,-4.708680976342221
16096,0.7699651479646668,105.75270209303915,50.68276035501625,-4.724529171356016
25650,0.583628863049838,141.38405518287018,49.36663046742984,-4.6931394895292184
26530,0.5697430934189254,139.0492773526836,48.95117739291765,-4.693416063638627
24081,0.7715916394527137,122.95817845325686,54.391341533280404,-4.650897850812967
18187,0.6507822109172979,137.91486140215423,52.10270092624231,-4.746781611209034
16437,0.759361987653534,150.26998328764134,57.46802004396741,-4.676223510197443
27441,0.6283661551340286,129.92101111936907,49.769799426270815,-4.6252415631428985
24938,0.5677341907786556,161.34722627428243,51.603726745759545,-4.679334894619489
21506,0.7000079551740367,112.57638634641326,50.15532730377218,-4.656546254873548
25124,0.6209826696943854,117.09519145999401,47.69213193956208,-4.642123318743501
26378,0.675042812175649,160.66558521400137,55.41299521945591,-4.654652953932921
27424,0.6171864476680082,145.92563020711972,51.272953176557344,-4.672888436587019
16997,0.5905868388850397,131.61657045884226,49.282450897162576,-4.691593597365643
20660,0.5786145286839868,181.0531924321678,54.092379262844915,-4.670805782195324
16720,0.5519671835528019,152.5562752634909,49.654352471660324,-4.726192717360011
22256,0.7879171066134458,108.2099522628088,51.70533892042531,-4.696692231604689
15725,0.545677720501107,141.78292842793152,48.38563432300794,-4.637253656395484
19581,0.7026678839322842,105.31823307507437,48.67906304947251,-4.740284122164836
21419,0.6592804957854711,151.40077867211335,53.97366202656859,-4.657947680029389
22479,0.6531828687905987,116.5026531183087,49.17790451455114,-4.675865593378062
26402,0.7059995110570608,140.21038797844685,53.580912021124654,-4.747283731525806
23121,0.7837262284516459,108.74453481708116,51.579625045968676,-4.679985670909975
22429,0.623307282649021,187.35562777870348,56.8592777003158,-4.618282477049877
24326,0.7027675084138449,156.83793856181995,56.24338722989243,-4.675001963339795
23956,0.7520785058253164,124.00498312879893,53.47369860808175,-4.701331438334597
21675,0.6925124957919104,132.045544410952,53.16292128980549,-4.667766655338388
20448,0.5478207439555565,154.41674260751228,50.54765570224018,-4.697240241057439
25553,0.6464154126867919,156.94269501634497,54.76663560273029,-4.607979637939607
22266,0.5261346718369015,165.46930102319206,50.782533774728215,-4.682996385866955
28169,0.5957252235084385,133.28642934378271,48.97806537435116,-4.713229478258539
17758,0.6229301220896198,121.73047084797336,49.09753718382565,-4.689281611075946
25099,0.7641428477688306,127.28810339718584,54.790895888322055,-4.688806725894973
28117,0.6434732285424366,127.79227442019834,50.73197929982148,-4.702245492453485
28042,0.6086986175030744,167.40719612796227,54.24176559167279,-4.6098280334403885
22628,0.613643656433781,151.70599079381168,52.960009776560085,-4.663357937123333
21048,0.5272637021667895,145.34479123344127,47.922874392583644,-4.665746014797102
22282,0.5933314514208107,138.76812073684863,49.68325339821705,-4.690387879400113
26903,0.6114171826198764,132.77588148318313,49.94869481613203,-4.692516634951181
25779,0.6893950130408054,144.8927034923163,54.08945140278578,-4.592508587861759
19204,0.6276100556545336,121.303088235297,48.406710136504444,-4.667252665353002
21084,0.63825551613284,121.06719391386606,49.3163068539978,-4.7182472311286645
21415,0.5324154360257037,179.17326005171012,52.84692133412635,-4.624523558519145
23116,0.6299136809730503,185.12817602347099,56.55276734030517,-4.663672862556105
19158,0.6918257373995221,134.99929824225833,52.96421091151433,-4.693595336305999
23633,0.7164219357278245,113.90242533487375,50.719706642416384,-4.70178859093902
26039,0.682105319555285,145.19411206906597,53.424152870182596,-4.693185617090143
22042,0.5272048939117081,147.6688366235095,48.65828833391771,-4.688223974545234
25600,0.562031456119995,130.1535612709193,48.17255833079089,-4.644633206671701
15825,0.6222891750439945,138.71477876396995,49.94286476051422,-4.603309408056913
26529,0.6807474468749674,98.96690845834995,46.82425519077941,-4.6881262925457206
28301,0.589217279093747,157.2242409279496,51.516462560918065,-4.698772148330154
20298,0.6526383812043604,203.3651110125382,58.84123375676917,-4.657233533635567
18344,0.7053338795649569,154.3827145278326,56.76570279087334,-4.70438293882488
23048,0.7517022128188735,125.23222696912613,52.54945215557,-4.60204157206392
16950,0.6371559007846193,126.19466058837234,49.16854437094486,-4.603534785502736
15364,0.5521006595550945,146.14286764133234,49.453264663436585,-4.697654098663419
24697,0.6827629330027869,120.21338943786377,50.90968102646216,-4.69582162801585
20355,0.5986923526799528,167.41838366988745,53.0437742433842,-4.632750619308033
15783,0.6976101913293357,115.42519451182758,49.95890089439803,-4.657320401719187
19677,0.7082333102651256,108.46066791353402,49.820259723250665,-4.621658934241014
25018,0.651974306763064,148.65383338251957,53.63774383620771,-4.662194003507825
24437,0.6392760044349205,132.50481879399806,51.07426476230627,-4.6950413924410865
21493,0.6389490389204526,209.66173088477336,59.06541178483934,-4.644305360460277
24424,0.6268916203228184,149.54131310132985,53.28723060530965,-4.693977007180393
26565,0.6310594644673949,131.37055795636488,50.989432714283986,-4.686027003754825
25411,0.7079148901379864,132.1328612404619,53.10333398372869,-4.6720357149879295
16479,0.6754248429490958,145.8402531783025,54.42262945193437,-4.647807625762126
27242,0.6922364076084884,148.15492965042415,55.2892372810649,-4.690119047915817
22394,0.6322789095636666,120.32351051290763,48.4867547904707,-4.67312771987923
16317,0.6492246964208668,162.2410900783447,54.854621320912806,-4.673331456995062
21037,0.553774486057961,127.32198068423926,46.89198314867636,-4.685544334984894
17652,0.5310835692334486,145.65745730114747,48.66361047409639,-4.640335401157567
23970,0.7083184205638655,110.92615377635789,49.26036895670011,-4.656522909724214
18512,0.6053464775640239,146.16332692711333,52.3051676802184,-4.693170762830447
20345,0.5625639257587522,170.2356979648986,52.80851279247576,-4.629637450351568
22437,0.7425892979746742,134.82355479574102,55.250887732749746,-4.675495915744496
28050,0.5816394991183229,146.8989919263563,50.46784859875205,-4.681723822073764
17613,0.5862418269522185,119.12199350646613,47.002613642242174,-4.677829567816251
26025,0.631797538023581,168.22797306339388,55.19075825604775,-4.639544001075734
22808,0.5572249168581036,165.9602700953121,51.981484627342034,-4.67964038911327
16080,0.6952208480340151,106.45425667040212,48.801433167877754,-4.616335792742001
26282,0.664910053452626,153.59370769542093,54.01461000244565,-4.707865434540132
22730,0.6930179052800938,149.51404307380722,54.5745551475294,-4.679829969091058
20097,0.7438229669843647,107.11666955395393,50.75068716189562,-4.64520513359189
17307,0.7071445614829343,162.99068785194933,57.604387944607545,-4.713384074479824
22633,0.5758891223827366,172.87165986355515,52.97037179511688,-4.685978180759879
28368,0.669314423768935,126.71564584701254,51.35694811192583,-4.7445663440671675
17293,0.6666618324179739,121.1650470058626,49.8832932945893,-4.676073436721411
22549,0.7631063137971239,130.28512244503173,54.42715083985522,-4.589893326132457
27976,0.6309901191814404,118.88314105096597,49.10942809766802,-4.652235186909111
25723,0.640898131394265,120.58839368957388,49.06647123900731,-4.641107204206127
25892,0.6408216333397647,155.4687995514889,53.77644333027792,-4.735464382827851
21856,0.5832003945359077,204.61677613167984,57.18321770762754,-4.724093905631829
16649,0.668938354890494,143.13848897771567,52.64070035012777,-4.614434942762468
18989,0.6439947645406887,140.34502142783901,51.8466270649623,-4.682595920283217
16376,0.5561470640518823,135.98590950029876,47.77563177549648,-4.688028753725143
21432,0.5524997976304822,178.50149546575184,53.19046565523602,-4.641327545792967
27201,0.7387357071028299,107.50833088848881,49.76986154694543,-4.653542397346961
24558,0.6722596823822853,143.31220672453364,54.25662598804237,-4.645222948533221
