,km,kf,__lnsigma
22254,4.877483626409803e-08,0.381828074620404,-6.189438078635678
16619,7.517401897132137e-08,0.37550379618562757,-6.169728149000731
15947,5.895511070278017e-08,0.37779581376380056,-6.211598948714136
24753,5.998491174622437e-08,0.37420255271352937,-6.118732184015973
20394,4.4853909378965604e-08,0.38474185954517703,-6.229580097868611
26288,5.1100666406968224e-08,0.3805578010794915,-6.1680185642971
28164,6.946837667089587e-08,0.3732255805816802,-6.146881495686718
23983,4.9691200970108326e-08,0.37873199422305154,-6.155200787853395
15125,6.162067610929338e-08,0.37921810054829597,-6.168529348953768
26817,5.5248747252049426e-08,0.3764409826269697,-6.204695620010194
18377,5.231319527561578e-08,0.38433151496724577,-6.1736039829055835
15372,5.714608334532646e-08,0.3798975007312671,-6.2365616124371615
26739,5.980080489630477e-08,0.37391446945207774,-6.187737112462795
22992,4.654909377449427e-08,0.3845247800756337,-6.1033414263470185
26366,6.821770470448767e-08,0.37289074534487887,-6.091335424560963
15079,4.3549574293487836e-08,0.38007412982136296,-6.231001359021672
21074,4.870217604518995e-08,0.3831419788690479,-6.167864345331601
21685,5.025054022114947e-08,0.3852005907348692,-6.112046219989466
20659,5.1191003607427625e-08,0.3862354385335578,-6.162042931569008
18204,5.518135809406211e-08,0.38175800949239447,-6.147950636023693
20003,5.893168396465551e-08,0.37603990735682397,-6.122514305844109
21066,5.73076991737093e-08,0.37622584746866294,-6.120723991721717
15022,6.437527513140427e-08,0.37501749731849515,-6.165241298028643
28459,6.171274091444168e-08,0.3802733368067836,-6.18293133682893
19303,5.702803485329978e-08,0.3836685556481009,-6.174032222486788
21990,5.441471354465564e-08,0.38024577416004834,-6.1940587569595555
18378,4.689712125432964e-08,0.3850705022041095,-6.104190381314284
25123,6.494312159008613e-08,0.3737005531328031,-6.199254950869616
22638,4.676915137469489e-08,0.3782174104148821,-6.1284012344954615
18600,4.801753903865621e-08,0.3870790719726602,-6.207992145361522
18138,3.7528065889694616e-08,0.3842017231792815,-6.153960999436768
19490,4.436968426867211e-08,0.3824301635861341,-6.189531606832311
23285,5.999385301901758e-08,0.3753159100370249,-6.102621286982572
27885,5.527748679344392e-08,0.37694612644799713,-6.170218180727014
23173,5.5917108853786756e-08,0.37516747931026784,-6.244218402689624
26744,4.150491814882946e-08,0.3855827283936331,-6.164600274261973
16709,5.97933370611588e-08,0.37473818933581243,-6.120444367452486
18019,5.7640975321545574e-08,0.37954449767479964,-6.195408843614165
25392,4.922613037555169e-08,0.37668594366605124,-6.206779839372085
27285,4.833128753570725e-08,0.38161803478778694,-6.20016254464507
27223,6.238391457061284e-08,0.37319837635169545,-6.127411374321388
18484,4.829541756106274e-08,0.38041046871134115,-6.144214669023314
27818,4.2703006683111436e-08,0.3867636931841243,-6.252818145752017
19189,5.044767468891232e-08,0.3817675806321863,-6.222244871257708
15722,6.801275815181365e-08,0.379490625778736,-6.151991315903953
16109,5.680040872385524e-08,0.3789902761141191,-6.116784534216165
24522,3.9411673898555924e-08,0.38675360675350345,-6.232407553117311
26985,6.016098324988271e-08,0.3764320581678376,-6.121491099658913
17021,4.135420390593087e-08,0.3795408141087386,-6.17363679445536
23169,6.659804265466077e-08,0.376232046538713,-6.227472856759977
16565,5.2786378588972305e-08,0.3832670936393816,-6.135603841247007
28414,5.997750157519366e-08,0.3751166932129407,-6.184881693449847
28379,5.8706389444891414e-08,0.3769965295555414,-6.218192550593742
17142,6.182999359864918e-08,0.37557536855021356,-6.190700938094154
16079,4.728828704464769e-08,0.38094064619440376,-6.165459509576011
18730,5.6528466598968216e-08,0.37282295898023726,-6.133642852988651
27892,4.775044099128355e-08,0.3848105316834333,-6.100927701007217
15748,5.7615377594981804e-08,0.38190695892842613,-6.1500161187269855
18863,5.578720660120283e-08,0.37777244506613544,-6.1622533195132565
25668,5.8479803051503645e-08,0.37610992363894363,-6.1722470181047635
28402,4.592275063116553e-08,0.3747250318102785,-6.225989912821707
22295,5.3275901933156026e-08,0.37826546714103754,-6.270895843425018
22422,5.781107423699558e-08,0.38415429029474335,-6.1641748894668025
23009,4.6626092779820644e-08,0.38304519886278937,-6.1069522717216
20538,4.79612902062735e-08,0.3794668203649847,-6.133909828308899
15349,4.1212734047493125e-08,0.38179095343940767,-6.114375020892544
27870,4.330024028334942e-08,0.38313625008149765,-6.202000953682784
27548,5.088336803987543e-08,0.3809504704526554,-6.1816261973896465
20439,7.02686437359102e-08,0.37281455044951195,-6.148061132419013
22625,4.5389102493293734e-08,0.38488967536017593,-6.220753129484895
20262,5.7912713313699904e-08,0.3774505430802343,-6.225071163504102
24673,6.500835023267836e-08,0.37534915692806314,-6.1903660305185415
17237,6.549358325760669e-08,0.37626820133553984,-6.155855429171014
17169,4.685465386519139e-08,0.38573586799427345,-6.226496307883887
25103,7.180232127675625e-08,0.378061401314821,-6.184983816539452
17844,6.409487749114472e-08,0.36939134455926376,-6.174930742984015
27412,4.127997870138166e-08,0.38565233633343565,-6.184178426593823
26965,6.666396140631297e-08,0.3700964775076795,-6.08920019527856
25892,5.446766235468588e-08,0.37676191644513,-6.227090161903852
21915,5.3720690736795575e-08,0.3798908356698268,-6.113661710113784
25361,5.966096642645908e-08,0.37855845979256303,-6.076103588417667
15334,5.084459673696634e-08,0.3799418446653725,-6.139873432097572
22458,5.421086856551823e-08,0.3851856328821434,-6.110808358055452
20806,5.340227306993801e-08,0.3772956184506435,-6.10945255202576
23047,6.400672606143078e-08,0.37639637741622795,-6.164616878637571
23527,5.57605853065167e-08,0.3784977002050383,-6.125197293130666
17193,4.1355359113315685e-08,0.38210670615533,-6.229891583289067
28085,4.5724849945497135e-08,0.3839796473814079,-6.22467660030457
25488,5.7748874367446005e-08,0.3803309232303914,-6.186012107896421
15167,5.945293924822732e-08,0.38360426288765054,-6.130613947181588
17758,7.434865645680502e-08,0.37031016462543676,-6.101239330604359
20519,5.965880047978214e-08,0.3725806711461147,-6.006587902512134
16342,4.5810243318786944e-08,0.3853482390987223,-6.219304444110919
23449,5.145111527072265e-08,0.38186757847272684,-6.131736302449692
27983,5.06145595408512e-08,0.38490844100444077,-6.166782378935621
23261,4.982507540651788e-08,0.3798506105399897,-6.163944540903079
25432,4.957009211725993e-08,0.379544675320327,-6.160569737278117
23084,6.223371418568535e-08,0.3785688375389174,-6.12103283258869
25457,5.300807867540025e-08,0.383732199413735,-6.078546445735286
22404,5.8613499651204304e-08,0.3779071249340529,-6.111226530403822
16666,6.828807979107285e-08,0.37803702725455957,-6.171452245945517
19848,5.3714425973253264e-08,0.3825006300390701,-6.1755230927224405
22240,6.001961475610901e-08,0.38279638113250286,-6.173105768899573
16637,5.0825690626728295e-08,0.3841810391266303,-6.21993864802362
22786,5.361349863905509e-08,0.3851051415085069,-6.21791113435559
26661,7.509706154319676e-08,0.3719883684359706,-6.186038282913392
17902,4.826752706110475e-08,0.3793846862097471,-6.1821363585694105
19023,5.5000577148825824e-08,0.3804543843600735,-6.187256661753986
18668,5.189698558036566e-08,0.3766683591715841,-6.107660987449917
15986,5.3534493300767936e-08,0.37972078328071596,-6.114132914773025
16928,4.440125964905553e-08,0.38098195616140884,-6.121719049615524
26394,4.750611747932009e-08,0.3845120635509563,-6.166704087121647
19792,7.517857270198962e-08,0.3744975379615286,-6.24377346847346
21257,5.8742026241330274e-08,0.38296555739990623,-6.169145781963539
28164,6.946837667089587e-08,0.3732255805816802,-6.146881495686718
24615,4.8649559318500525e-08,0.38370579812573646,-6.12656099930744
15110,6.385129019343153e-08,0.3753783358613252,-6.120354960471135
20242,3.933213507545889e-08,0.38333961089937013,-6.229984647006646
15010,6.097774675315971e-08,0.37661350392296156,-6.07185754968701
26652,4.9465330654079615e-08,0.38349839753230414,-6.283595259647762
17476,5.638843582480489e-08,0.3761449407794065,-6.113656589455366
21216,5.3034102497329614e-08,0.3805839137972112,-6.132491423418947
25592,4.371003572668255e-08,0.3869188291300116,-6.084936802277947
19477,5.330529557723856e-08,0.378580521358888,-6.217713750414657
23094,6.288613447797398e-08,0.371825549315025,-6.235188593393135
16907,3.996759899248716e-08,0.38820077892267757,-6.147955414852738
