,r,b,tau,kk,__lnsigma
19312,0.010960847890105246,277.2406356357335,31.021761764109723,-0.00042461033747326956,-5.06598927630439
22646,0.011216628979392877,265.8788072535264,30.4477178914526,-0.0004590959144339788,-5.029487347694872
25960,0.011620060296351367,259.05346192617765,31.311257361782978,-0.0004646159155912298,-5.030242808598547
26710,0.010781919425042344,303.3596217648013,31.72338250662226,-0.0004563175809300854,-5.00066175723944
23415,0.009440307540221819,351.3381927183063,30.994915928217164,-0.0004092971298879615,-5.005216749513439
20941,0.01044368530482629,288.5654095878722,30.70551461954597,-0.00043205923913057086,-4.926347923124982
22286,0.00912905017017915,356.4169573693636,31.264194806015688,-0.00037563254686065077,-5.033371400155112
25016,0.010011015843980432,351.54336288511763,32.03872830863993,-0.0004537831994601175,-4.966927192837394
24937,0.012236089450367001,246.41659384272393,30.850177404929582,-0.0004904650948927561,-5.076838753001652
15553,0.010583547980125332,270.617468561206,30.474915328721167,-0.00041664870478861466,-5.0281459238406585
15026,0.009702773558295092,359.6484560926931,32.398875552886274,-0.0004138148246830263,-4.949501020047725
28442,0.008085745542157768,414.2818507664235,30.468673613815422,-0.00035308910078761226,-4.927391223870369
22237,0.009490328698414596,332.5073017427436,30.8435685395275,-0.00038781987460467717,-5.044379736498095
19232,0.00913851451484498,375.075671845101,31.736405179800936,-0.0004009815635192358,-4.9444205772434175
23847,0.01254257472596456,230.28396604284094,30.556178811463145,-0.0005056510535869368,-5.0501618681412035
27109,0.009424637587583839,342.42099746948804,31.10630783574164,-0.00039603425659604435,-5.045860837816241
22259,0.011135515632039936,254.730234492231,30.289096462193285,-0.0004398222238199552,-4.9986842207670055
16255,0.013051684812636705,235.0423489953247,32.561368756688125,-0.0004746114743926316,-5.043974358277592
20118,0.010440284039821283,306.4881995547737,31.442124558483364,-0.0004241667133043901,-5.070471895159863
21327,0.011200192953608721,294.51238154299875,31.869857698584244,-0.0004774071562700301,-5.077644735696324
22094,0.009514623705181108,356.18361416765,32.041180733078,-0.00038150673137097067,-5.096594333035634
22036,0.009451288071413417,320.79431779051606,30.09007470019501,-0.00038695695047788524,-5.070529518069084
24444,0.009938355884391585,365.7377671397486,33.14063316474711,-0.00042345230240442485,-5.034629330723053
16805,0.010094565505222341,309.9631323727041,30.96795479095997,-0.00042124415581907377,-4.963596903873646
27378,0.01142141115391625,285.1068005231431,32.1680364109354,-0.00044858517911906283,-4.994716327637564
20934,0.012917351333446833,223.70326513365129,30.75517082271426,-0.0004932060061775279,-5.022280726745506
15028,0.008536867203782264,373.9591233604412,30.55707646827121,-0.0003630791175434696,-5.090814816297381
16987,0.011820557488956333,266.84877332076866,31.54458638770458,-0.0004854253181933149,-5.104245011025747
20341,0.010518736528084221,291.948306746521,30.859650818293215,-0.0004277762948221945,-5.00614575849517
24590,0.010496481663615534,275.6854096787842,30.212943411083916,-0.00044580731452954314,-5.022760458460349
15461,0.010075181143958157,304.4417642229976,30.97254230864806,-0.0004082464425683161,-5.041806474658301
21719,0.010010682820981998,317.4171972107855,30.276701055706912,-0.0004417215327199753,-4.9946458290904605
24382,0.010082369535491346,303.23330572284283,30.48888002761868,-0.00041992516076698173,-5.026188337713215
25972,0.012009342286760127,250.72204394070116,30.78298912336502,-0.0004950293811821207,-5.1427752622941165
26750,0.010091471708990572,306.2429678039372,30.11028071175623,-0.0004438469236875632,-5.067940497525181
22326,0.01195720581825133,233.53567412489707,30.267505178411863,-0.00046573418485727053,-5.066842490265519
17158,0.011677970790843446,236.39841890528407,30.196402430963346,-0.00041989603016566554,-4.9609032465031255
19094,0.00909775353443689,399.4480524127819,32.0576392144493,-0.0004234317423076346,-4.97425897159694
18704,0.010447228329181726,311.1421475286454,31.33568365929772,-0.00044714870531236534,-5.072032777535605
22028,0.01220930155457352,259.7944663068639,32.09350027614846,-0.0004934134764380336,-5.1095385128841615
15931,0.008860889161192428,399.09907457366455,31.934201996522944,-0.00039687832525339657,-5.017097385430204
24815,0.01072666025794096,282.6646684126047,30.30163169534022,-0.0004642326131384866,-5.1211541239579494
20928,0.011738764874570231,261.5726159133168,31.189869713613433,-0.00047450600842822733,-5.044930129827933
25440,0.010702306156184893,335.51697867799055,33.4583173808863,-0.00042422552130065756,-4.924232331580832
26427,0.012332931685545192,290.637750796296,33.86656802529143,-0.0005167185256369096,-4.9932377583282195
18551,0.011851869882334371,253.6820692473145,31.247374781969043,-0.0004677480874324809,-4.966498907026756
17457,0.008935097367382256,369.28497231985136,30.53180058390783,-0.00040326281359974475,-4.890034323780023
27206,0.011057217883801975,341.4568790679765,33.24997514388857,-0.000496185160363252,-5.058889135544913
26353,0.011576009199171589,243.09256201349726,30.384549427792972,-0.00043754774012336325,-5.032618451133157
23456,0.011069022397496497,258.0699873351857,30.228292274107247,-0.00042640436072054867,-5.096564306945967
18721,0.010168900435762712,297.0747185181725,30.609632078398764,-0.00040424157403602364,-4.983460841376477
15444,0.010040967962938935,321.2199239338215,30.788521763269106,-0.00043689174777411126,-5.114093311693409
23303,0.009151641441215665,334.05524422582397,30.216397213381654,-0.00037991725853400905,-5.063172141146493
20194,0.010019899063570585,321.9409882379615,31.4485190228859,-0.0004118237963788088,-5.04930777687579
28047,0.010956909642654633,290.96432951800165,31.46202594944929,-0.0004631849471265968,-5.003562357683048
24792,0.010685946693611566,299.8285848145952,31.161889313657394,-0.00046007072112348355,-5.1162258344186045
