,r,b,tau,kk,__lnsigma
24581,2.2092492551645163e-11,132.1525065995513,31.391167133226748,-1.0839141518479164e-12,-4.861130297009335
16673,2.0622486752780847e-11,141.16730011211234,30.735267451599857,-1.0231406944274939e-12,-4.9000090926932245
26954,2.3626857083635568e-11,112.88630063105452,30.28704382150785,-1.0246612349148583e-12,-4.874425243495299
26118,2.4112969605925046e-11,117.92198265481048,31.0412132522343,-1.2045269822608288e-12,-4.871865521979385
21692,2.3354785483344543e-11,121.65330011007129,31.116214305456808,-1.1194407713459225e-12,-4.922600750441526
20255,2.275086974072199e-11,119.36762980214573,30.241910921414377,-1.0744038793360248e-12,-4.8588438335589625
21883,1.9800705607108443e-11,156.8441275469086,31.55841056466266,-9.88180088626243e-13,-5.018345346314656
19033,1.9075554552873552e-11,150.9846435825737,30.506006104222312,-9.522577414170012e-13,-4.918585244051074
21057,2.4005252790001114e-11,113.57552511275141,30.89902448771166,-9.127972279686691e-13,-4.994225337438413
23974,2.483492577426661e-11,117.83534540249674,31.763961978399152,-1.1410152196503826e-12,-4.8577014647812105
20336,2.2963796019238293e-11,119.89969041044472,30.123700550718965,-1.1265996047734354e-12,-4.90912439111853
15029,1.998010252860981e-11,146.23908253599296,30.691659181079327,-9.808400192449762e-13,-4.902591152459679
18202,2.1079006267317052e-11,142.6152870241607,30.95075147913305,-1.0810067127366142e-12,-4.911383091205731
16060,2.0177269392948972e-11,138.67141757227725,30.214407358339898,-9.710609759681681e-13,-4.9378101711228535
18141,2.0886146548625493e-11,140.5088638194733,30.82454311833511,-1.025117865674823e-12,-4.90622482397383
24826,2.356198474290356e-11,116.25834719324389,30.03327609381302,-1.1340601680269927e-12,-5.022403667484061
26279,2.364061507468407e-11,124.10262289368535,31.17167254373059,-1.1772284373036007e-12,-4.9165615587791835
16253,2.2584617040860833e-11,144.4559591806224,32.79578864307803,-1.170893168444096e-12,-5.043460409191933
25097,2.227738285287602e-11,127.24082535552492,30.844337626868306,-1.037637871162213e-12,-4.88474002643461
22468,2.4212654030591853e-11,116.32776993546152,31.048354662836882,-1.2209219723594203e-12,-4.881371987711456
15597,2.0574746819588916e-11,142.82473995764565,30.657793414567493,-9.981738656618155e-13,-4.814040076287425
25630,1.8902461859558394e-11,155.89180458871866,30.140922760577098,-9.891380233684034e-13,-4.8534206723809135
26611,2.572284296616752e-11,119.19691470081514,32.412807485061045,-1.26666500777872e-12,-4.855267044722717
15780,1.978172756675211e-11,144.86644948434645,30.246269447295436,-9.833290559047301e-13,-5.0226781928387325
15067,2.0083555619888454e-11,175.25540928597482,33.075506133969554,-1.0623339365045823e-12,-4.976687383554493
20881,2.020579086417589e-11,146.81555506512882,30.663553854844015,-1.0056923655935344e-12,-4.814991401620018
18927,2.0031703477861214e-11,142.08818441417037,30.447514674834544,-9.796481555366423e-13,-4.934885985165429
18353,2.345083361373257e-11,122.24847200495236,30.830310505050626,-1.1260668572944693e-12,-4.9079980215362315
26265,2.0325090131138822e-11,147.24316772459517,30.372635278907396,-1.0374877362791955e-12,-4.792326299402112
22163,2.568173563744528e-11,125.45787917771554,33.22782537691974,-1.2587980613141368e-12,-4.83664853129098
18571,2.29246463238304e-11,118.22769784283355,30.238327713351364,-1.119807594586058e-12,-4.812370982315273
28146,2.633588103569439e-11,107.85968253114845,31.066568587894196,-1.3087448540020653e-12,-4.862317233497871
28021,2.334853633632489e-11,124.2491857796875,31.17702108788147,-1.1246430614452659e-12,-4.977819167394339
24995,2.4268591013468802e-11,111.97456566771153,30.947331793837137,-1.0476184037735703e-12,-4.874251732309017
18772,2.3274329705440227e-11,131.95976266216107,31.646811155004904,-1.2007662397112131e-12,-4.963303108723552
16784,1.9251005000695517e-11,157.3860387962142,31.241966570780853,-9.83674935262219e-13,-4.954339475648336
24838,2.1992185195429602e-11,127.40320477725653,30.199551103573956,-1.0466803709394663e-12,-5.016316460319738
15856,2.269286435240515e-11,157.3607890156582,34.23015393198703,-1.1650769771287449e-12,-4.784109251106903
25173,2.138185237678202e-11,134.28465643777267,30.09941340046157,-1.1149891749368122e-12,-4.929424739878958
15633,2.3052324020729897e-11,130.4648771340286,31.635482977103514,-1.1375529862924682e-12,-4.947398702780368
27342,2.2125082459751166e-11,130.8575122700418,30.83882615627622,-1.0934285745193486e-12,-4.854248961932098
19942,2.4978784019798632e-11,121.48266269003366,32.105063589101135,-1.2258928441090678e-12,-4.903223706810207
26307,2.0503633899114242e-11,137.48705499525906,30.121916626881728,-1.033725697703711e-12,-4.8419791710962565
19532,2.248808041163411e-11,125.09558234767604,30.07902352667807,-1.1143838699254606e-12,-4.877974029940558
17586,2.2705317286071067e-11,127.32665223732683,30.711540926110178,-1.1249691872484274e-12,-4.946537758290922
