Cycle Nr.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215
Time [s],0,371.6,743.1,1114.7,1486.3,1857.8,2572.9,2944.5,3316,3687.6,4059.2,4430.7,4802.3,5173.9,5545.4,5917,6288.5,6660.1,7031.7,7403.2,7774.8,8146.4,8517.9,8889.5,9261.1,9632.6,10004.2,10375.8,10747.3,11118.9,11490.5,11862,12233.6,12605.2,12976.7,13348.3,13719.9,14091.4,14463,14834.6,15206.1,15577.7,15949.2,16320.8,16692.4,17063.9,17435.5,17807.1,18178.6,18550.2,18921.8,19293.3,19664.9,20036.5,20408,20779.6,21151.2,21522.7,21894.3,22265.9,22637.4,23009,23380.6,23752.1,24123.7,24495.3,24866.8,25238.4,25610,25981.5,26353.1,26724.7,27096.2,27467.8,27839.4,28210.9,28582.5,28954.1,29325.6,29697.2,30068.8,30440.3,30811.9,31183.5,31555,31926.6,32298.2,32669.7,33041.3,33412.9,33784.5,34156,34527.6,34899.1,35270.7,35642.3,36013.8,36385.4,36757,37128.5,37500.1,37871.7,38243.2,38614.8,38986.4,39357.9,39729.5,40101.1,40472.6,40844.2,41215.8,41587.3,41958.9,42330.5,42702,43073.6,43445.2,43816.7,44188.3,44559.9,44931.4,45303,45674.6,46046.1,46417.7,46796.2,47167.8,47539.3,47910.9,48282.5,48654,49025.6,49397.2,49768.7,50140.3,50511.9,50883.4,51255,51626.6,51998.1,52369.7,52741.3,53112.8,53484.4,53856,54227.5,54599.1,54970.7,55342.2,55713.8,56085.4,56456.9,56828.5,57200.1,57571.6,57943.2,58314.7,58686.3,59057.9,59429.5,59801,60172.6,60544.2,60915.7,61287.3,61658.8,62030.4,62402,62773.5,63145.1,63516.7,63888.2,64259.8,64631.4,65003,65374.5,65746.1,66117.6,66489.2,66860.8,67232.3,67603.9,67975.5,68347,68718.6,69090.2,69461.7,69833.3,70204.9,70576.5,70948,71319.6,71691.2,72062.7,72434.3,72805.8,73177.4,73549,73920.5,74292.1,74663.7,75035.2,75406.8,75778.3,76149.9,76521.5,76893,77264.6,77636.2,78007.7,78379.3,78750.9,79122.4,79494,79865.6
Temp. [C],37.8,38,38,38.2,37.9,38.1,37.9,38,37.9,38.1,38.1,38.1,38,38.2,37.9,38.2,38,37.9,38.1,38.2,38.1,38,38.1,38.1,38.1,38,37.8,38.2,38.2,38,38,38,37.8,38,38.3,37.9,38.1,38.1,38.2,38,38.2,37.9,38,38,38,37.8,38,37.9,37.8,38.2,38.1,37.9,38,37.9,38.1,37.9,38.2,37.9,38.1,38.2,38,38,38.2,37.9,37.8,38.1,38.2,38.1,38.1,38.1,38,38.1,37.8,38,37.8,38.1,38,38,38.1,37.8,38,37.9,38.2,37.9,37.9,38.1,37.9,38.1,37.8,38,37.9,38.3,38,38.2,38,37.8,38.1,38,38.1,38,37.9,38.2,38.1,37.8,38.1,37.9,37.8,37.9,37.9,38.2,38.2,38.1,37.8,38.1,37.8,38,37.9,38.1,38,38.1,38,38,37.8,38,38.2,38,38.1,37.9,37.9,38.1,38.1,37.8,38.2,38,37.9,38.1,37.8,38,38.1,37.9,37.9,38.1,37.9,38,38.2,38.1,38.1,38.1,37.9,38,37.9,37.9,37.9,38.2,38,38.1,37.9,38.2,38,38.1,38.2,37.9,38.1,38,38,37.9,38.1,38.1,38.2,38.1,37.9,38,37.8,38,38,38,38,38,38.2,37.9,38.1,38,38,38.1,38,38.1,38,38.1,38.2,37.9,38,38.2,38.2,37.9,37.9,38,38.3,38.2,38.1,38.2,38.1,38.1,38,37.8,38.1,38.1,37.9,38.2,38.1,38,38.1,38.2,38,37.8,38.1
A1,0.090099998,0.090400003,0.090499997,0.090599999,0.090800002,0.091200002,0.092500001,0.092600003,0.093800001,0.094700001,0.096100003,0.097599998,0.099399999,0.1017,0.104099996,0.106600001,0.1105,0.114,0.118699998,0.125400007,0.130600005,0.140200004,0.149700001,0.160099998,0.172499999,0.188899994,0.206599995,0.223700002,0.247600004,0.275000006,0.306400001,0.335099995,0.359400004,0.383599997,0.414999992,0.415699989,0.386099994,0.356700003,0.333299994,0.315400004,0.298000008,0.27700001,0.26730001,0.243799999,0.232899994,0.2289,0.224000007,0.220300004,0.220200002,0.218999997,0.220599994,0.221900001,0.222399995,0.225999996,0.227699995,0.231800005,0.2359,0.241099998,0.244000003,0.247299999,0.251199991,0.25909999,0.263399988,0.271499991,0.283600003,0.291200012,0.298200011,0.311100006,0.322600007,0.333299994,0.356700003,0.379099995,0.387600005,0.39320001,0.403499991,0.414499998,0.430700004,0.445100009,0.458999991,0.475499988,0.490399987,0.510200024,0.525200009,0.542200029,0.557600021,0.574500024,0.588500023,0.602299988,0.617699981,0.629199982,0.64200002,0.655399978,0.66869998,0.680499971,0.698199987,0.707499981,0.720099986,0.731299996,0.744599998,0.752699971,0.760999978,0.770600021,0.779399991,0.78670001,0.797200024,0.807099998,0.822700024,0.834100008,0.842400014,0.845099986,0.851800025,0.855000019,0.858399987,0.862299979,0.86589998,0.868799984,0.871500015,0.874000013,0.876699984,0.878400028,0.879599988,0.882000029,0.883300006,0.88380003,0.885800004,0.870800018,0.888000011,0.886699975,0.888000011,0.889100015,0.890299976,0.890299976,0.89289999,0.893999994,0.894800007,0.896099985,0.897700012,0.897499979,0.899999976,0.898699999,0.900399983,0.899399996,0.899299979,0.899299979,0.899399996,0.899500012,0.898899972,0.898000002,0.898400009,0.899900019,0.896200001,0.896200001,0.895799994,0.897199988,0.896399975,0.896200001,0.899500012,0.897700012,0.898299992,0.90079999,0.902400017,0.905399978,0.908999979,0.908900023,0.918299973,0.919799984,0.926900029,0.926699996,0.932299972,0.92869997,0.930999994,0.934599996,0.933399975,0.941900015,0.938799977,0.940199971,0.944899976,0.945200026,0.94569999,0.946399987,0.948300004,0.9472,0.953700006,0.960099995,0.950600028,0.944500029,0.960399985,0.953100026,0.965600014,0.948000014,0.95599997,0.959299982,0.967299998,0.959800005,0.961099982,0.954900026,0.953400016,0.965900004,0.959999979,0.959500015,0.966099977,0.952499986,0.956399977,0.956099987,0.958400011,0.964399993,0.955200016,0.955200016,0.967700005,0.962100029,0.95480001,0.953199983,0.952700019,0.954200029,0.949699998
A2,0.090599999,0.090599999,0.090400003,0.090599999,0.0911,0.091200002,0.092699997,0.093000002,0.093800001,0.094999999,0.095700003,0.0977,0.0995,0.101499997,0.1039,0.1065,0.109700002,0.114100002,0.118500002,0.124399997,0.130700007,0.139400005,0.148599997,0.159099996,0.172099993,0.187900007,0.205200002,0.2245,0.248199999,0.275299996,0.307500005,0.335599989,0.360599995,0.384600013,0.402799994,0.411000013,0.386000007,0.357199997,0.330599993,0.310299993,0.290199995,0.262600005,0.246199995,0.237599999,0.226899996,0.224999994,0.224600002,0.223900005,0.222100005,0.221000001,0.221100003,0.221799999,0.223199993,0.227400005,0.230700001,0.232999995,0.236300007,0.240799993,0.244000003,0.248400003,0.253300011,0.261299998,0.267800003,0.274199992,0.283100009,0.288800001,0.298799992,0.307900012,0.317000002,0.326599985,0.355399996,0.361499995,0.372500002,0.386200011,0.400299996,0.415600002,0.430599988,0.448199987,0.464899987,0.481999993,0.49849999,0.514699996,0.531199992,0.547800004,0.56400001,0.578400016,0.594900012,0.609200001,0.621800005,0.63440001,0.646700025,0.659500003,0.674099982,0.691100001,0.703199983,0.715399981,0.726899981,0.737500012,0.748099983,0.75819999,0.767400026,0.777100027,0.786300004,0.799199998,0.815999985,0.824899971,0.831399977,0.836899996,0.841600001,0.847100019,0.850300014,0.855099976,0.858799994,0.862399995,0.864899993,0.869099975,0.869700015,0.872300029,0.875699997,0.877200007,0.878799975,0.880400002,0.881900012,0.884599984,0.884899974,0.887499988,0.887199998,0.888800025,0.889599979,0.891799986,0.892400026,0.89289999,0.894699991,0.895299971,0.896799982,0.896700025,0.898199975,0.899399996,0.899500012,0.899800003,0.900099993,0.899500012,0.899600029,0.899699986,0.899100006,0.899100006,0.898400009,0.897700012,0.898299992,0.897199988,0.897300005,0.896200001,0.895200014,0.894699991,0.894299984,0.89380002,0.89319998,0.892499983,0.891799986,0.891200006,0.891700029,0.891099989,0.890399992,0.889699996,0.889400005,0.888899982,0.889299989,0.888700008,0.887799978,0.887600005,0.885500014,0.886799991,0.885599971,0.885100007,0.885599971,0.88380003,0.88440001,0.88440001,0.883700013,0.884199977,0.882499993,0.882399976,0.882000029,0.882200003,0.881799996,0.881799996,0.881299973,0.881099999,0.880500019,0.880800009,0.880599976,0.880500019,0.879199982,0.879400015,0.879800022,0.879599988,0.879000008,0.878499985,0.878899992,0.878499985,0.877499998,0.878199995,0.878700018,0.878199995,0.877399981,0.877399981,0.877300024,0.877399981,0.875699997,0.876600027,0.876600027,0.876299977,0.876600027,0.875500023,0.87620002
A3,0.090000004,0.090000004,0.0902,0.090300001,0.090599999,0.090700001,0.092399999,0.092500001,0.0933,0.094499998,0.0955,0.097000003,0.098899998,0.101199999,0.103399999,0.106399998,0.110399999,0.114600003,0.1197,0.125799999,0.132300004,0.140599996,0.150299996,0.1602,0.173299998,0.1884,0.205400005,0.225899994,0.249799997,0.278800011,0.313800007,0.340799987,0.374000013,0.40990001,0.445300013,0.476599991,0.494500011,0.503400028,0.507700026,0.50999999,0.506799996,0.490399987,0.439599991,0.360000014,0.301200002,0.265599996,0.243100002,0.238199994,0.232500002,0.226799995,0.2192,0.219999999,0.215599999,0.215700001,0.215100005,0.218899995,0.224000007,0.221499994,0.221900001,0.223299995,0.224399999,0.228100002,0.231199995,0.231299996,0.237000003,0.238999993,0.242599994,0.244800001,0.248799995,0.252099991,0.255899996,0.261099994,0.265300006,0.270000011,0.27759999,0.283699989,0.290399998,0.297699988,0.306899995,0.31400001,0.326499999,0.343899995,0.35710001,0.370499998,0.38409999,0.396800011,0.414499998,0.432099998,0.448500007,0.467500001,0.484400004,0.500800014,0.51789999,0.532700002,0.548799992,0.563899994,0.578499973,0.593200028,0.607299984,0.620899975,0.635100007,0.648800015,0.663299978,0.679499984,0.692499995,0.70480001,0.716799974,0.728900015,0.739400029,0.75,0.760800004,0.772000015,0.789900005,0.799700022,0.806599975,0.812699974,0.818099976,0.823800027,0.828199983,0.832499981,0.837300003,0.841199994,0.844900012,0.848500013,0.851599991,0.851899981,0.85680002,0.859799981,0.862200022,0.863900006,0.865400016,0.867699981,0.870299995,0.873399973,0.872900009,0.87529999,0.878000021,0.879800022,0.881200016,0.883300006,0.88440001,0.885800004,0.886600018,0.886900008,0.887300014,0.886200011,0.886399984,0.885699987,0.88499999,0.883700013,0.88410002,0.8829,0.881299973,0.878799975,0.879000008,0.877799988,0.877099991,0.877499998,0.876600027,0.876699984,0.877600014,0.877099991,0.875899971,0.875800014,0.875800014,0.876999974,0.876800001,0.877300024,0.876100004,0.875899971,0.875,0.875,0.87440002,0.873399973,0.872799993,0.872799993,0.872300029,0.871900022,0.871299982,0.871100008,0.870100021,0.869599998,0.869799972,0.869599998,0.868700027,0.868600011,0.868499994,0.867900014,0.868099988,0.867299974,0.866299987,0.866699994,0.866100013,0.86559999,0.86589998,0.866599977,0.865199983,0.86500001,0.865100026,0.864700019,0.864700019,0.863399982,0.863799989,0.863699973,0.862999976,0.864499986,0.864000022,0.864000022,0.862999976,0.862900019,0.863099992,0.862100005,0.862500012,0.862200022,0.862100005
A4,0.0902,0.090000004,0.0902,0.0902,0.090499997,0.0911,0.092299998,0.092299998,0.0933,0.094400004,0.095700003,0.097199999,0.098999999,0.101199999,0.104000002,0.107100002,0.111100003,0.115699999,0.120099999,0.126900002,0.133100003,0.141499996,0.151299998,0.161300004,0.174899995,0.190699995,0.207599998,0.2289,0.252400011,0.282099992,0.316799998,0.344000012,0.376700014,0.413300008,0.451999992,0.483999997,0.501299977,0.510699987,0.513999999,0.518599987,0.516200006,0.502799988,0.443300009,0.362800002,0.301999986,0.265300006,0.246199995,0.235499993,0.228599995,0.222100005,0.215700001,0.211199999,0.212400004,0.212599993,0.213100001,0.215900004,0.214300007,0.217899993,0.220599994,0.220500007,0.222200006,0.225500003,0.228200004,0.231299996,0.233999997,0.236900002,0.240500003,0.242599994,0.245900005,0.248999998,0.254200011,0.257800013,0.262199998,0.26730001,0.273400009,0.278800011,0.285600007,0.29370001,0.299600005,0.307799995,0.317699999,0.325399995,0.350300014,0.353199989,0.374000013,0.386500001,0.40079999,0.417499989,0.435299993,0.4542,0.472200006,0.49149999,0.508899987,0.527199984,0.543299973,0.559599996,0.574299991,0.58920002,0.604399979,0.620299995,0.634899974,0.648899972,0.662699997,0.677399993,0.695800006,0.708299994,0.721499979,0.733099997,0.745400012,0.756399989,0.766799986,0.778400004,0.794499993,0.808399975,0.816699982,0.822899997,0.82889998,0.833800018,0.839600027,0.844900012,0.84859997,0.853200018,0.857200027,0.860800028,0.864899993,0.866900027,0.870700002,0.87349999,0.87650001,0.878099978,0.879899979,0.881500006,0.88380003,0.887700021,0.888400018,0.889800012,0.8926,0.894299984,0.896200001,0.898800015,0.899299979,0.900600016,0.90200001,0.901799977,0.901899993,0.90140003,0.901799977,0.901600003,0.90079999,0.900900006,0.900900006,0.899500012,0.899200022,0.898400009,0.898599982,0.898199975,0.897400022,0.896899998,0.896300018,0.895600021,0.894699991,0.894599974,0.894400001,0.893400013,0.893100023,0.892499983,0.89200002,0.891600013,0.891600013,0.889999986,0.888899982,0.889400005,0.889500022,0.888499975,0.887700021,0.888000011,0.887000024,0.886300027,0.886799991,0.886099994,0.8847,0.884199977,0.884800017,0.88410002,0.883400023,0.882200003,0.88319999,0.882200003,0.881600022,0.881799996,0.880500019,0.880999982,0.880500019,0.880500019,0.880100012,0.879599988,0.879400015,0.879000008,0.879000008,0.878300011,0.878000021,0.877799988,0.878199995,0.877699971,0.876999974,0.876999974,0.876299977,0.876399994,0.876299977,0.87650001,0.875999987,0.874899983,0.875800014,0.874800026,0.875100017
A5,0.089599997,0.090099998,0.090000004,0.090000004,0.090400003,0.0911,0.092200004,0.092500001,0.093199998,0.094099998,0.095600002,0.0973,0.099100001,0.101599999,0.104099996,0.107500002,0.111299999,0.115900002,0.120700002,0.127399996,0.133900002,0.142499998,0.152600005,0.162599996,0.176300004,0.192599997,0.210800007,0.231600001,0.256300002,0.28639999,0.320600003,0.34889999,0.38350001,0.418000013,0.4551,0.486299992,0.514999986,0.544099987,0.570900023,0.595799983,0.61500001,0.624800026,0.640600026,0.664099991,0.642099977,0.564800024,0.489199996,0.429100007,0.392800003,0.352999985,0.317999989,0.282799989,0.256000012,0.237200007,0.224800006,0.219500005,0.215399995,0.209000006,0.210199997,0.211199999,0.211899996,0.211899996,0.213200003,0.212099999,0.211300001,0.210299999,0.210700005,0.211199999,0.2104,0.213100001,0.214100003,0.215499997,0.214499995,0.216399997,0.217199996,0.220599994,0.230100006,0.232099995,0.239099994,0.235200003,0.239999995,0.242500007,0.241699994,0.246600002,0.254900008,0.257999986,0.261099994,0.255699992,0.264999986,0.264400005,0.264400005,0.273400009,0.276199996,0.280200005,0.283399999,0.286199987,0.297800004,0.303200006,0.301200002,0.315299988,0.315699995,0.315200001,0.322400004,0.330599993,0.3389,0.351200014,0.368900001,0.360100001,0.366699994,0.380400002,0.399199992,0.408100009,0.418500006,0.430500001,0.445800006,0.458499998,0.472499996,0.486000001,0.499300003,0.512399971,0.524800003,0.537500024,0.550899982,0.56370002,0.577400029,0.590499997,0.603699982,0.617699981,0.628300011,0.640600026,0.652100027,0.663800001,0.676100016,0.688499987,0.699299991,0.711399972,0.723999977,0.733799994,0.748199999,0.75999999,0.778199971,0.791199982,0.799300015,0.803900003,0.808099985,0.812900007,0.815800011,0.819700003,0.823300004,0.825600028,0.827799976,0.83130002,0.833000004,0.835399985,0.836799979,0.839699984,0.840699971,0.843500018,0.845300019,0.846099973,0.848100007,0.8495,0.851599991,0.852999985,0.854399979,0.855599999,0.85680002,0.858299971,0.860499978,0.863699973,0.8671,0.868499994,0.868499994,0.869000018,0.870000005,0.870000005,0.869000018,0.869000018,0.868600011,0.868200004,0.866999984,0.86619997,0.865700006,0.864099979,0.864400029,0.863600016,0.862999976,0.862100005,0.861599982,0.860800028,0.859799981,0.859899998,0.85860002,0.85860002,0.857900023,0.857900023,0.856899977,0.856700003,0.85650003,0.857800007,0.855400026,0.854700029,0.854300022,0.854200006,0.853600025,0.853600025,0.852500021,0.852500021,0.851999998,0.852100015,0.851400018,0.851700008,0.851400018,0.851000011,0.851000011
A6,0.090599999,0.090400003,0.090700001,0.090700001,0.091200002,0.091399997,0.092699997,0.092699997,0.093599997,0.094700001,0.096000001,0.097999997,0.099600002,0.102399997,0.104900002,0.108099997,0.112099998,0.116800003,0.1219,0.1285,0.135399997,0.144400001,0.154100001,0.165099993,0.178900003,0.194600001,0.213599995,0.234799996,0.260500014,0.290800005,0.325599998,0.354299992,0.389999986,0.425599992,0.46329999,0.493200004,0.523899972,0.552200019,0.581399977,0.605000019,0.621999979,0.63349998,0.653199971,0.666999996,0.637899995,0.564599991,0.487100005,0.437700003,0.398600012,0.355699986,0.319299996,0.278499991,0.253399998,0.238000005,0.228599995,0.219500005,0.216299996,0.214100003,0.213400006,0.213400006,0.213200003,0.214300007,0.214699998,0.214599997,0.211999997,0.212200001,0.214200005,0.213599995,0.215399995,0.215499997,0.215499997,0.224900007,0.2192,0.221599996,0.220300004,0.222200006,0.225400001,0.227799997,0.232199997,0.232600003,0.235300004,0.239500001,0.241600007,0.2421,0.245800003,0.255100012,0.250699997,0.261200011,0.268000007,0.270900011,0.268599987,0.280499995,0.284799993,0.282000005,0.284700006,0.288399994,0.29519999,0.304699987,0.305299997,0.308899999,0.316900015,0.323300004,0.335000008,0.333000004,0.344399989,0.349599987,0.372700006,0.3653,0.382099986,0.393000007,0.397599995,0.412,0.425000012,0.440800011,0.456900001,0.471599996,0.484899998,0.500100017,0.512199998,0.5273,0.539799988,0.554700017,0.567499995,0.58039999,0.593800008,0.607800007,0.620199978,0.633300006,0.645600021,0.658900023,0.672100008,0.684700012,0.696799994,0.711199999,0.721300006,0.733399987,0.745599985,0.761900008,0.772400022,0.784799993,0.802600026,0.815699995,0.822000027,0.827499986,0.833599985,0.837300003,0.841199994,0.845700026,0.8495,0.852800012,0.854799986,0.85769999,0.861000001,0.862800002,0.866999984,0.869199991,0.871399999,0.872099996,0.875,0.876900017,0.879599988,0.880100012,0.882399976,0.88380003,0.885299981,0.887000024,0.889100015,0.892700016,0.897899985,0.898299992,0.899100006,0.90109998,0.900699973,0.902100027,0.9005,0.90140003,0.9023,0.9005,0.901199996,0.899600029,0.899999976,0.899299979,0.899299979,0.897700012,0.897300005,0.896000028,0.896799982,0.895200014,0.894999981,0.894400001,0.89410001,0.89380002,0.89319998,0.89230001,0.8926,0.891799986,0.891600013,0.891200006,0.891600013,0.889699996,0.889999986,0.890100002,0.889400005,0.889699996,0.888599992,0.889299989,0.888700008,0.888100028,0.887099981,0.887099981,0.887399971,0.884899974,0.885599971,0.886799991,0.885999978
A7,0.090000004,0.090300001,0.090499997,0.0902,0.090800002,0.091300003,0.092399999,0.092699997,0.093500003,0.094499998,0.095600002,0.097199999,0.099299997,0.101599999,0.1039,0.107299998,0.111100003,0.115400001,0.120499998,0.127399996,0.133499995,0.142100006,0.151299998,0.162699997,0.175799996,0.190699995,0.208700001,0.229499996,0.254099995,0.284099996,0.318699986,0.3477,0.381199986,0.416200012,0.451599985,0.479699999,0.50880003,0.538600028,0.572600007,0.603299975,0.625400007,0.643899977,0.664900005,0.683300018,0.70660001,0.72420001,0.727900028,0.724799991,0.721099973,0.717000008,0.711099982,0.704599977,0.698000014,0.675899982,0.591499984,0.499900013,0.437400013,0.381300002,0.335500002,0.294800013,0.271600008,0.256000012,0.245800003,0.242899999,0.238700002,0.237599999,0.239899993,0.236300007,0.235699996,0.230299994,0.233400002,0.231700003,0.229000002,0.229900002,0.229499996,0.227899998,0.232299998,0.228799999,0.234400004,0.232899994,0.239999995,0.235499993,0.236000001,0.239399999,0.239299998,0.239099994,0.249300003,0.2403,0.240199998,0.243000001,0.245199993,0.252099991,0.249400005,0.253199995,0.250999987,0.25150001,0.258399993,0.257400006,0.256700009,0.264099985,0.256999999,0.257999986,0.261799991,0.264400005,0.270799994,0.265500009,0.267800003,0.269699991,0.269300014,0.282400012,0.27579999,0.275299996,0.275999993,0.283600003,0.282000005,0.285299987,0.293000013,0.288599998,0.296099991,0.294800013,0.311300009,0.300900012,0.318899989,0.314700007,0.313899994,0.32280001,0.316399992,0.324200004,0.32980001,0.351200014,0.340900004,0.338,0.351000011,0.345499992,0.351500005,0.354699999,0.362300009,0.391499996,0.390199989,0.396499991,0.39230001,0.390199989,0.418500006,0.414700001,0.426299989,0.424199998,0.44690001,0.46450001,0.439900011,0.440699995,0.451400012,0.460399985,0.471599996,0.481400013,0.491699994,0.502600014,0.511300027,0.520900011,0.531400025,0.537500024,0.546999991,0.555899978,0.564899981,0.572700024,0.584299982,0.590699971,0.595499992,0.603200018,0.613200009,0.623899996,0.627499998,0.634199977,0.642700016,0.650099993,0.655900002,0.668099999,0.675599992,0.682900012,0.6875,0.693099976,0.703499973,0.709200025,0.718500018,0.727999985,0.73360002,0.738099992,0.741599977,0.745999992,0.75120002,0.753700018,0.75940001,0.761900008,0.765600026,0.771799982,0.771300018,0.771200001,0.784699976,0.790199995,0.788200021,0.789699972,0.79519999,0.794799984,0.788399994,0.793600023,0.795799971,0.794200003,0.792800009,0.796400011,0.798099995,0.797100008,0.796800017,0.793900013,0.799499989,0.798300028,0.797299981
A8,0.0898,0.0898,0.090899996,0.090000004,0.0902,0.090700001,0.092299998,0.092600003,0.093400002,0.094499998,0.095799997,0.097999997,0.0999,0.102799997,0.105300002,0.109099999,0.113700002,0.118100002,0.123599999,0.131200001,0.138600007,0.1479,0.158299997,0.169699997,0.183500007,0.200499997,0.219300002,0.241600007,0.267399997,0.299800009,0.334399998,0.36590001,0.401499987,0.438300014,0.474700004,0.502799988,0.532700002,0.564999998,0.597899973,0.625400007,0.644599974,0.663600028,0.683399975,0.701200008,0.719799995,0.734399974,0.739300013,0.735899985,0.730099976,0.72329998,0.722299993,0.714299977,0.707799971,0.694599986,0.653500021,0.565299988,0.489800006,0.392199993,0.348199993,0.310699999,0.287299991,0.266099989,0.256599993,0.248799995,0.246800005,0.249300003,0.247999996,0.246900007,0.245800003,0.2447,0.241799995,0.240099996,0.238100007,0.238000005,0.238499999,0.239299998,0.237000003,0.237100005,0.235300004,0.2377,0.2377,0.237599999,0.243799999,0.236599997,0.245000005,0.245700002,0.245700002,0.246099994,0.2447,0.253100008,0.250099987,0.255299985,0.252999991,0.249400005,0.254799992,0.255699992,0.2579,0.264899999,0.256199986,0.261900008,0.265199989,0.264299989,0.269800007,0.272100002,0.268099993,0.270000011,0.267500013,0.287200004,0.270900011,0.275099993,0.280800015,0.276800007,0.277099997,0.286300004,0.281199992,0.28580001,0.300599992,0.287800014,0.28639999,0.292299986,0.307900012,0.29519999,0.300099999,0.30309999,0.309199989,0.312000006,0.304800004,0.321399987,0.309700012,0.324800014,0.324900001,0.330599993,0.327100009,0.335200012,0.34799999,0.34709999,0.346599996,0.351099998,0.353199989,0.361400008,0.365200013,0.386900008,0.379099995,0.385500014,0.390799999,0.387800008,0.396800011,0.401499987,0.412600011,0.41870001,0.422100008,0.431699991,0.439700007,0.442200005,0.447600007,0.458900005,0.464899987,0.475100011,0.485399991,0.493499994,0.503700018,0.511300027,0.519500017,0.529600024,0.537999988,0.547100008,0.555499971,0.564100027,0.573099971,0.58160001,0.590399981,0.59890002,0.608699977,0.616599977,0.625800014,0.6329,0.641600013,0.648999989,0.657400012,0.666000009,0.672500014,0.681100011,0.68809998,0.696500003,0.703400016,0.711300015,0.717400014,0.726199985,0.736899972,0.743700027,0.749199986,0.754599988,0.758599997,0.764800012,0.769200027,0.771899998,0.778100014,0.781599998,0.791700006,0.795599997,0.797999978,0.799399972,0.801299989,0.801400006,0.805199981,0.80430001,0.805199981,0.805400014,0.806100011,0.806900024,0.807600021,0.807600021,0.808200002,0.808399975,0.808000028
