Cycle Nr.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125
Time [s],0,371.6,743.2,1114.7,1486.3,1857.9,2615.5,2987.1,3358.7,3730.2,4101.8,4473.4,4844.9,5216.5,5588.1,5959.6,6331.2,6702.8,7074.3,7445.9,7817.5,8189.1,8560.6,8932.2,9303.8,9675.4,10046.9,10418.5,10790.1,11161.7,11533.2,11904.8,12276.4,12648,13019.5,13391.1,13762.7,14134.2,14505.8,14877.4,15249,15620.5,15992.1,16363.7,16735.2,17106.8,17478.4,17849.9,18221.5,18593.1,18964.7,19336.2,19707.8,20079.4,20450.9,20822.5,21194.1,21565.7,21937.2,22308.8,22680.4,23051.9,23423.5,23795.1,24166.6,24538.2,24909.8,25281.4,25652.9,26024.5,26396.1,26767.6,27139.2,27510.8,27882.4,28253.9,28625.5,28997.1,29368.6,29740.2,30111.8,30483.3,30854.9,31226.5,31598.1,31969.6,32341.2,32712.8,33084.3,33455.9,33827.5,34199.1,34570.6,34942.2,35313.8,35685.3,36056.9,36428.5,36800.1,37171.6,37543.2,37914.8,38286.4,38657.9,39029.5,39401.1,39772.6,40144.2,40515.8,40887.3,41258.9,41630.5,42002,42373.6,42745.2,43116.8,43488.3,43859.9,44231.5,44603,44974.6,45346.2,45717.7,46089.3,46460.9
Temp. [C],38,37.9,38,37.9,37.8,37.9,37.9,38.2,38,37.9,37.8,37.9,37.9,37.9,37.8,37.8,38,38,38,37.9,38.2,37.8,38,38.1,37.8,38.1,38.1,38,38.1,37.9,37.9,38,38.1,38.1,38.1,38.1,37.9,37.9,38,37.9,37.7,37.9,38,37.9,37.9,37.9,38.1,38,37.8,37.9,38,37.9,37.9,38.2,37.8,38.1,37.8,38.2,37.9,37.7,37.8,38,38.1,38.1,37.8,37.9,37.9,38,38,38,37.9,38,38,38,38.2,37.9,38.1,38,38.2,38.1,38.2,38,37.9,37.9,38.1,38,37.8,38,37.9,37.9,38,37.9,37.8,38.1,38,38.2,37.8,37.8,38.1,38,37.9,38,37.8,37.8,38.1,37.9,38,37.8,37.9,38,38.2,38.2,38,38,37.9,37.7,38,37.8,38,37.9,37.9,38.1,37.9,37.9,38.2
A1,0.090599999,0.090599999,0.090700001,0.0911,0.091399997,0.092399999,0.093699999,0.094700001,0.096100003,0.097199999,0.099299997,0.1008,0.102899998,0.104099996,0.104900002,0.105899997,0.107000001,0.106299996,0.105400003,0.104099996,0.102799997,0.101499997,0.099200003,0.096699998,0.094700001,0.0933,0.092600003,0.091899998,0.091700003,0.091399997,0.091499999,0.091399997,0.091300003,0.091200002,0.0911,0.090999998,0.091300003,0.091300003,0.091300003,0.091300003,0.091200002,0.091200002,0.091200002,0.091399997,0.091300003,0.091399997,0.091300003,0.091200002,0.091399997,0.091300003,0.091399997,0.091300003,0.091300003,0.091200002,0.091200002,0.091399997,0.091399997,0.091300003,0.091499999,0.091399997,0.091499999,0.091600001,0.091799997,0.091799997,0.091799997,0.092100002,0.092100002,0.092200004,0.092399999,0.092799999,0.093199998,0.093500003,0.093999997,0.094499998,0.095100001,0.096000001,0.097099997,0.098200001,0.099600002,0.101499997,0.103699997,0.106299996,0.109300002,0.113399997,0.118199997,0.124200001,0.130400002,0.138300002,0.146200001,0.153200001,0.156800002,0.162100002,0.168200001,0.174400002,0.174700007,0.172800004,0.173500001,0.175799996,0.179000005,0.180299997,0.181400001,0.183799997,0.187099993,0.191400006,0.194999993,0.198599994,0.202999994,0.206100002,0.210299999,0.214300007,0.217899993,0.222000003,0.225799993,0.230000004,0.234300002,0.2377,0.241999999,0.2465,0.250400007,0.254999995,0.2597,0.264899999,0.269499987,0.274899989,0.279900014
A2,0.091200002,0.091200002,0.091399997,0.091799997,0.092200004,0.092799999,0.0942,0.095100001,0.096000001,0.097599998,0.099200003,0.101199999,0.103299998,0.1043,0.104999997,0.105999999,0.106700003,0.106399998,0.105300002,0.104199998,0.103399999,0.1021,0.099699996,0.0973,0.095600002,0.093999997,0.0933,0.092500001,0.092399999,0.092200004,0.092100002,0.092,0.091899998,0.091700003,0.091899998,0.094599999,0.091899998,0.094800003,0.091799997,0.091899998,0.091799997,0.091899998,0.091899998,0.092,0.092100002,0.091799997,0.091899998,0.091899998,0.092,0.091899998,0.092200004,0.092200004,0.092,0.092100002,0.113200001,0.092200004,0.092399999,0.092399999,0.092399999,0.092500001,0.092600003,0.093099996,0.093199998,0.093500003,0.093599997,0.0942,0.094599999,0.095399998,0.095899999,0.137799993,0.098499998,0.099600002,0.101599999,0.103600003,0.106399998,0.109899998,0.114,0.119199999,0.125599995,0.133699998,0.138699993,0.142900005,0.1514,0.161400005,0.171700001,0.179499999,0.188700005,0.1954,0.203500003,0.210099995,0.212799996,0.214200005,0.216100007,0.219500005,0.221900001,0.2236,0.225500003,0.227899998,0.231299996,0.234999999,0.238700002,0.242899999,0.2456,0.249200001,0.252799988,0.256999999,0.260100007,0.264600009,0.267699987,0.271200001,0.27579999,0.279799998,0.282299995,0.286000013,0.288700014,0.290699989,0.293300003,0.295899987,0.297500014,0.298700005,0.300700009,0.301099986,0.301899999,0.30219999,0.302300006
A3,0.091499999,0.091300003,0.091200002,0.091899998,0.092100002,0.093099996,0.094499998,0.095299996,0.096299998,0.097599998,0.0995,0.101899996,0.104599997,0.107600003,0.111000001,0.1149,0.117899999,0.118699998,0.118699998,0.120499998,0.123099998,0.124300003,0.125300005,0.126000002,0.1259,0.123899996,0.120300002,0.1153,0.109800003,0.105499998,0.101800002,0.099699996,0.0977,0.096900001,0.0964,0.095899999,0.095799997,0.095600002,0.0955,0.095299996,0.095200002,0.0955,0.095399998,0.095399998,0.095399998,0.095299996,0.095200002,0.095299996,0.095299996,0.095399998,0.0955,0.095700003,0.095399998,0.0955,0.095700003,0.096000001,0.095799997,0.095799997,0.096100003,0.0964,0.096500002,0.096699998,0.097000003,0.097400002,0.0977,0.098399997,0.098899998,0.099600002,0.100699998,0.101599999,0.103299998,0.105099998,0.107299998,0.110100001,0.1127,0.115599997,0.118000001,0.122900002,0.129299998,0.135700002,0.143399999,0.151899993,0.162,0.173199996,0.185599998,0.198100001,0.211899996,0.225199997,0.238999993,0.251199991,0.260199994,0.266900003,0.270900011,0.274500012,0.279599994,0.282999992,0.288300008,0.296200007,0.304100007,0.311500013,0.317799985,0.324499995,0.331400007,0.340900004,0.351799995,0.360900015,0.365999997,0.370000005,0.374300003,0.377999991,0.382600009,0.385699987,0.389600009,0.393099993,0.397700012,0.400099993,0.402799994,0.406100005,0.408699989,0.411300004,0.412800014,0.414499998,0.416099995,0.416500002,0.417400002
A4,0.091799997,0.091700003,0.092,0.092600003,0.093099996,0.093800001,0.095299996,0.096199997,0.097199999,0.098300003,0.100400001,0.102899998,0.1052,0.108400002,0.1118,0.115400001,0.1184,0.119499996,0.119199999,0.121399999,0.123800002,0.125200003,0.125599995,0.126499996,0.126699999,0.124700002,0.120899998,0.1162,0.110699996,0.105899997,0.102300003,0.100199997,0.098499998,0.097599998,0.097199999,0.096799999,0.096600004,0.096600004,0.0964,0.096199997,0.097000003,0.096199997,0.096000001,0.0964,0.096100003,0.096100003,0.095899999,0.096100003,0.096299998,0.096199997,0.096100003,0.096299998,0.096100003,0.096100003,0.096100003,0.096299998,0.096299998,0.096299998,0.096100003,0.096299998,0.0964,0.096500002,0.096600004,0.096600004,0.096600004,0.096799999,0.097099997,0.097199999,0.097599998,0.098099999,0.098399997,0.098899998,0.099399999,0.100199997,0.1008,0.1021,0.103399999,0.104800001,0.1065,0.109099999,0.111699998,0.115000002,0.118799999,0.122699998,0.126399994,0.132300004,0.139599994,0.147100002,0.155699998,0.1646,0.174600005,0.185299993,0.1963,0.206,0.214399993,0.222000003,0.228799999,0.235400006,0.238800004,0.241400003,0.244399995,0.248199999,0.252799988,0.256799996,0.262100011,0.268900007,0.2755,0.283199996,0.290899992,0.298599988,0.305299997,0.31220001,0.318199992,0.327499986,0.335000008,0.341399997,0.345899999,0.349900007,0.352400005,0.355599999,0.3583,0.361200005,0.364499986,0.366600007,0.369899988
A5,0.090599999,0.090700001,0.090800002,0.091200002,0.091700003,0.092299998,0.093800001,0.094800003,0.095600002,0.097099997,0.098899998,0.101000004,0.103799999,0.107500002,0.111299999,0.116700001,0.123999998,0.128399998,0.130999997,0.133300006,0.1373,0.140900001,0.144299999,0.1479,0.151199996,0.152600005,0.1505,0.146400005,0.140599996,0.133599997,0.126800001,0.122000001,0.1175,0.114500001,0.112400003,0.110100001,0.108599998,0.106600001,0.1052,0.105599999,0.102899998,0.102399997,0.101800002,0.100900002,0.1017,0.0999,0.0995,0.098999999,0.098999999,0.098800004,0.098800004,0.098700002,0.098800004,0.098399997,0.098700002,0.098700002,0.0986,0.098700002,0.098899998,0.099100001,0.099200003,0.099200003,0.099299997,0.099600002,0.0999,0.100400001,0.100699998,0.101199999,0.101800002,0.102700002,0.103699997,0.104699999,0.105800003,0.107299998,0.1087,0.110600002,0.113200001,0.115699999,0.118799999,0.1228,0.127100006,0.132200003,0.138099998,0.144400001,0.151299998,0.158899993,0.167699993,0.175799996,0.184499994,0.191799998,0.197699994,0.203099996,0.207100004,0.209999993,0.211400002,0.212200001,0.214599997,0.216999993,0.219400004,0.223100007,0.226600006,0.230499998,0.234400004,0.239600003,0.243200004,0.248500004,0.253300011,0.257800013,0.262400001,0.2685,0.274199992,0.279700011,0.284099996,0.288700014,0.292199999,0.296900004,0.301299989,0.304399997,0.309199989,0.312999994,0.316199988,0.317900002,0.320199996,0.3222,0.324000001
A6,0.090599999,0.090599999,0.090499997,0.090999998,0.091399997,0.092100002,0.093599997,0.094599999,0.0955,0.096699998,0.098899998,0.101199999,0.104099996,0.107699998,0.111900002,0.117299996,0.123199999,0.128600001,0.130999997,0.133499995,0.137400001,0.141299993,0.144299999,0.148399994,0.151299998,0.152799994,0.150199994,0.145199999,0.139799997,0.1338,0.126399994,0.121100001,0.1171,0.113799997,0.1118,0.109899998,0.108199999,0.106600001,0.1052,0.1039,0.102700002,0.102200001,0.101199999,0.100900002,0.100400001,0.100000001,0.099600002,0.099100001,0.099100001,0.098800004,0.098999999,0.098899998,0.0986,0.098499998,0.0986,0.098700002,0.098700002,0.098800004,0.098899998,0.098999999,0.098999999,0.099299997,0.0995,0.099699996,0.0999,0.100299999,0.101199999,0.101400003,0.102200001,0.103,0.104199998,0.105400003,0.106799997,0.1083,0.110299997,0.112800002,0.115800001,0.118799999,0.123000003,0.127700001,0.133200005,0.138999999,0.146599993,0.155399993,0.165700004,0.177100003,0.190099999,0.204699993,0.220799997,0.237399995,0.254700005,0.269499987,0.281399995,0.290600002,0.298099995,0.30430001,0.310600013,0.317600012,0.324000001,0.32980001,0.343300015,0.358399987,0.368999988,0.378899992,0.386400014,0.393599987,0.400700003,0.408699989,0.415600002,0.421700001,0.428900003,0.435699999,0.440699995,0.44659999,0.451599985,0.456400007,0.460399985,0.464899987,0.467999995,0.471599996,0.473399997,0.474299997,0.475699991,0.477100015,0.477800012
A7,0.090400003,0.090300001,0.090400003,0.090800002,0.091200002,0.092100002,0.093500003,0.095399998,0.095299996,0.096799999,0.0986,0.101000004,0.1039,0.1074,0.112000003,0.117299996,0.1237,0.132100001,0.140599996,0.149000004,0.156900004,0.160799995,0.159500003,0.156800002,0.153999999,0.151500002,0.1505,0.149900004,0.150199994,0.151199996,0.151800007,0.1523,0.152999997,0.153400004,0.154300004,0.154499993,0.155100003,0.155200005,0.155499995,0.155000001,0.1558,0.155900002,0.155200005,0.156000003,0.156000003,0.155699998,0.155300006,0.154699996,0.154899999,0.153999999,0.153899997,0.152899995,0.1523,0.151700005,0.151199996,0.149700001,0.148699999,0.147799999,0.147,0.146300003,0.145400003,0.144800007,0.144199997,0.143000007,0.142700002,0.141800001,0.141200006,0.140699998,0.140100002,0.139599994,0.139300004,0.138799995,0.138500005,0.137799993,0.137400001,0.136899993,0.137099996,0.136800006,0.136399999,0.136099994,0.136000007,0.136199996,0.136399999,0.136899993,0.137400001,0.1382,0.139300004,0.140200004,0.142100006,0.143900007,0.1461,0.148499995,0.151299998,0.155100003,0.158899993,0.162,0.166800007,0.172199994,0.176599994,0.181700006,0.186399996,0.192300007,0.195600003,0.200100005,0.203199998,0.207599998,0.209399998,0.212799996,0.214499995,0.217399999,0.219899997,0.222299993,0.224700004,0.227699995,0.231199995,0.234899998,0.239399999,0.245399997,0.25029999,0.255400002,0.260800004,0.264800012,0.268299997,0.271100014,0.274300009
A8,0.089900002,0.089900002,0.090099998,0.090599999,0.090999998,0.091700003,0.093500003,0.094499998,0.095399998,0.097099997,0.098899998,0.101099998,0.1043,0.107799999,0.112300001,0.118199997,0.125,0.133399993,0.141800001,0.149499997,0.157299995,0.160400003,0.158899993,0.156100005,0.152899995,0.151199996,0.1505,0.149800003,0.150099993,0.151299998,0.1514,0.151899993,0.152500004,0.153200001,0.153600007,0.153899997,0.154499993,0.154599994,0.155000001,0.154799998,0.154699996,0.155100003,0.154899999,0.155100003,0.155499995,0.155000001,0.155399993,0.154699996,0.154899999,0.154200003,0.154200003,0.153999999,0.153799996,0.153500006,0.153099999,0.152799994,0.152199998,0.151800007,0.150900006,0.151299998,0.150700003,0.149900004,0.149900004,0.150099993,0.149800003,0.149800003,0.150299996,0.150299996,0.1505,0.150700003,0.151500002,0.151999995,0.152700007,0.153400004,0.154799998,0.156200007,0.158000007,0.160300002,0.162699997,0.165800005,0.168699995,0.173199996,0.177599996,0.182899997,0.189300001,0.196099997,0.2042,0.212699994,0.223100007,0.233600006,0.246399999,0.259799987,0.273099989,0.286900014,0.301699996,0.318800002,0.335900009,0.344700009,0.351599991,0.359499991,0.370200008,0.378800005,0.386500001,0.393599987,0.401499987,0.41080001,0.418000013,0.425599992,0.432599992,0.441000015,0.448799998,0.457899988,0.46540001,0.474000007,0.482300013,0.489600003,0.497500002,0.503099978,0.50910002,0.516300023,0.520399988,0.524800003,0.529399991,0.532500029,0.535399973
