Cycle Nr.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213
Time [s],0,371.6,743.1,1114.7,1486.3,1857.8,2566.1,2937.7,3309.3,3680.8,4052.4,4424,4795.5,5167.1,5538.7,5910.3,6281.8,6653.4,7025,7396.5,7768.1,8139.7,8511.2,8882.8,9254.4,9625.9,9997.5,10369.1,10740.6,11112.2,11483.8,11855.3,12226.9,12598.5,12970,13341.6,13713.2,14084.7,14456.3,14827.9,15199.4,15571,15942.6,16314.2,16685.7,17057.3,17428.9,17800.4,18172,18543.6,18915.1,19286.7,19658.3,20029.8,20401.4,20773,21144.5,21516.1,21887.7,22259.2,22630.8,23002.4,23373.9,23745.5,24117.1,24488.6,24860.2,25231.8,25603.4,25974.9,26346.5,26718.1,27089.6,27461.2,27832.8,28204.3,28575.9,28947.5,29319,29690.6,30062.2,30433.7,30805.3,31176.9,31548.4,31920,32291.6,32663.1,33034.7,33406.3,33777.8,34149.4,34521,34892.5,35264.1,35635.7,36007.2,36378.8,36750.4,37121.9,37493.5,37865.1,38236.6,38608.2,38979.8,39351.3,39722.9,40094.5,40466,40837.6,41209.2,41580.7,41952.3,42323.9,42695.4,43067,43438.6,43810.1,44181.7,44553.3,44924.8,45296.4,45668,46039.5,46411.1,46788.4,47159.9,47531.5,47903,48274.6,48646.2,49017.7,49389.3,49760.9,50132.4,50504,50875.6,51247.1,51618.7,51990.3,52361.8,52733.4,53105,53476.5,53848.1,54219.7,54591.3,54962.8,55334.4,55706,56077.5,56449.1,56820.7,57192.2,57563.8,57935.4,58306.9,58678.5,59050.1,59421.6,59793.2,60164.8,60536.3,60907.9,61279.5,61651,62022.6,62394.2,62765.7,63137.3,63508.9,63880.4,64252,64623.6,64995.1,65366.7,65738.3,66109.8,66481.4,66853,67224.5,67596.1,67967.7,68339.2,68710.8,69082.4,69454,69825.5,70197.1,70568.7,70940.2,71311.8,71683.4,72054.9,72426.5,72798.1,73169.6,73541.2,73912.8,74284.3,74655.9,75027.5,75399,75770.6,76142.2,76513.7,76885.3,77256.9,77628.4,78000,78371.6,78743.1,79114.7
Temp. [C],37.6,38.1,38.3,37.9,38,37.9,37.7,37.9,38.1,38,37.8,38,37.9,37.9,38,38.1,37.9,38.1,38,38.1,37.9,38,38,38.2,38,38.1,38.2,38,38.1,38.1,38,38.1,37.9,38,38.1,38,38.1,38,38.1,38,37.9,37.8,38,37.8,38.1,38,38,37.9,38,38.1,38.1,38.2,38.1,38,38,38,38.1,37.8,38,38.1,37.8,38.1,38.1,37.9,38.2,37.8,38.1,38.1,38,38,38,37.8,38,37.9,38,38.1,37.9,38,38.2,37.9,38,38,38,38.1,37.8,38.2,38.1,38,38.1,38,38,38,38,38,38.1,38.2,38,38.2,38,37.8,38.1,38.2,38,38.1,38.2,37.9,37.8,37.9,38.1,37.9,38.1,38,38,38.1,38,37.8,38.1,37.8,38.2,37.9,38.1,38.2,38.1,38.1,38.2,37.8,38.1,38.1,38.2,38,38.1,38,38.1,37.9,38.2,38.1,38.2,37.8,38.1,38.1,38,38,38.1,37.9,38.2,37.9,38,37.9,38.1,38.1,37.8,37.9,37.8,37.8,38,38.1,38.2,38.2,38,38.1,37.9,38,38.1,38.2,37.8,38.1,38.2,37.9,38.1,38.2,37.9,38.1,37.9,38.2,37.9,38,38.2,38,38,37.9,38.1,38,38,37.9,38,37.8,38,37.9,38,38.2,38.1,37.9,38,38,38,38,38,37.9,38.2,38.2,37.9,38,37.9,38,38.2,38.1,38.1,37.8,38,38.1,38.1,38,38.1
A1,0.090000004,0.090099998,0.090400003,0.090599999,0.091200002,0.091300003,0.092900001,0.093599997,0.094499998,0.096100003,0.096900001,0.0986,0.100500003,0.102399997,0.104099996,0.106600001,0.108099997,0.108999997,0.110200003,0.112199999,0.115199998,0.118100002,0.123000003,0.1285,0.134399995,0.140799999,0.148699999,0.1567,0.1664,0.177599996,0.190300003,0.204799995,0.221499994,0.239999995,0.260800004,0.282400012,0.307900012,0.319999993,0.327300012,0.320600003,0.311800003,0.298700005,0.28490001,0.269400001,0.252700001,0.237000003,0.215499997,0.203899994,0.192100003,0.183200002,0.178900003,0.170699999,0.164900005,0.160799995,0.157199994,0.154499993,0.150999993,0.148300007,0.145999998,0.143399999,0.141399994,0.138899997,0.137099996,0.135100007,0.133699998,0.134299994,0.133499995,0.133100003,0.131999999,0.131699994,0.131600007,0.130899996,0.131200001,0.131300002,0.132400006,0.132200003,0.132499993,0.133100003,0.133499995,0.133900002,0.134000003,0.134800002,0.136299998,0.137600005,0.138899997,0.139899999,0.142000005,0.143900007,0.145899996,0.148399994,0.150999993,0.153999999,0.157600001,0.161699995,0.166500002,0.170699999,0.177599996,0.183899999,0.190200001,0.199699998,0.209900007,0.219999999,0.232299998,0.242500007,0.253899992,0.2667,0.282799989,0.297699988,0.308099985,0.325399995,0.354000002,0.370299995,0.381700009,0.4023,0.418099999,0.439799994,0.451099992,0.470600009,0.483399987,0.50120002,0.519800007,0.538100004,0.554799974,0.568899989,0.586199999,0.574000001,0.615400016,0.629199982,0.644400001,0.656199992,0.666499972,0.677699983,0.691999972,0.708299994,0.718500018,0.731100023,0.741900027,0.752399981,0.762899995,0.769900024,0.779200017,0.790600002,0.799000025,0.806599975,0.824800014,0.832799971,0.840900004,0.846499979,0.852599978,0.854499996,0.855799973,0.858399987,0.861500025,0.864199996,0.864099979,0.867600024,0.869700015,0.870299995,0.871399999,0.872900009,0.871399999,0.872799993,0.872900009,0.874199986,0.876399994,0.878400028,0.878300011,0.880599976,0.880400002,0.882099986,0.883099973,0.884599984,0.885100007,0.886699975,0.887300014,0.887600005,0.888000011,0.888199985,0.888000011,0.886900008,0.887399971,0.887099981,0.885299981,0.884199977,0.884199977,0.88349998,0.882000029,0.880900025,0.880200028,0.879400015,0.877699971,0.87650001,0.87529999,0.873700023,0.873700023,0.872200012,0.870599985,0.869599998,0.867600024,0.8671,0.865700006,0.865499973,0.863799989,0.862500012,0.861199975,0.860599995,0.859200001,0.858099997,0.856599987,0.85619998,0.854499996,0.853799999,0.853200018
A2,0.090599999,0.090599999,0.090700001,0.091200002,0.091499999,0.091700003,0.093099996,0.093699999,0.094499998,0.095899999,0.096699998,0.098200001,0.100100003,0.101800002,0.103299998,0.105499998,0.106700003,0.107500002,0.1087,0.1105,0.112300001,0.115000002,0.118500002,0.122900002,0.128000006,0.134399995,0.141000003,0.148699999,0.157399997,0.167099997,0.178100005,0.192000002,0.206100002,0.2245,0.244000003,0.26730001,0.291000009,0.306600004,0.320800006,0.328099996,0.329899997,0.320899993,0.305299997,0.287900001,0.266099989,0.244499996,0.216299996,0.202099994,0.188099995,0.178800002,0.172499999,0.169,0.165099993,0.160899997,0.158199996,0.155499995,0.152600005,0.150099993,0.147100002,0.144899994,0.142800003,0.140499994,0.139500007,0.137999997,0.136600003,0.135800004,0.135399997,0.134499997,0.134299994,0.133499995,0.134200007,0.133300006,0.133399993,0.133499995,0.135499999,0.134900004,0.135800004,0.137400001,0.137999997,0.139799997,0.141800001,0.1426,0.146200001,0.147699997,0.151500002,0.154200003,0.157600001,0.161699995,0.167099997,0.172099993,0.178800002,0.186499998,0.194999993,0.2042,0.215599999,0.229100004,0.240099996,0.251899987,0.264600009,0.278600007,0.2958,0.310000002,0.327399999,0.344599992,0.364600003,0.381900012,0.401199996,0.421099991,0.438800007,0.458499998,0.476099998,0.493200004,0.510699987,0.52700001,0.543500006,0.558799982,0.575800002,0.591400027,0.607599974,0.623899996,0.638599992,0.653599977,0.666899979,0.681100011,0.695200026,0.697600007,0.72420001,0.736199975,0.748600006,0.7597,0.771300018,0.781499982,0.791499972,0.801699996,0.81099999,0.821099997,0.838100016,0.851599991,0.859000027,0.865100026,0.870700002,0.875199974,0.880900025,0.886099994,0.890200019,0.894999981,0.898400009,0.90200001,0.904900014,0.907299995,0.910300016,0.911899984,0.914399981,0.916000009,0.917900026,0.918500006,0.921199977,0.922100008,0.923500001,0.924499989,0.925100029,0.926599979,0.92809999,0.929099977,0.930400014,0.932299972,0.933000028,0.934199989,0.935699999,0.936200023,0.937300026,0.937300026,0.9375,0.93809998,0.9375,0.937399983,0.9375,0.936999977,0.935699999,0.935599983,0.935199976,0.935100019,0.933899999,0.932600021,0.932600021,0.931299984,0.930599988,0.930299997,0.929700017,0.929400027,0.928499997,0.927600026,0.926999986,0.926599979,0.925300002,0.924799979,0.924199998,0.923200011,0.922999978,0.921599984,0.921599984,0.92019999,0.920000017,0.919499993,0.919099987,0.91869998,0.918099999,0.917400002,0.916499972,0.916499972,0.915499985,0.915199995,0.915199995
A3,0.090400003,0.090599999,0.090700001,0.0911,0.091300003,0.091700003,0.092900001,0.093500003,0.0942,0.095700003,0.099200003,0.098499998,0.101000004,0.103200004,0.106399998,0.110100001,0.114100002,0.118900001,0.123899996,0.130700007,0.137899995,0.146500006,0.155900002,0.167099997,0.180500001,0.196500003,0.213300005,0.235300004,0.259000003,0.287099987,0.312900007,0.336499989,0.365099996,0.390199989,0.400900006,0.386200011,0.360300004,0.331400007,0.302100003,0.272399992,0.240899995,0.210199997,0.191499993,0.177900001,0.174600005,0.170599997,0.168200001,0.163499996,0.159799993,0.157299995,0.153500006,0.151299998,0.148100004,0.146799996,0.145300001,0.143099993,0.142499998,0.140900001,0.1391,0.1382,0.136600003,0.134800002,0.133599997,0.133100003,0.131699994,0.130600005,0.130600005,0.130600005,0.130099997,0.129800007,0.129800007,0.130400002,0.1303,0.130400002,0.131200001,0.131699994,0.132400006,0.133200005,0.134200007,0.135700002,0.136500001,0.137899995,0.139500007,0.141200006,0.143199995,0.145799994,0.148399994,0.150999993,0.154200003,0.156900004,0.160699993,0.164100006,0.169400007,0.174400002,0.180199996,0.185100004,0.1919,0.199300006,0.207399994,0.215000004,0.226099998,0.235400006,0.243200004,0.251399994,0.261700004,0.273099989,0.284000009,0.294,0.307799995,0.322899997,0.339700013,0.357499987,0.370000005,0.386000007,0.405999988,0.425799996,0.446399987,0.466199994,0.485799998,0.505100012,0.524399996,0.544099987,0.560699999,0.578100026,0.595600009,0.604700029,0.624599993,0.639199972,0.654100001,0.668200016,0.68629998,0.698400021,0.712800026,0.724799991,0.736400008,0.748600006,0.760200024,0.776899993,0.792500019,0.800899982,0.807299972,0.81400001,0.819999993,0.825800002,0.83039999,0.835799992,0.841099977,0.845700026,0.850700021,0.854300022,0.85799998,0.860700011,0.864199996,0.866299987,0.868499994,0.870999992,0.873000026,0.874199986,0.875899971,0.878799975,0.878899992,0.879700005,0.880800009,0.882399976,0.884500027,0.885699987,0.887399971,0.889100015,0.890299976,0.890999973,0.892199993,0.892400026,0.891799986,0.8926,0.892199993,0.891700029,0.891099989,0.890600026,0.889199972,0.889100015,0.888000011,0.888100028,0.886600018,0.885800004,0.885500014,0.884199977,0.884599984,0.883599997,0.882499993,0.882200003,0.881699979,0.880400002,0.880299985,0.879499972,0.878799975,0.878199995,0.877600014,0.876999974,0.87650001,0.87559998,0.874899983,0.874899983,0.873899996,0.873300016,0.872799993,0.872600019,0.871699989,0.871500015,0.870800018,0.871100008,0.869899988,0.869899988,0.869400024
A4,0.090499997,0.090000004,0.090400003,0.090800002,0.0911,0.091300003,0.092799999,0.093500003,0.094400004,0.095700003,0.097000003,0.098700002,0.101000004,0.103799999,0.1065,0.110600002,0.114600003,0.1197,0.124899998,0.131699994,0.139699996,0.1479,0.157499999,0.168799996,0.182999998,0.199599996,0.216999993,0.238900006,0.263999999,0.293300003,0.318699986,0.343400002,0.372500002,0.403299987,0.41870001,0.405099988,0.378100008,0.347000003,0.3134,0.275400013,0.240899995,0.207200006,0.193100005,0.182099998,0.174799994,0.169300005,0.163200006,0.160899997,0.155599996,0.154100001,0.149700001,0.148699999,0.146500006,0.143999994,0.143299997,0.142900005,0.141900003,0.140300006,0.138999999,0.138899997,0.137500003,0.136399999,0.134599999,0.135399997,0.1347,0.134100005,0.133699998,0.133200005,0.133100003,0.132499993,0.132799998,0.132799998,0.1329,0.133000001,0.133699998,0.133699998,0.134100005,0.135000005,0.135800004,0.137199998,0.1382,0.139400005,0.141100004,0.141800001,0.144600004,0.145699993,0.148300007,0.151099995,0.153600007,0.157100007,0.159299999,0.163000003,0.167799994,0.172199994,0.177900001,0.181899995,0.187000006,0.194800004,0.201299995,0.210600004,0.217199996,0.223800004,0.237499997,0.247099996,0.256000012,0.2685,0.277700007,0.291000009,0.30309999,0.320199996,0.331099987,0.344799995,0.365099996,0.379999995,0.397700012,0.411799997,0.433499992,0.452399999,0.472200006,0.490999997,0.50999999,0.531300008,0.549600005,0.568000019,0.586499989,0.602100015,0.618200004,0.632399976,0.648100019,0.662999988,0.677699983,0.695299983,0.709399998,0.721700013,0.734200001,0.746999979,0.75849998,0.773999989,0.792599976,0.800700009,0.807799995,0.814599991,0.821099997,0.826300025,0.831900001,0.837800026,0.842800021,0.847599983,0.851800025,0.856899977,0.860700011,0.864799976,0.868799984,0.871500015,0.874300003,0.876600027,0.878099978,0.881200016,0.882099986,0.883599997,0.886699975,0.887700021,0.888300002,0.889400005,0.890200019,0.892400026,0.893899977,0.896600008,0.897800028,0.899399996,0.899600029,0.900099993,0.899999976,0.899900019,0.899999976,0.899299979,0.898999989,0.898199975,0.897400022,0.896899998,0.896399975,0.895699978,0.894800007,0.893299997,0.893299997,0.89200002,0.891900003,0.890900016,0.890100002,0.890299976,0.888700008,0.887499988,0.887499988,0.887000024,0.886500001,0.885299981,0.885299981,0.884599984,0.883899987,0.883000016,0.882799983,0.882300019,0.881600022,0.880699992,0.880500019,0.880400002,0.879700005,0.878799975,0.878799975,0.878400028,0.877099991,0.877799988,0.877200007
A5,0.089900002,0.0898,0.090000004,0.090099998,0.090700001,0.090800002,0.092299998,0.092900001,0.093699999,0.095299996,0.0964,0.098200001,0.100199997,0.103200004,0.1061,0.109899998,0.113899998,0.119400002,0.125300005,0.132799998,0.141000003,0.150199994,0.161300004,0.174400002,0.188999996,0.207200006,0.227400005,0.252000004,0.281399995,0.313899994,0.341699988,0.375499994,0.409700006,0.446799994,0.481999993,0.505699992,0.521300018,0.534600019,0.541499972,0.547900021,0.53549999,0.467400014,0.3477,0.267100006,0.217399999,0.195999995,0.182099998,0.175899997,0.170399994,0.165199995,0.162699997,0.160099998,0.159600005,0.159799993,0.158099994,0.157700002,0.158399999,0.156800002,0.157000005,0.156499997,0.154899999,0.155200005,0.155399993,0.154899999,0.155599996,0.154899999,0.154499993,0.154899999,0.154200003,0.154899999,0.153799996,0.154799998,0.153799996,0.153400004,0.154899999,0.154400006,0.154799998,0.155000001,0.157600001,0.160099998,0.156200007,0.163900003,0.158999994,0.168599993,0.160500005,0.162499994,0.170499995,0.164499998,0.172000006,0.166800007,0.172199994,0.173099995,0.173700005,0.179299995,0.182099998,0.182899997,0.1875,0.191400006,0.195600003,0.194700003,0.221599996,0.212400004,0.211799994,0.210800007,0.2192,0.224800006,0.231800005,0.231999993,0.246600002,0.244499996,0.245900005,0.257800013,0.263700008,0.269800007,0.278100014,0.289200008,0.298999995,0.309399992,0.323599994,0.342599988,0.364100009,0.367000014,0.381700009,0.391200006,0.407900006,0.419200003,0.434199989,0.450599998,0.467799991,0.484400004,0.499799997,0.511900008,0.529200017,0.54430002,0.559800029,0.577600002,0.594099998,0.608900011,0.623300016,0.635200024,0.647199988,0.659699976,0.67750001,0.689499974,0.701200008,0.717599988,0.739400029,0.747600019,0.753700018,0.75910002,0.765100002,0.770099998,0.775200009,0.779900014,0.786199987,0.789799988,0.794499993,0.798699975,0.802299976,0.805199981,0.807399988,0.81099999,0.81220001,0.815299988,0.817499995,0.818199992,0.821099997,0.823199987,0.823800027,0.825200021,0.826699972,0.828199983,0.832000017,0.834699988,0.836499989,0.837000012,0.838500023,0.8398,0.840900004,0.841300011,0.840300024,0.8398,0.838400006,0.837199986,0.837199986,0.833599985,0.834599972,0.832799971,0.831900001,0.830900013,0.82950002,0.828400016,0.827600002,0.826200008,0.825399995,0.824199975,0.823800027,0.822099984,0.822099984,0.82069999,0.820500016,0.819700003,0.819199979,0.818000019,0.817499995,0.816699982,0.816200018,0.815800011,0.814400017,0.814800024,0.813399971,0.81309998,0.81279999
A6,0.090599999,0.090999998,0.0911,0.091200002,0.091600001,0.092,0.093199998,0.094099998,0.094599999,0.096100003,0.0977,0.099399999,0.101599999,0.104500003,0.107500002,0.111699998,0.115900002,0.120999999,0.127399996,0.135100007,0.143299997,0.152700007,0.164299995,0.177200004,0.193499997,0.211099997,0.231999993,0.256599993,0.28670001,0.319700003,0.34830001,0.383100003,0.417600006,0.456099987,0.489800006,0.511200011,0.524699986,0.537500024,0.54339999,0.544700027,0.531700015,0.465499997,0.339300007,0.257400006,0.215800002,0.198400006,0.185299993,0.177499995,0.171299994,0.166199997,0.163800001,0.162900001,0.159899995,0.161500007,0.160999998,0.160300002,0.159999996,0.159299999,0.158500001,0.158500001,0.158099994,0.157499999,0.157199994,0.157299995,0.157000005,0.157499999,0.155399993,0.157000005,0.155599996,0.156599998,0.155599996,0.1567,0.155300006,0.154599994,0.156000003,0.155200005,0.157000005,0.157900006,0.157199994,0.158500001,0.158299997,0.158600003,0.159500003,0.160600007,0.161799997,0.163599998,0.163800001,0.165700004,0.165700004,0.173299998,0.171900004,0.175500005,0.172399998,0.184900001,0.180399999,0.187399998,0.184400007,0.193700001,0.189999998,0.200399995,0.199699998,0.207200006,0.208900005,0.215599999,0.216100007,0.220699996,0.223700002,0.231199995,0.237200007,0.241699994,0.249599993,0.254099995,0.260500014,0.26820001,0.27669999,0.281399995,0.288599998,0.303299993,0.328900009,0.323799998,0.349299997,0.357499987,0.368600011,0.3829,0.3926,0.40259999,0.419999987,0.436199993,0.452899992,0.469500005,0.485399991,0.501600027,0.517199993,0.531199992,0.546700001,0.563799977,0.576799989,0.590699971,0.608099997,0.618600011,0.6329,0.646200001,0.659099996,0.673600018,0.689499974,0.701699972,0.71359998,0.725799978,0.746399999,0.75999999,0.767400026,0.770500004,0.777499974,0.783599973,0.787899971,0.793600023,0.796999991,0.802100003,0.806500018,0.809000015,0.811699986,0.814999998,0.817399979,0.819299996,0.82249999,0.824599981,0.827199996,0.828599989,0.829900026,0.831799984,0.833000004,0.834200025,0.835099995,0.835799992,0.837100029,0.841099977,0.843400002,0.843800008,0.844799995,0.846400023,0.84829998,0.84859997,0.847599983,0.847199976,0.846700013,0.845799983,0.845000029,0.843900025,0.843699992,0.841799974,0.840300024,0.841499984,0.837800026,0.836600006,0.835799992,0.834500015,0.833299994,0.832799971,0.832400024,0.831099987,0.83099997,0.829599977,0.829100013,0.827899992,0.827099979,0.826499999,0.827199996,0.824999988,0.824299991,0.823400021,0.822899997,0.823000014,0.822300017
A7,0.090099998,0.090099998,0.090300001,0.090400003,0.090700001,0.090899996,0.092699997,0.093000002,0.093900003,0.095700003,0.096900001,0.0986,0.101199999,0.104199998,0.107199997,0.111500002,0.115999997,0.121600002,0.127399996,0.135800004,0.143999994,0.154300004,0.165600002,0.179499999,0.195700005,0.2139,0.235599995,0.261999995,0.292800009,0.325800002,0.357300013,0.3935,0.42899999,0.465000004,0.497799993,0.532500029,0.558099985,0.588400006,0.614400029,0.637199998,0.658599973,0.681299984,0.690999985,0.66960001,0.632000029,0.592499971,0.561600029,0.526000023,0.4824,0.4111,0.318899989,0.259200007,0.224299997,0.218400002,0.208000004,0.202900007,0.199000001,0.194000006,0.193800002,0.194499999,0.193100005,0.194299996,0.192300007,0.192399994,0.188700005,0.188600004,0.185900003,0.186100006,0.184599996,0.182899997,0.183699995,0.180099994,0.181299999,0.181400001,0.181700006,0.189899996,0.1884,0.183599994,0.184300005,0.187299997,0.185699999,0.184200004,0.189799994,0.187000006,0.187700003,0.188099995,0.188899994,0.191200003,0.190899998,0.195199996,0.205400005,0.1954,0.206,0.206499994,0.200599998,0.202700004,0.202099994,0.204300001,0.202700004,0.205400005,0.2051,0.204099998,0.206799999,0.204400003,0.208499998,0.214399993,0.212899998,0.239199996,0.219699994,0.220400006,0.238000005,0.227899998,0.225400001,0.232999995,0.2333,0.236100003,0.2447,0.242599994,0.244200006,0.262499988,0.250800014,0.257099986,0.269300014,0.262600005,0.266200006,0.274899989,0.279399991,0.291000009,0.293300003,0.29429999,0.313800007,0.309599996,0.323100001,0.341699988,0.336499989,0.343400002,0.371800005,0.374300003,0.392699987,0.393700004,0.407499999,0.412699997,0.424299985,0.438899994,0.455799997,0.467999995,0.486799985,0.494700015,0.501999974,0.5176,0.528400004,0.551400006,0.564999998,0.573400021,0.580200016,0.602999985,0.617999971,0.630599976,0.643100023,0.66109997,0.672999978,0.685699999,0.693799973,0.70480001,0.714999974,0.726999998,0.753000021,0.763100028,0.766799986,0.770299971,0.773100019,0.776799977,0.779399991,0.781700015,0.785700023,0.792200029,0.79369998,0.797699988,0.800800025,0.803300023,0.8046,0.807699978,0.808700025,0.810100019,0.813499987,0.81400001,0.816999972,0.816600025,0.816900015,0.818300009,0.819500029,0.819800019,0.820200026,0.820500016,0.822000027,0.823499978,0.827499986,0.82889998,0.829299986,0.829999983,0.830900013,0.83160001,0.83039999,0.829400003,0.82889998,0.827400029,0.827899992,0.826699972,0.826699972,0.824800014,0.823499978,0.823400021,0.822600007
A8,0.089599997,0.0898,0.089900002,0.0902,0.090899996,0.091200002,0.092500001,0.093199998,0.0942,0.095799997,0.097400002,0.099299997,0.102200001,0.1052,0.108999997,0.113499999,0.118600003,0.1241,0.131400004,0.140200004,0.149399996,0.159400001,0.171900004,0.1866,0.203299999,0.2227,0.246299997,0.273600012,0.306400001,0.338800013,0.370799989,0.407999992,0.445600003,0.48210001,0.512799978,0.545099974,0.573300004,0.603699982,0.628499985,0.646000028,0.661800027,0.680000007,0.689499974,0.669200003,0.626399994,0.584500015,0.55430001,0.514999986,0.473699987,0.413500011,0.350899994,0.269499987,0.236100003,0.221699998,0.211400002,0.207499996,0.202900007,0.201100007,0.199000001,0.197899997,0.195500001,0.196500003,0.194900006,0.193499997,0.191300005,0.190500006,0.188199997,0.186499998,0.185299993,0.185299993,0.183599994,0.183400005,0.183899999,0.186000004,0.185200006,0.185599998,0.183599994,0.185800001,0.1866,0.185900003,0.1875,0.189600006,0.185900003,0.189500004,0.191799998,0.191200003,0.199000001,0.195800006,0.191,0.1954,0.196700007,0.194999993,0.198500007,0.196400002,0.201000005,0.200499997,0.201499999,0.202299997,0.201900005,0.201399997,0.205400005,0.210199997,0.209199995,0.211400002,0.212500006,0.216800004,0.213799998,0.219500005,0.221799999,0.226500005,0.227599993,0.232199997,0.229399994,0.233500004,0.238800004,0.239099994,0.247799993,0.246099994,0.249400005,0.255400002,0.261500001,0.261900008,0.2685,0.269800007,0.279700011,0.280000001,0.291200012,0.295399994,0.305700004,0.320199996,0.321200013,0.325100005,0.331800014,0.352499992,0.353599995,0.380100012,0.372399986,0.393400013,0.398499995,0.408499986,0.420399994,0.434399992,0.446700007,0.459800005,0.4745,0.488000005,0.502099991,0.516200006,0.530600011,0.544799984,0.557299972,0.57190001,0.583700001,0.597000003,0.611599982,0.623899996,0.6347,0.647300005,0.661499977,0.671199977,0.682900012,0.694500029,0.705600023,0.716600001,0.730400026,0.745700002,0.765699983,0.774399996,0.779200017,0.783299983,0.788699985,0.792299986,0.797699988,0.800100029,0.80369997,0.807299972,0.809599996,0.8125,0.813399971,0.816500008,0.818300009,0.8204,0.82130003,0.823400021,0.824199975,0.825299978,0.826600015,0.828100026,0.827899992,0.829599977,0.829999983,0.83130002,0.834699988,0.837700009,0.838800013,0.841000021,0.841499984,0.841499984,0.842000008,0.841700017,0.842400014,0.8398,0.837300003,0.836799979,0.836000025,0.834299982,0.832400024,0.831399977,0.830200016,0.829100013,0.827499986,0.826699972,0.826799989
