Cycle Nr.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125
Time [s],0,371.6,743.1,1114.7,1486.2,1857.8,2568.7,2940.3,3311.8,3683.4,4055,4426.5,4798.1,5169.6,5541.2,5912.7,6284.3,6655.8,7027.4,7399,7770.5,8142.1,8513.6,8885.2,9256.8,9628.3,9999.9,10371.4,10743,11114.5,11486.1,11857.6,12229.2,12600.8,12972.3,13343.9,13715.4,14087,14458.5,14830.1,15201.7,15573.2,15944.8,16316.3,16687.9,17059.4,17431,17802.6,18174.1,18545.7,18917.2,19288.8,19660.3,20031.9,20403.4,20775,21146.6,21518.1,21889.7,22261.2,22632.8,23004.3,23375.9,23747.5,24119,24490.6,24862.1,25233.7,25605.2,25976.8,26348.4,26719.9,27091.5,27463,27834.6,28206.1,28577.7,28949.3,29320.8,29692.4,30063.9,30435.5,30807,31178.6,31550.2,31921.7,32293.3,32664.8,33036.4,33407.9,33779.5,34151,34522.6,34894.2,35265.7,35637.3,36008.8,36380.4,36752,37123.5,37495.1,37866.6,38238.2,38609.7,38981.3,39352.9,39724.4,40096,40467.5,40839.1,41210.6,41582.2,41953.7,42325.3,42696.9,43068.4,43440,43811.5,44183.1,44554.6,44926.2,45297.8,45669.3,46040.9,46412.4
Temp. [C],38,37.7,37.9,38.2,38.1,38,37.7,38.1,38.2,37.8,38.1,38.1,38.2,38.1,38.1,38,38.2,38.2,38,38.2,38,38.2,38.1,37.9,38,37.9,37.9,38.2,38.2,38.2,38,37.9,38.2,38.1,37.8,38,38.2,38,38.1,38.2,38.2,37.9,38,37.9,38.2,38.1,38.1,38.1,38.1,38,38,38,38,38.2,38,38.2,38.2,38.1,38,38,38,38.2,38.1,38,38.1,38,38.2,38.1,38,38.2,38.1,38,38.1,38,38,38,38.2,38,38.1,38.2,37.9,37.9,38.2,38.1,38,38,38.1,38,38.2,38.1,38,38.1,37.8,38.1,38,38.1,38.1,38.2,37.9,38.2,37.9,38.1,38.1,38.2,38,38,38.1,37.9,38.1,38.1,37.9,38.1,37.8,38.1,38,37.9,38,38.2,37.8,38,37.8,38.2,38.2,38,37.9
A1,0.091300003,0.090400003,0.090300001,0.090400003,0.091300003,0.091799997,0.094899997,0.096100003,0.096799999,0.097099997,0.097800002,0.098200001,0.099200003,0.098800004,0.100100003,0.099299997,0.098999999,0.098200001,0.098099999,0.097099997,0.0955,0.094899997,0.094099998,0.093599997,0.092799999,0.093000002,0.093800001,0.093500003,0.094099998,0.095299996,0.095399998,0.096600004,0.098399997,0.101099998,0.103,0.1061,0.109800003,0.114799999,0.120899998,0.127100006,0.135100007,0.145500004,0.157700002,0.164100006,0.173500001,0.181400001,0.187000006,0.191200003,0.1919,0.190099999,0.184900001,0.174400002,0.163299993,0.154899999,0.148100004,0.143600002,0.140200004,0.138300002,0.136399999,0.135100007,0.135000005,0.135399997,0.136500001,0.1382,0.140900001,0.144199997,0.149100006,0.154400006,0.161200002,0.168799996,0.178000003,0.188899994,0.202199996,0.216100007,0.233799994,0.252999991,0.27579999,0.302899987,0.33160001,0.361900002,0.393299997,0.4296,0.458499998,0.482600003,0.514900029,0.534699976,0.55369997,0.574699998,0.594900012,0.612399995,0.630900025,0.650699973,0.66839999,0.680800021,0.6972,0.710600019,0.724900007,0.737900019,0.754100025,0.769500017,0.781700015,0.793200016,0.803900003,0.815299988,0.826600015,0.837700009,0.848200023,0.857900023,0.868799984,0.878000021,0.887899995,0.898800015,0.907800019,0.916199982,0.925700009,0.933600008,0.943000019,0.951499999,0.959599972,0.966899991,0.974099994,0.980400026,0.987500012,0.993799984,1.000800014
A2,0.090800002,0.090599999,0.090899996,0.0911,0.091799997,0.092200004,0.0955,0.096100003,0.0973,0.097000003,0.0977,0.098399997,0.099100001,0.099699996,0.099799998,0.0995,0.099200003,0.0986,0.097499996,0.096699998,0.097000003,0.094599999,0.093599997,0.092799999,0.093099996,0.093199998,0.092799999,0.093900003,0.093800001,0.094999999,0.0955,0.096600004,0.097400002,0.099600002,0.101099998,0.104099996,0.108099997,0.111599997,0.117700003,0.1237,0.130600005,0.140900001,0.151999995,0.160799995,0.171299994,0.180099994,0.186199993,0.192399994,0.1963,0.195899993,0.189999998,0.178200006,0.167099997,0.157000005,0.149800003,0.145899996,0.142499998,0.140599996,0.139300004,0.138099998,0.138300002,0.139300004,0.141000003,0.1435,0.147200003,0.151800007,0.158700004,0.166299999,0.172999993,0.183200002,0.1963,0.210899994,0.225199997,0.244900003,0.265300006,0.290499985,0.318500012,0.349299997,0.382800013,0.421299994,0.454400003,0.485000014,0.510200024,0.533900023,0.555999994,0.574999988,0.592800021,0.609300017,0.62529999,0.646899998,0.670899987,0.685800016,0.702300012,0.716300011,0.729700029,0.745500028,0.756900012,0.770500004,0.7852,0.798200011,0.810500026,0.82190001,0.833400011,0.846300006,0.85680002,0.867900014,0.877099991,0.887099981,0.897000015,0.908100009,0.919499993,0.928799987,0.938600004,0.948000014,0.957099974,0.964999974,0.97329998,0.980400026,0.987999976,0.995199978,1.002599955,1.009299994,1.016100049,1.022099972,1.028599977
A3,0.090300001,0.089900002,0.090099998,0.090300001,0.090599999,0.091300003,0.093400002,0.094300002,0.094899997,0.096600004,0.0977,0.099399999,0.101099998,0.103299998,0.104999997,0.1061,0.107299998,0.108400002,0.110399999,0.113700002,0.117700003,0.123000003,0.1294,0.136999995,0.145999998,0.153200001,0.159400001,0.168799996,0.175999999,0.182600006,0.188299999,0.189999998,0.182899997,0.163699999,0.141200006,0.128299996,0.120899998,0.116400003,0.112599999,0.109499998,0.106600001,0.104800001,0.103799999,0.103100002,0.102499999,0.101800002,0.101899996,0.101899996,0.101400003,0.1017,0.101599999,0.101899996,0.1021,0.102700002,0.103,0.103600003,0.1043,0.105300002,0.106799997,0.107799999,0.109800003,0.111500002,0.114200003,0.116599999,0.119999997,0.124200001,0.128999993,0.1347,0.141000003,0.149200007,0.157800004,0.167500004,0.179100007,0.193499997,0.209399998,0.227300003,0.247799993,0.271400005,0.298900008,0.32949999,0.360900015,0.398600012,0.432799995,0.465900004,0.497799993,0.522800028,0.548099995,0.572399974,0.593800008,0.6153,0.633300006,0.652700007,0.670700014,0.689199984,0.706900001,0.727599978,0.743799984,0.763199985,0.77700001,0.791400015,0.805199981,0.819000006,0.832400024,0.845200002,0.857299984,0.868600011,0.880100012,0.89200002,0.90259999,0.915099978,0.926999986,0.93779999,0.948199987,0.958500028,0.967899978,0.977100015,0.985700011,0.994799972,1.002500057,1.010200024,1.01820004,1.025300026,1.032600045,1.039800048,1.047099948
A4,0.090300001,0.089699998,0.090099998,0.090499997,0.090899996,0.091499999,0.0933,0.094099998,0.095200002,0.096500002,0.097800002,0.099799998,0.101400003,0.103699997,0.1052,0.106799997,0.107100002,0.1083,0.110399999,0.113600001,0.117700003,0.123400003,0.130099997,0.137899995,0.147,0.153099999,0.159600005,0.169200003,0.176100001,0.182899997,0.187800005,0.188600004,0.178800002,0.157100007,0.136299998,0.125,0.118699998,0.114399999,0.110799998,0.107799999,0.105099998,0.103699997,0.102899998,0.102600001,0.101899996,0.1017,0.101599999,0.101300001,0.101400003,0.101499997,0.101800002,0.101899996,0.102300003,0.102799997,0.103600003,0.1039,0.104800001,0.105999999,0.107199997,0.108800001,0.1105,0.112999998,0.115500003,0.118799999,0.122299999,0.126699999,0.132400006,0.138500005,0.145600006,0.154400006,0.164499998,0.175300002,0.1884,0.203999996,0.221300006,0.241600007,0.263900012,0.289900005,0.321200013,0.351300001,0.387300014,0.423299998,0.45480001,0.486200005,0.524200022,0.561699986,0.577300012,0.598800004,0.618600011,0.638599992,0.656599998,0.672699988,0.689999998,0.705799997,0.726999998,0.741100013,0.760999978,0.776199996,0.791499972,0.805499971,0.818899989,0.834800005,0.845899999,0.859099984,0.872300029,0.889599979,0.895500004,0.906199992,0.918799996,0.929899991,0.942700028,0.953999996,0.96420002,0.973800004,0.983399987,0.991400003,1.002300024,1.009299994,1.01789999,1.02579999,1.034700036,1.042500019,1.048599958,1.055500031,1.063599944
A5,0.090499997,0.090000004,0.0902,0.090499997,0.090899996,0.091399997,0.093000002,0.093999997,0.095200002,0.096799999,0.098700002,0.101499997,0.104099996,0.108000003,0.112300001,0.117799997,0.124499999,0.1329,0.142800003,0.154799998,0.171000004,0.176699996,0.189600006,0.208000004,0.227300003,0.243799999,0.25819999,0.270999998,0.268900007,0.245700002,0.202600002,0.168799996,0.149700001,0.136600003,0.125400007,0.1175,0.112099998,0.110299997,0.108400002,0.107600003,0.106899999,0.106299996,0.105800003,0.105400003,0.105300002,0.104999997,0.104900002,0.105099998,0.104800001,0.104999997,0.104999997,0.105300002,0.105499998,0.105899997,0.106399998,0.107100002,0.108000003,0.108599998,0.109999999,0.111400001,0.1131,0.115699999,0.1184,0.120899998,0.125200003,0.128999993,0.133900002,0.139300004,0.146300003,0.153699994,0.161799997,0.171700001,0.182899997,0.196500003,0.211300001,0.228799999,0.248300001,0.272500008,0.299600005,0.330500007,0.357199997,0.386200011,0.412299991,0.439300001,0.461699992,0.487399995,0.514699996,0.539099991,0.558300018,0.577700019,0.595700026,0.61559999,0.632200003,0.6505,0.666700006,0.686600029,0.708500028,0.72329998,0.739600003,0.754800022,0.769299984,0.785000026,0.799000025,0.811999977,0.824599981,0.837199986,0.850799978,0.864499986,0.878700018,0.890900016,0.90140003,0.912699997,0.922200024,0.933099985,0.942399979,0.952000022,0.960699975,0.968699992,0.976499975,0.984099984,0.992500007,1.00030005,1.007300019,1.015499949,1.024099946
A6,0.090499997,0.090499997,0.090499997,0.090700001,0.090999998,0.091899998,0.0933,0.094599999,0.095899999,0.097400002,0.098999999,0.101999998,0.104900002,0.1083,0.1131,0.118699998,0.125699997,0.133399993,0.143999994,0.156499997,0.172900006,0.177900001,0.191200003,0.209700003,0.229699999,0.246000007,0.25999999,0.274500012,0.270999998,0.245299995,0.200100005,0.167999998,0.149599999,0.136800006,0.125300005,0.1171,0.112499997,0.110100001,0.108999997,0.108099997,0.1074,0.106600001,0.106200002,0.105899997,0.105599999,0.105599999,0.105700001,0.105400003,0.105300002,0.105599999,0.105999999,0.1061,0.1065,0.107000001,0.107500002,0.1083,0.109300002,0.1105,0.112300001,0.114200003,0.116300002,0.118900001,0.122299999,0.125699997,0.131400004,0.136199996,0.141599998,0.148800001,0.156900004,0.165299997,0.175500005,0.187600002,0.202299997,0.217999995,0.237200007,0.257699996,0.283499986,0.311300009,0.342200011,0.369500011,0.397500008,0.423799992,0.44749999,0.473199993,0.499900013,0.530300021,0.552200019,0.570599973,0.58950001,0.6074,0.62620002,0.64200002,0.658399999,0.679099977,0.699800014,0.717100024,0.733799994,0.751100004,0.767099977,0.780600011,0.796000004,0.809800029,0.823499978,0.836199999,0.850099981,0.861999989,0.875899971,0.889100015,0.900300026,0.913500011,0.924600005,0.932500005,0.944199979,0.953700006,0.96329999,0.971499979,0.979700029,0.988300025,0.995999992,1.003399968,1.011899948,1.018900037,1.026100039,1.034100056,1.040899992
A7,0.090099998,0.089900002,0.089699998,0.090400003,0.090800002,0.091200002,0.092699997,0.093900003,0.095100001,0.096900001,0.098499998,0.101599999,0.104400001,0.1087,0.114,0.119800001,0.128600001,0.138400003,0.1505,0.165399998,0.178000003,0.186700001,0.206,0.230399996,0.255600005,0.282599986,0.315400004,0.344099998,0.370499998,0.386999995,0.393999994,0.394400001,0.392500013,0.360799998,0.300999999,0.216199994,0.162,0.138999999,0.1303,0.127200007,0.125799999,0.125,0.124399997,0.123800002,0.123800002,0.123400003,0.123599999,0.123499997,0.123300001,0.123300001,0.123199999,0.123199999,0.123499997,0.123800002,0.123899996,0.123999998,0.124799997,0.126000002,0.126100004,0.126699999,0.127599999,0.128800005,0.1303,0.132100001,0.133900002,0.135900006,0.138600007,0.141200006,0.144500002,0.148100004,0.152400002,0.157399997,0.162900001,0.167999998,0.173899993,0.180999994,0.188500002,0.196500003,0.207000002,0.2183,0.235100001,0.245499998,0.256599993,0.267800003,0.279900014,0.293799996,0.310799986,0.32249999,0.33829999,0.355399996,0.373600006,0.392699987,0.412999988,0.436800003,0.460999995,0.4824,0.503000021,0.523599982,0.549099982,0.567499995,0.586499989,0.601800025,0.618300021,0.633899987,0.649699986,0.665799975,0.679799974,0.695299983,0.709399998,0.72299999,0.738699973,0.753700018,0.768400013,0.782199979,0.795300007,0.806100011,0.817600012,0.829200029,0.8398,0.850099981,0.860199988,0.869199991,0.878700018,0.888899982,0.898000002
A8,0.090099998,0.090300001,0.089900002,0.090499997,0.090999998,0.091700003,0.093500003,0.094599999,0.095799997,0.0977,0.099399999,0.102700002,0.105499998,0.110399999,0.115599997,0.122400001,0.131300002,0.141499996,0.153500006,0.168699995,0.1796,0.189999998,0.210299999,0.235799998,0.259799987,0.287499994,0.320899993,0.349400014,0.379400015,0.398000002,0.401600003,0.402700007,0.401300013,0.3759,0.319599986,0.235400006,0.174799994,0.145999998,0.134200007,0.129500002,0.127700001,0.126699999,0.126599997,0.1259,0.125599995,0.125300005,0.125200003,0.125300005,0.124899998,0.124700002,0.124499999,0.124700002,0.124799997,0.125100002,0.125300005,0.125200003,0.126100004,0.126000002,0.126699999,0.127499998,0.128399998,0.1303,0.130600005,0.131600007,0.133000001,0.134800002,0.1373,0.139200002,0.1417,0.144199997,0.147799999,0.1514,0.155900002,0.161500007,0.166600004,0.171700001,0.177200004,0.184400007,0.192900002,0.2016,0.211700007,0.224600002,0.239999995,0.250699997,0.261099994,0.272799999,0.284700006,0.296900004,0.31099999,0.324999988,0.340299994,0.35679999,0.3741,0.393099993,0.41170001,0.434199989,0.458600014,0.479299992,0.50059998,0.521600008,0.545599997,0.563899994,0.579900026,0.597000003,0.611800015,0.628700018,0.645200014,0.659699976,0.675400019,0.690599978,0.702499986,0.716199994,0.731899977,0.746900022,0.760200024,0.773599982,0.78549999,0.797100008,0.808300018,0.819199979,0.829100013,0.840300024,0.849300027,0.859200001,0.867999971
