Cycle Nr.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222
Time [s],0,371.6,743.1,1114.7,1486.2,1857.8,2229.4,2939.1,3310.7,3682.3,4053.8,4425.4,4796.9,5168.5,5540.1,5911.6,6283.2,6812,7183.6,7555.2,7926.7,8298.3,8669.8,9041.4,9412.9,9784.5,10156.1,10652.7,11024.3,11395.8,11767.4,12138.9,12510.5,12882.1,13253.6,13625.2,13996.7,14793.5,15165,15536.6,15908.2,16279.7,16651.3,17022.8,17394.4,17766,18137.5,18642.4,19013.9,19385.5,19757,20128.6,20500.2,20871.7,21243.3,21614.8,21986.4,22358,22869.6,23241.1,23612.7,23984.3,24355.8,24727.4,25098.9,25470.5,25842,26333.5,26705.1,27076.6,27448.2,27819.8,28191.3,28562.9,28934.4,29306,29677.5,30163,30534.6,30906.2,31277.7,31649.3,32020.9,32392.4,32764,33135.5,33507.1,34002.3,34373.9,34745.4,35117,35488.5,35860.1,36231.7,36603.2,36974.8,37346.3,37717.9,38089.4,38461,38832.6,39204.1,39575.7,39947.2,40318.8,40690.3,41061.9,41433.5,41805,42176.6,42548.1,42919.7,43291.2,43662.8,44034.3,44405.9,44777.5,45149,45520.6,45892.1,46263.7,46635.2,47006.8,47378.4,47749.9,48121.5,48493,48864.6,49236.1,49607.7,49979.3,50350.8,50722.4,51093.9,51465.5,51837,52208.6,52580.1,52951.7,53323.3,53694.8,54066.4,54437.9,54809.5,55181,55552.6,55924.2,56295.7,56667.3,57038.8,57410.4,57781.9,58153.5,58525,58896.6,59268.2,59639.7,60011.3,60382.8,60754.4,61125.9,61497.5,61869.1,62240.6,62612.2,62983.7,63355.3,63726.8,64098.4,64470,64841.5,65213.1,65584.6,65956.2,66327.7,66699.3,67070.9,67442.4,67814,68185.5,68557.1,68928.6,69300.2,69671.8,70043.3,70414.9,70786.4,71158,71529.5,71901.1,72272.7,72644.2,73015.8,73387.3,73758.9,74130.4,74502,74873.6,75245.1,75616.7,75988.2,76359.8,76731.3,77102.9,77474.5,77846,78218.9,78731.5,79103.1,79474.6,79846.2,80217.7,80589.3,80960.9,81332.4,81704,82075.5,82447.1,82818.6,83190.2,83561.8,83933.3
Temp. [C],37.9,37.8,38,38.1,38.1,38.1,38,38.1,38,38.1,37.9,37.8,38,37.8,37.8,38.1,38,37.8,38,38,38,37.9,38,37.9,38.3,38.1,38.1,37.8,37.8,38.2,38.1,38.1,38,38.1,38.1,37.9,38.1,37.9,37.9,38.1,38.2,37.9,38.2,38,37.8,38.1,38.1,38.2,38.1,38.1,38.1,37.9,37.8,37.8,38,38.3,38.2,38.1,37.7,37.8,37.8,38.1,38,38,38.2,38,37.9,38.2,38.1,38.1,38.1,38.1,38.1,38,38,38,38,38,38.2,38.2,38,38.2,38.1,38.1,38.1,38.3,37.8,38,37.9,37.9,37.9,37.8,38,37.9,38.1,38,38,38,38.1,37.7,38,38.2,38.1,37.9,38,38.1,38.2,38.1,38.2,38.1,38.2,38.1,38,37.8,37.8,38,38,37.8,38.3,37.9,37.9,38.1,38,38.2,38.3,38.1,38.1,38.1,38,38,38.2,37.9,38.2,38.1,38.1,38,38.2,38.1,38.3,38.2,37.8,38.1,38.2,38.1,38,38.1,38.2,38.2,38,38.1,38.2,37.9,38.1,37.9,38,38.2,38,37.9,37.8,38,38,37.8,37.8,37.9,38.2,38,37.8,37.9,37.9,38.1,37.9,38.2,38.2,38,38.1,38.1,38.2,38.2,38,38.1,37.9,38,38.2,38,38,38.1,38,37.9,38.1,38.1,37.9,38.1,38.1,38,38,37.8,38.1,38.1,38.2,38.2,38,38.1,38.2,37.8,38.2,38.1,38,38,38.1,38,38,38,38.1,38.1,37.9,37.9,38.1,38.2,38,37.8,38.1,38
A1,0.090099998,0.089900002,0.090300001,0.090700001,0.090999998,0.091399997,0.092600003,0.098700002,0.099299997,0.099299997,0.100199997,0.100599997,0.101199999,0.101300001,0.1021,0.102499999,0.102399997,0.101999998,0.101400003,0.101499997,0.100299999,0.101099998,0.100599997,0.0999,0.099399999,0.0986,0.098899998,0.097599998,0.098300003,0.097599998,0.098899998,0.098499998,0.099299997,0.100100003,0.102300003,0.103799999,0.106899999,0.1105,0.113399997,0.117399998,0.121100001,0.126399994,0.132699996,0.141000003,0.148599997,0.153699994,0.159600005,0.162599996,0.164399996,0.164100006,0.163200006,0.161400005,0.158299997,0.155499995,0.149800003,0.144400001,0.140400007,0.136299998,0.128199995,0.125,0.122400001,0.1219,0.121100001,0.119800001,0.120399997,0.121699996,0.121200003,0.122599997,0.122100003,0.123400003,0.125100002,0.127499998,0.130999997,0.134399995,0.138999999,0.144999996,0.151299998,0.159199998,0.167799994,0.1787,0.1884,0.202299997,0.217299998,0.236000001,0.257099986,0.281899989,0.309300005,0.32980001,0.358700007,0.388399988,0.421099991,0.449099988,0.478300005,0.505100012,0.52700001,0.547200024,0.564999998,0.582300007,0.600199997,0.617699981,0.63499999,0.653199971,0.67110002,0.691200018,0.707799971,0.722199976,0.735700011,0.748700023,0.760699987,0.774200022,0.786199987,0.797500014,0.808799982,0.819000006,0.831399977,0.842299998,0.852199972,0.861699998,0.871399999,0.880699992,0.887899995,0.897599995,0.905600011,0.912899971,0.920099974,0.92750001,0.934199989,0.941500008,0.947899997,0.953599989,0.960900009,0.966799974,0.97299999,0.978699982,0.988300025,0.997600019,1.003499985,1.00940001,1.019199967,1.02489996,1.026200056,1.026000023,1.02579999,1.026100039,1.026000023,1.025099993,1.024600029,1.024000049,1.023300052,1.022199988,1.021900058,1.020499945,1.019099951,1.018700004,1.01820004,1.016700029,1.015400052,1.014700055,1.013299942,1.012799978,1.011299968,1.010200024,1.00909996,1.008299947,1.007300019,1.005699992,1.004299998,1.003399968,1.002400041,1.001000047,1.000100017,0.99940002,0.998000026,0.996999979,0.996299982,0.994700015,0.994499981,0.993099988,0.99150002,0.990499973,0.989899993,0.988600016,0.987399995,0.986000001,0.985599995,0.984600008,0.983099997,0.982500017,0.98089999,0.979900002,0.979200006,0.978200018,0.976800025,0.976999998,0.975199997,0.974699974,0.973500013,0.9727,0.971300006,0.970700026,0.969699979,0.968800008,0.967700005,0.966799974,0.965600014,0.964699984,0.959599972,0.945900023,0.945800006,0.943899989,0.943899989,0.943700016,0.942700028,0.941999972,0.941900015,0.940599978,0.940699995,0.939700007,0.93870002,0.938000023,0.936999977,0.936200023
A2,0.090599999,0.090300001,0.090800002,0.090899996,0.0911,0.091799997,0.092900001,0.096799999,0.097099997,0.0977,0.098399997,0.098800004,0.099399999,0.100100003,0.100500003,0.101300001,0.101899996,0.101800002,0.101000004,0.100299999,0.099299997,0.098800004,0.0977,0.0977,0.097099997,0.095899999,0.096000001,0.095899999,0.095899999,0.095799997,0.095799997,0.096699998,0.097099997,0.098200001,0.099799998,0.1017,0.102899998,0.108199999,0.110799998,0.114100002,0.118299998,0.123899996,0.131400004,0.139300004,0.150199994,0.157700002,0.165999994,0.173800007,0.178599998,0.181400001,0.184300005,0.183799997,0.182300001,0.178200006,0.171399996,0.163499996,0.154599994,0.147699997,0.137999997,0.134299994,0.130600005,0.128000006,0.127200007,0.127299994,0.126499996,0.127499998,0.127599999,0.128099993,0.127800003,0.1285,0.129700005,0.132100001,0.136099994,0.140200004,0.144999996,0.150999993,0.157499999,0.1708,0.179700002,0.189899996,0.202399999,0.217700005,0.236000001,0.255800009,0.279599994,0.308099985,0.339300007,0.3671,0.400200009,0.436100006,0.469300002,0.499900013,0.52700001,0.549399972,0.572799981,0.593100011,0.610099971,0.628899992,0.647400022,0.672200024,0.692600012,0.708100021,0.724399984,0.74059999,0.754000008,0.772899985,0.787599981,0.801500022,0.814199984,0.827499986,0.838999987,0.850300014,0.862299979,0.873600006,0.8847,0.894299984,0.906599998,0.916999996,0.92750001,0.93720001,0.946699977,0.95660001,0.965300024,0.97420001,0.981999993,0.99000001,0.997600019,1.005200028,1.012699962,1.018399954,1.025699973,1.031999946,1.038599968,1.044999957,1.050600052,1.056300044,1.062000036,1.067499995,1.072299957,1.078199983,1.082900047,1.088500023,1.093000054,1.102300048,1.112900019,1.118899941,1.125,1.132400036,1.134899974,1.135100007,1.134500027,1.133999944,1.1329,1.132200003,1.131399989,1.130699992,1.130300045,1.128800035,1.128000021,1.127400041,1.126199961,1.125499964,1.12469995,1.123700023,1.122900009,1.121299982,1.120300055,1.119500041,1.118700027,1.117599964,1.117300034,1.115700006,1.114799976,1.113999963,1.113199949,1.111999989,1.112100005,1.110499978,1.110299945,1.109300017,1.108500004,1.10800004,1.106999993,1.105800033,1.105800033,1.105700016,1.104799986,1.103999972,1.102599978,1.101999998,1.102100015,1.101600051,1.100700021,1.100700021,1.100000024,1.100000024,1.098799944,1.099099994,1.09860003,1.097900033,1.097800016,1.097599983,1.097100019,1.097300053,1.096600056,1.096400023,1.094599962,1.09739995,1.096099973,1.095999956,1.095700026,1.096400023,1.096099973,1.096099973,1.096099973,1.095499992,1.095600009,1.095800042,1.096099973,1.095600009,1.095299959,1.095399976
A3,0.090800002,0.090599999,0.0911,0.0911,0.091899998,0.092399999,0.0933,0.094999999,0.096100003,0.097199999,0.0986,0.100000001,0.1021,0.104099996,0.1065,0.108900003,0.110699996,0.110100001,0.111299999,0.113399997,0.116099998,0.119800001,0.124799997,0.130899996,0.137899995,0.147,0.152099997,0.158399999,0.164900005,0.170200005,0.174700007,0.179000005,0.181700006,0.179700002,0.172000006,0.156399995,0.141000003,0.1184,0.114200003,0.111400001,0.109800003,0.108599998,0.107900001,0.107500002,0.107000001,0.1065,0.106299996,0.104699999,0.103299998,0.102600001,0.1021,0.101899996,0.101800002,0.101899996,0.101599999,0.101599999,0.101800002,0.1017,0.102200001,0.102399997,0.102600001,0.102799997,0.103100002,0.103699997,0.104400001,0.104999997,0.106399998,0.108000003,0.109099999,0.110799998,0.1127,0.115000002,0.117700003,0.120899998,0.125,0.129600003,0.134900004,0.1417,0.149000004,0.157000005,0.166299999,0.177000001,0.190300003,0.205300003,0.221799999,0.241699994,0.264899999,0.285100013,0.310699999,0.337799996,0.367500007,0.402799994,0.432200015,0.460000008,0.489499986,0.516300023,0.538200021,0.559099972,0.57889998,0.595099986,0.614499986,0.631200016,0.65140003,0.666599989,0.688399971,0.707599998,0.723500013,0.739499986,0.755800009,0.770299971,0.783599973,0.79549998,0.808399975,0.820200026,0.833100021,0.846700013,0.858799994,0.871100008,0.882000029,0.8926,0.903299987,0.912299991,0.922299981,0.931400001,0.940299988,0.948899984,0.957000017,0.964699984,0.972299993,0.979900002,0.987800002,0.998300016,1.00940001,1.016299963,1.023100019,1.034500003,1.042400002,1.044800043,1.046900034,1.048499942,1.049100041,1.049700022,1.050099969,1.050600052,1.050799966,1.050999999,1.050899982,1.050699949,1.051100016,1.051100016,1.050600052,1.049900055,1.049499989,1.048699975,1.048400044,1.047999978,1.047799945,1.046700001,1.045699954,1.045300007,1.044399977,1.043799996,1.043200016,1.041900039,1.041100025,1.039700031,1.039199948,1.037999988,1.037500024,1.036499977,1.035400033,1.03429997,1.033499956,1.032799959,1.031200051,1.030599952,1.029800057,1.028900027,1.02820003,1.02760005,1.026800036,1.025699973,1.024799943,1.023699999,1.023200035,1.022099972,1.020900011,1.020900011,1.018900037,1.01789999,1.017400026,1.017099977,1.015799999,1.015599966,1.014500022,1.013900042,1.013599992,1.013000011,1.011800051,1.011399984,1.010499954,1.009500027,1.009600043,1.008700013,1.008299947,1.007099986,1.006199956,0.994199991,0.996100008,1.00880003,1.05250001,1.093199968,1.127099991,1.143000007,1.156499982,1.165599942,1.176499963,1.180500031,1.194700003,1.189100027,1.19630003,1.196099997
A4,0.091300003,0.090999998,0.091399997,0.091700003,0.092,0.092500001,0.093400002,0.095399998,0.096199997,0.097199999,0.098700002,0.100299999,0.101999998,0.104000002,0.106600001,0.108800001,0.1105,0.110399999,0.111599997,0.113600001,0.116099998,0.120300002,0.125200003,0.131600007,0.139799997,0.148200005,0.152799994,0.160099998,0.165800005,0.171000004,0.175899997,0.179800004,0.181700006,0.178299993,0.168400005,0.152600005,0.136899993,0.118000001,0.114399999,0.111599997,0.109800003,0.108900003,0.107900001,0.107600003,0.107100002,0.106399998,0.106200002,0.105899997,0.105099998,0.104199998,0.103600003,0.103699997,0.103399999,0.103399999,0.103399999,0.103100002,0.103100002,0.103299998,0.103500001,0.103200004,0.103299998,0.103600003,0.103600003,0.104000002,0.104500003,0.105099998,0.105700001,0.107100002,0.108000003,0.108999997,0.110299997,0.111699998,0.113899998,0.115699999,0.1184,0.121799998,0.125400007,0.131099999,0.135700002,0.141299993,0.148599997,0.1567,0.166700006,0.176799998,0.189500004,0.204300001,0.221100003,0.241699994,0.262499988,0.286500007,0.313600004,0.343899995,0.375099987,0.409099996,0.44600001,0.477999985,0.512000024,0.541599989,0.568700016,0.589399993,0.610400021,0.628799975,0.647099972,0.664399981,0.681299984,0.700900018,0.719900012,0.736000001,0.755400002,0.772300005,0.787500024,0.801500022,0.815900028,0.828700006,0.842499971,0.856000006,0.867500007,0.878300011,0.890500009,0.903400004,0.914600015,0.925800025,0.93690002,0.94660002,0.95630002,0.966199994,0.974300027,0.983200014,0.991400003,0.999100029,1.006899953,1.013800025,1.020799994,1.027899981,1.034500003,1.040599942,1.047500014,1.053900003,1.060400009,1.067999959,1.084499955,1.095299959,1.098500013,1.099099994,1.100000024,1.100200057,1.100600004,1.10010004,1.100499988,1.099699974,1.100299954,1.099499941,1.098899961,1.099300027,1.09800005,1.0977,1.097499967,1.096400023,1.095499992,1.095000029,1.094300032,1.093400002,1.092399955,1.092100024,1.091199994,1.089900017,1.088700056,1.088500023,1.087000012,1.086400032,1.086099982,1.085199952,1.084400058,1.082900047,1.081500053,1.080800056,1.080800056,1.07949996,1.078600049,1.078400016,1.077000022,1.076599956,1.075399995,1.074699998,1.074399948,1.073799968,1.072399974,1.071799994,1.07099998,1.070299983,1.069800019,1.069000006,1.068300009,1.068400025,1.067499995,1.066900015,1.066900015,1.066699982,1.066100001,1.065199971,1.064900041,1.064900041,1.064399958,1.063699961,1.063500047,1.062899947,1.062299967,1.064200044,1.063599944,1.063199997,1.063799977,1.063699961,1.064299941,1.067100048,1.087200046,1.107599974,1.129400015,1.150099993,1.187700033,1.197600007,1.225499988,1.235499978
A5,0.0902,0.0902,0.090800002,0.090800002,0.091399997,0.092100002,0.092699997,0.094599999,0.095600002,0.097000003,0.098899998,0.100900002,0.103799999,0.1074,0.112000003,0.116999999,0.123599999,0.132300004,0.141200006,0.151099995,0.163900003,0.174799994,0.184,0.1998,0.218199998,0.234699994,0.247299999,0.251399994,0.249899998,0.240700006,0.217999995,0.185900003,0.161899999,0.146699995,0.135100007,0.125499994,0.118100002,0.109200001,0.1074,0.106799997,0.1061,0.105800003,0.1052,0.105499998,0.105300002,0.105099998,0.105099998,0.1043,0.103699997,0.103399999,0.103299998,0.103200004,0.103200004,0.103399999,0.103200004,0.103299998,0.103200004,0.103500001,0.103399999,0.103799999,0.104000002,0.104000002,0.104400001,0.104900002,0.105499998,0.106200002,0.107199997,0.108900003,0.109800003,0.111699998,0.113799997,0.115900002,0.118299998,0.121799998,0.125300005,0.129600003,0.134200007,0.140200004,0.1461,0.152700007,0.160799995,0.169699997,0.180299997,0.193700001,0.206699997,0.223499998,0.241999999,0.260199994,0.283199996,0.306300014,0.333900005,0.358900011,0.380100012,0.402799994,0.42750001,0.451099992,0.474400014,0.495099992,0.51700002,0.53579998,0.555000007,0.573800027,0.591199994,0.608799994,0.629899979,0.648100019,0.665000021,0.681699991,0.699999988,0.716400027,0.730400026,0.741900027,0.756799996,0.771700025,0.787100017,0.800199986,0.81190002,0.824699998,0.836499989,0.848100007,0.858099997,0.868399978,0.877699971,0.887700021,0.897499979,0.907000005,0.915799975,0.924099982,0.932500005,0.940699995,0.949000001,0.958700001,0.970399976,0.977500021,0.98360002,0.993600011,1.003299952,1.006100059,1.007500052,1.008299947,1.009699941,1.010100007,1.009699941,1.009899974,1.010200024,1.011299968,1.010100007,1.009699941,1.00909996,1.008100033,1.009299994,1.007699966,1.006299973,1.006500006,1.006500006,1.006500006,1.006600022,1.005499959,1.004799962,1.005499959,1.004899979,1.004199982,1.004099965,1.002200007,1.00150001,0.999300003,0.998700023,0.999800026,0.999000013,0.997099996,0.996699989,0.996200025,0.995400012,0.994700015,0.993700027,0.992999971,0.993300021,0.992500007,0.990800023,0.991100013,0.990199983,0.989799976,0.989400029,0.988200009,0.987600029,0.986899972,0.986400008,0.985199988,0.984200001,0.983799994,0.983200014,0.982200027,0.981299996,0.981599987,0.980000019,0.979900002,0.980099976,0.979200006,0.978500009,0.978100002,0.978200018,0.976899981,0.976899981,0.976199985,0.975499988,0.9745,0.97390002,0.962800026,0.962700009,0.961899996,0.962000012,0.969900012,0.993799984,1.031200051,1.065600038,1.096400023,1.112800002,1.125800014,1.138000011,1.149199963,1.146999955,1.160899997
A6,0.090499997,0.0902,0.090700001,0.091200002,0.091300003,0.092,0.093000002,0.094700001,0.095700003,0.097099997,0.098899998,0.101199999,0.104000002,0.108000003,0.112300001,0.117700003,0.124200001,0.134399995,0.143299997,0.153699994,0.166899994,0.177200004,0.187900007,0.204500005,0.223000005,0.239299998,0.253300011,0.257299989,0.254799992,0.244800001,0.2192,0.185699999,0.162599996,0.1479,0.136500001,0.126399994,0.118699998,0.109999999,0.108000003,0.107299998,0.106799997,0.106399998,0.106299996,0.106200002,0.1061,0.105999999,0.105800003,0.105400003,0.104800001,0.104599997,0.106600001,0.104500003,0.104599997,0.104699999,0.104599997,0.104699999,0.104800001,0.104999997,0.105700001,0.105700001,0.106299996,0.107000001,0.1074,0.108499996,0.1096,0.110399999,0.112599999,0.115699999,0.117399998,0.121100001,0.123300001,0.126499996,0.131099999,0.135900006,0.141299993,0.148200005,0.1558,0.165000007,0.173899993,0.184799999,0.197600007,0.212200001,0.2289,0.248300001,0.272100002,0.299100012,0.325800002,0.352499992,0.380299985,0.405800015,0.434599996,0.453799993,0.478100002,0.508700013,0.534600019,0.554799974,0.573899984,0.591400027,0.607299984,0.624599993,0.642199993,0.658299983,0.676500022,0.695500016,0.713,0.728299975,0.743600011,0.757799983,0.772599995,0.786300004,0.800499976,0.812699974,0.824800014,0.838199973,0.851599991,0.861699998,0.873399973,0.883899987,0.897899985,0.907899976,0.917699993,0.9278,0.933799982,0.943599999,0.952300012,0.960399985,0.968299985,0.976100028,0.983399987,0.991599977,0.999100029,1.006600022,1.013299942,1.020099998,1.027099967,1.033499956,1.039600015,1.048900008,1.065099955,1.072399974,1.074699998,1.074699998,1.073899984,1.074699998,1.075099945,1.073799968,1.073099971,1.072700024,1.072100043,1.072100043,1.071099997,1.0704,1.069599986,1.069300056,1.068500042,1.068199992,1.067700028,1.066799998,1.065999985,1.065799952,1.064499974,1.064299941,1.06340003,1.06280005,1.061699986,1.060500026,1.059800029,1.059399962,1.058699965,1.057299972,1.057600021,1.056699991,1.056200027,1.055400014,1.054800034,1.053500056,1.054100037,1.053599954,1.05250001,1.05250001,1.051499963,1.051100016,1.052000046,1.050199986,1.049200058,1.050999999,1.050500035,1.049200058,1.049900055,1.045600057,1.044999957,1.045099974,1.043200016,1.04400003,1.044999957,1.04460001,1.04519999,1.04460001,1.043799996,1.043599963,1.043400049,1.042199969,1.042600036,1.042500019,1.042299986,1.042500019,1.041200042,1.042000055,1.041399956,1.041700006,1.042099953,1.042600036,1.042099953,1.042600036,1.043499947,1.042999983,1.039899945,1.041200042,1.046800017,1.063500047,1.102200031,1.146900058
A7,0.090300001,0.090099998,0.090499997,0.090599999,0.091200002,0.091600001,0.092399999,0.094599999,0.095700003,0.096900001,0.098899998,0.101300001,0.104099996,0.108400002,0.112999998,0.119099997,0.127000004,0.137899995,0.148399994,0.1611,0.177699998,0.184,0.199000001,0.221599996,0.248400003,0.271899998,0.300900012,0.324800014,0.352200001,0.372799993,0.383399993,0.385199994,0.381199986,0.367700011,0.333900005,0.282999992,0.221399993,0.139899999,0.132100001,0.129500002,0.127900004,0.127000004,0.126100004,0.125699997,0.125300005,0.124899998,0.124499999,0.1237,0.123000003,0.122500002,0.122199997,0.122100003,0.1219,0.122100003,0.122199997,0.122400001,0.122199997,0.122299999,0.122500002,0.122199997,0.122500002,0.122400001,0.1228,0.123199999,0.1237,0.124200001,0.125,0.125499994,0.1259,0.126900002,0.127700001,0.1285,0.130099997,0.131200001,0.133000001,0.135000005,0.137600005,0.140300006,0.143000007,0.145699993,0.150399998,0.155000001,0.159199998,0.164100006,0.169599995,0.176499993,0.183699995,0.192599997,0.201399997,0.213200003,0.225799993,0.235300004,0.244599998,0.255499989,0.266499996,0.2773,0.290699989,0.304100007,0.317299992,0.332599998,0.349599987,0.367199987,0.385100007,0.404700011,0.426400006,0.448399991,0.469700009,0.492300004,0.511300027,0.529799998,0.54549998,0.561699986,0.576699972,0.591799974,0.60710001,0.619400024,0.63319999,0.646499991,0.663299978,0.679799974,0.694400012,0.708299994,0.721800029,0.735499978,0.748300016,0.760699987,0.772000015,0.783800006,0.794099987,0.803900003,0.813300014,0.822300017,0.831399977,0.839699984,0.84829998,0.856899977,0.864799976,0.871999979,0.885200024,0.894900024,0.90259999,0.908900023,0.914600015,0.92019999,0.929199994,0.940199971,0.943300009,0.943199992,0.943199992,0.942600012,0.942799985,0.942499995,0.941699982,0.941999972,0.941200018,0.940699995,0.940699995,0.939999998,0.939499974,0.939599991,0.938399971,0.937300026,0.936600029,0.936200023,0.935400009,0.934899986,0.933899999,0.933300018,0.933399975,0.932399988,0.932200015,0.931500018,0.931200027,0.930000007,0.929199994,0.928300023,0.9278,0.927699983,0.926100016,0.925899982,0.924499989,0.923799992,0.923699975,0.922100008,0.921999991,0.921000004,0.920300007,0.919499993,0.918900013,0.917599976,0.916599989,0.916499972,0.915099978,0.914600015,0.914399981,0.913600028,0.912299991,0.911800027,0.91140002,0.910600007,0.910300016,0.909300029,0.908599973,0.908100009,0.907000005,0.906899989,0.906199992,0.894200027,0.893400013,0.893000007,0.89230001,0.892499983,0.893400013,0.891499996,0.891700029,0.891300023,0.891099989,0.890600026,0.890299976,0.889999986,0.889500022,0.888899982
A8,0.091700003,0.091700003,0.092200004,0.092200004,0.092900001,0.093599997,0.094300002,0.096199997,0.097400002,0.098899998,0.101099998,0.103100002,0.1065,0.1105,0.115500003,0.121299997,0.129199997,0.141499996,0.151800007,0.164199993,0.179499999,0.186299995,0.202900007,0.225999996,0.251899987,0.275700003,0.305099994,0.332599998,0.359200001,0.379900008,0.390100002,0.3926,0.390300006,0.37560001,0.340700001,0.288199991,0.225500003,0.147400007,0.140000001,0.137099996,0.135100007,0.134299994,0.133300006,0.132599995,0.132100001,0.131699994,0.131300002,0.131400004,0.130400002,0.130400002,0.130199999,0.129500002,0.130099997,0.130400002,0.129999995,0.129899994,0.129800007,0.129899994,0.131200001,0.131200001,0.131300002,0.131600007,0.131999999,0.132799998,0.1338,0.134200007,0.135399997,0.136800006,0.137400001,0.138999999,0.140200004,0.141499996,0.143399999,0.146200001,0.148499995,0.151899993,0.1558,0.162100002,0.167099997,0.171599999,0.176200002,0.182999998,0.188099995,0.196700007,0.205599993,0.216000006,0.229000002,0.246199995,0.254000008,0.264600009,0.27700001,0.289499998,0.301899999,0.315699995,0.330900013,0.346899986,0.363200009,0.381000012,0.398900002,0.419699997,0.441700011,0.468100011,0.485100001,0.507499993,0.533500016,0.552100003,0.572899997,0.58890003,0.603200018,0.622200012,0.636200011,0.652999997,0.665899992,0.680899978,0.694999993,0.709599972,0.725199997,0.739400029,0.754000008,0.767400026,0.781799972,0.796000004,0.807099998,0.818099976,0.829100013,0.839699984,0.849399984,0.859200001,0.869499981,0.878000021,0.886799991,0.894999981,0.902999997,0.911300004,0.91869998,0.926599979,0.933700025,0.941100001,0.948300004,0.954599977,0.961700022,0.969600022,0.981599987,0.988300025,0.994000018,0.99970001,1.005800009,1.017500043,1.020499945,1.021000028,1.020699978,1.020400047,1.018900037,1.018300056,1.01699996,1.016199946,1.016199946,1.014600039,1.013000011,1.013200045,1.011000037,1.010100007,1.009500027,1.008700013,1.007699966,1.007300019,1.005599976,1.004600048,1.003800035,1.003100038,1.001799941,1.000699997,0.999899983,0.99849999,0.998099983,0.995999992,0.995800018,0.995400012,0.994099975,0.994099975,0.992900014,0.99150002,0.990800023,0.989400029,0.988799989,0.988099992,0.987100005,0.986299992,0.984600008,0.983900011,0.983399987,0.982599974,0.98119998,0.981700003,0.980099976,0.979600012,0.978900015,0.978200018,0.977299988,0.976100028,0.975399971,0.974600017,0.973699987,0.973200023,0.972000003,0.971000016,0.970600009,0.968599975,0.968100011,0.967700005,0.966899991,0.966899991,0.966400027,0.965900004,0.965699971,0.9648,0.964299977,0.964299977,0.963400006,0.962800026,0.962199986,0.961399972
