Cycle Nr.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212
Time [s],0,371.6,743.1,1114.7,1486.3,1857.8,2578.9,2950.5,3322.1,3693.6,4065.2,4436.8,4808.3,5179.9,5551.5,5923.1,6294.6,6666.2,7037.8,7409.3,7780.9,8152.5,8524.1,8895.6,9267.2,9638.8,10010.3,10381.9,10753.5,11125,11496.6,11868.2,12239.8,12611.3,12982.9,13354.5,13726,14097.6,14469.2,14840.8,15212.3,15583.9,15955.5,16327,16698.6,17070.2,17441.7,17813.3,18184.9,18556.5,18928,19299.6,19671.2,20042.8,20414.3,20785.9,21157.5,21529,21900.6,22272.2,22643.7,23015.3,23386.9,23758.4,24130,24501.6,24873.1,25244.7,25616.3,25987.9,26359.5,26731,27102.6,27474.2,27845.7,28217.3,28588.9,28960.4,29332,29703.6,30075.1,30446.7,30818.3,31189.9,31561.4,31933,32304.6,32676.1,33047.7,33419.3,33790.8,34162.4,34534,34905.6,35277.1,35648.7,36020.3,36391.8,36763.4,37135,37506.5,37878.1,38249.7,38621.2,38992.8,39364.4,39736,40107.5,40479.1,40850.7,41222.3,41593.8,41965.4,42337,42708.5,43080.1,43451.7,43823.2,44194.8,44566.4,44938,45309.5,45681.1,46052.7,46424.2,46797.7,47169.3,47540.9,47912.4,48284,48655.6,49027.1,49398.7,49770.3,50141.8,50513.4,50885,51256.6,51628.1,51999.7,52371.3,52742.9,53114.4,53486,53857.6,54229.1,54600.7,54972.3,55343.9,55715.4,56087,56458.6,56830.1,57201.7,57573.3,57944.9,58316.4,58688,59059.6,59431.1,59802.7,60174.3,60545.8,60917.4,61289,61660.6,62032.1,62403.7,62775.3,63146.8,63518.4,63890,64261.6,64633.1,65004.7,65376.3,65747.8,66119.4,66491,66862.6,67234.1,67605.7,67977.3,68348.8,68720.4,69092,69463.6,69835.1,70206.7,70578.3,70949.8,71321.4,71693,72064.5,72436.1,72807.7,73179.2,73550.8,73922.4,74294,74665.5,75037.1,75408.7,75780.2,76151.8,76523.4,76894.9,77266.5,77638.1,78009.7,78381.2,78752.8
Temp. [C],37.5,37.9,38,38.1,38,37.9,38.2,38.2,38.1,37.9,38,37.9,38.2,37.9,38.1,38,37.9,38.2,38,38.1,37.9,37.8,38.1,37.9,38.1,37.9,38.1,37.9,38,37.8,38.1,38.1,38,37.9,38.1,37.9,38.1,38.1,37.8,37.9,38,38,37.9,37.9,38.1,38.1,38,38,38,37.9,37.9,38.2,38.2,37.8,37.9,37.9,37.9,38,38,38.1,37.9,37.9,38,37.9,37.9,38.2,38,37.8,38.1,38,38.1,38.1,37.9,37.8,38.1,37.9,38.1,37.9,38.1,37.9,38.1,37.9,38,38.1,38.1,38.1,38.1,37.9,38.1,38.3,38,38,38.2,37.9,38,38.1,38.2,38.2,38,38.1,38.2,38,38.1,38.1,38.2,38.1,38,37.9,38.1,38,37.8,38.1,38,38.1,37.8,38.1,38.1,37.9,37.7,38.1,38,38.1,38.1,38.2,38.1,38.2,37.9,38.1,38.2,38.2,37.9,37.9,38.2,37.9,38.1,38,38.2,38.2,38.1,37.8,38.2,38,38.1,37.9,37.9,38.1,37.9,37.9,38.2,38.2,38.1,37.7,38.1,38.2,38.2,38.1,38.1,37.9,38,38.1,38,37.9,38.2,38.1,38,38.1,38,38.1,38.2,38.1,38,37.8,38.2,38,38.1,38.2,38,38,38.1,38.1,38.2,38.1,37.9,37.9,37.9,38.1,38.1,38.1,38,38.2,38,38.1,38.1,37.9,38,38.1,38.1,38,37.9,38.1,38.1,38.2,38.2,38.2,38.2,38.1,38.1,38,37.9,37.9,37.9,38.1
A1,0.089500003,0.089299999,0.089000002,0.089500003,0.090400003,0.091799997,0.093800001,0.093999997,0.093099996,0.093500003,0.093699999,0.093999997,0.094400004,0.094300002,0.092799999,0.0902,0.089100003,0.088200003,0.087700002,0.087800004,0.087899998,0.087899998,0.087800004,0.088100001,0.088,0.087800004,0.088,0.087899998,0.088100001,0.088100001,0.088100001,0.087899998,0.087899998,0.088,0.088,0.088,0.088,0.088,0.088200003,0.088100001,0.088200003,0.088,0.088200003,0.088299997,0.088399999,0.088200003,0.088299997,0.088200003,0.088299997,0.088299997,0.088299997,0.088299997,0.088299997,0.088299997,0.088299997,0.088500001,0.088500001,0.088500001,0.088500001,0.088399999,0.088699996,0.089000002,0.088799998,0.088799998,0.0889,0.0889,0.089100003,0.0889,0.089199997,0.089599997,0.0898,0.090000004,0.090499997,0.090800002,0.0911,0.091700003,0.092299998,0.093199998,0.094099998,0.095399998,0.096799999,0.098399997,0.1008,0.103600003,0.106799997,0.110799998,0.1153,0.122900002,0.128900006,0.139699996,0.147699997,0.158000007,0.162200004,0.172199994,0.189300001,0.208000004,0.226600006,0.244800001,0.269199997,0.291599989,0.317400008,0.341300011,0.363400012,0.381199986,0.40169999,0.416500002,0.432599992,0.432599992,0.433999985,0.42930001,0.426699996,0.417199999,0.409999996,0.3935,0.380600005,0.363200009,0.346599996,0.33129999,0.314099997,0.296499997,0.282099992,0.270500004,0.2597,0.248400003,0.236300007,0.220599994,0.210199997,0.198400006,0.188700005,0.179900005,0.173199996,0.167899996,0.163800001,0.159500003,0.155900002,0.152799994,0.150099993,0.148200005,0.146500006,0.145999998,0.145400003,0.144700006,0.144999996,0.144899994,0.144800007,0.144999996,0.145600006,0.145699993,0.145500004,0.145799994,0.146300003,0.146799996,0.147200003,0.147799999,0.148100004,0.149000004,0.150299996,0.150700003,0.151500002,0.152999997,0.153999999,0.154599994,0.155399993,0.1558,0.156900004,0.157299995,0.158299997,0.159199998,0.159899995,0.1611,0.163399994,0.162,0.162599996,0.163599998,0.163800001,0.164100006,0.163900003,0.164000005,0.163399994,0.164499998,0.165299997,0.169300005,0.168799996,0.168099999,0.168300003,0.169699997,0.171100006,0.171200007,0.172199994,0.173700005,0.174600005,0.175600007,0.178200006,0.179800004,0.180899993,0.184799999,0.188700005,0.191300005,0.195199996,0.199000001,0.203099996,0.207300007,0.211300001,0.216100007,0.220500007,0.225999996,0.231299996,0.237399995,0.243300006,0.250400007,0.256700009,0.263500005
A2,0.089500003,0.089299999,0.089599997,0.0902,0.0911,0.092,0.094300002,0.0942,0.093800001,0.0942,0.094800003,0.095100001,0.094999999,0.094999999,0.093400002,0.090800002,0.089599997,0.088699996,0.088399999,0.088299997,0.088399999,0.088500001,0.088500001,0.088799998,0.088500001,0.088500001,0.088500001,0.088399999,0.088699996,0.088600002,0.088699996,0.088399999,0.088600002,0.088600002,0.088699996,0.088600002,0.088699996,0.088600002,0.088799998,0.088699996,0.088799998,0.088600002,0.088799998,0.0889,0.089000002,0.088799998,0.088799998,0.088799998,0.0889,0.088799998,0.0889,0.0889,0.0889,0.089000002,0.089000002,0.0889,0.089000002,0.0889,0.089000002,0.089000002,0.089199997,0.089100003,0.0889,0.089100003,0.089299999,0.0889,0.089000002,0.089000002,0.089000002,0.089299999,0.089100003,0.089100003,0.089500003,0.089299999,0.089299999,0.089400001,0.089400001,0.089299999,0.089400001,0.089599997,0.0898,0.0898,0.090000004,0.090099998,0.090499997,0.090599999,0.090899996,0.090999998,0.091499999,0.091799997,0.092100002,0.093000002,0.093599997,0.094300002,0.095299996,0.096199997,0.097499996,0.098899998,0.100400001,0.102200001,0.104999997,0.107699998,0.110600002,0.114600003,0.118299998,0.123099998,0.128199995,0.134100005,0.141299993,0.149299994,0.154300004,0.158299997,0.167099997,0.177900001,0.187399998,0.201000005,0.211799994,0.219600007,0.227899998,0.238100007,0.248999998,0.2597,0.270900011,0.282599986,0.29429999,0.305900007,0.318500012,0.328099996,0.337599993,0.34740001,0.358399987,0.369599998,0.381099999,0.394199997,0.407400012,0.416900009,0.426200002,0.438600004,0.449800014,0.460599989,0.47299999,0.478300005,0.488000005,0.498899996,0.507499993,0.514299989,0.521000028,0.534699976,0.537199974,0.543900013,0.548500001,0.550199986,0.55400002,0.557399988,0.557799995,0.560899973,0.556500018,0.557600021,0.553300023,0.553300023,0.550800025,0.549600005,0.539499998,0.543099999,0.537,0.529299974,0.520399988,0.517799973,0.506299973,0.497900009,0.489600003,0.480199993,0.467299998,0.455900013,0.442200005,0.428799987,0.417299986,0.404799998,0.388099998,0.367900014,0.34799999,0.333499998,0.321099997,0.3116,0.3046,0.296999991,0.291900009,0.285699993,0.279300004,0.273200005,0.26789999,0.263900012,0.259799987,0.257200003,0.254099995,0.252400011,0.25060001,0.248199999,0.246700004,0.2456,0.244100004,0.243300006,0.241699994,0.241099998,0.239600003,0.239099994,0.238199994,0.237100005,0.236599997,0.236200005,0.235599995,0.234999999
A3,0.089100003,0.089299999,0.089699998,0.089900002,0.090899996,0.091700003,0.093900003,0.094700001,0.094999999,0.096100003,0.096900001,0.0977,0.098300003,0.098899998,0.098700002,0.097999997,0.0964,0.0942,0.092500001,0.090999998,0.089900002,0.089299999,0.088699996,0.0889,0.089000002,0.088500001,0.088500001,0.088500001,0.088500001,0.088699996,0.088699996,0.088500001,0.088600002,0.088600002,0.088500001,0.088500001,0.088600002,0.088600002,0.088600002,0.088699996,0.088699996,0.088500001,0.088799998,0.088799998,0.0889,0.088799998,0.088799998,0.088600002,0.088799998,0.088699996,0.0889,0.088600002,0.088799998,0.088799998,0.089000002,0.089000002,0.088799998,0.088799998,0.0889,0.088799998,0.089000002,0.089100003,0.089000002,0.089000002,0.089199997,0.089299999,0.089400001,0.089100003,0.089299999,0.089400001,0.089599997,0.089500003,0.089599997,0.089699998,0.089699998,0.090000004,0.090099998,0.090300001,0.090400003,0.090700001,0.090899996,0.0911,0.091700003,0.091700003,0.092600003,0.093099996,0.093599997,0.094099998,0.095399998,0.096199997,0.0973,0.0986,0.100199997,0.102200001,0.1043,0.1065,0.109700002,0.113300003,0.117200002,0.122000001,0.127599999,0.1347,0.140300006,0.142199993,0.147699997,0.153400004,0.161300004,0.170000002,0.178800002,0.185900003,0.189700007,0.194199994,0.198500007,0.201499999,0.204400003,0.206900001,0.203899994,0.200499997,0.195700005,0.1919,0.188999996,0.1866,0.186100006,0.185200006,0.186299995,0.184200004,0.179800004,0.177900001,0.1778,0.176899999,0.175899997,0.176499993,0.177200004,0.179299995,0.183500007,0.187399998,0.193299994,0.201100007,0.206799999,0.215599999,0.225999996,0.237900004,0.243200004,0.247700006,0.254900008,0.258899987,0.263799995,0.268400013,0.272700012,0.278400004,0.282400012,0.288800001,0.293199986,0.298299998,0.302100003,0.30340001,0.30340001,0.298799992,0.292199999,0.275900006,0.256500006,0.241500005,0.230900005,0.219899997,0.211600006,0.203700006,0.192599997,0.184,0.175500005,0.170599997,0.1646,0.159899995,0.157299995,0.154699996,0.151600003,0.149599999,0.146699995,0.146200001,0.144500002,0.143800005,0.143399999,0.143399999,0.143099993,0.142299995,0.1435,0.143800005,0.1435,0.143999994,0.1435,0.144400001,0.144500002,0.144899994,0.145500004,0.146400005,0.146699995,0.147699997,0.148699999,0.149299994,0.1505,0.151299998,0.152700007,0.153699994,0.155000001,0.156599998,0.157499999,0.159299999,0.160899997,0.162400007,0.163900003,0.166299999,0.167699993,0.169799998
A4,0.089000002,0.089199997,0.089599997,0.0898,0.090800002,0.091600001,0.0933,0.094499998,0.094999999,0.095700003,0.096500002,0.097000003,0.0977,0.098099999,0.098200001,0.097400002,0.095799997,0.093900003,0.092100002,0.090700001,0.0898,0.0889,0.088600002,0.088699996,0.088500001,0.088200003,0.088299997,0.088100001,0.088500001,0.088500001,0.088399999,0.088299997,0.088299997,0.088399999,0.088399999,0.088399999,0.088399999,0.088399999,0.088500001,0.088500001,0.088399999,0.088500001,0.088600002,0.088600002,0.088799998,0.088600002,0.088500001,0.088500001,0.088600002,0.088600002,0.088699996,0.088600002,0.088600002,0.088699996,0.0889,0.088699996,0.088699996,0.0889,0.088699996,0.0889,0.089000002,0.089400001,0.089299999,0.089500003,0.0898,0.089699998,0.090099998,0.090300001,0.090899996,0.091600001,0.092200004,0.092900001,0.094300002,0.0955,0.097199999,0.099299997,0.101999998,0.1052,0.108900003,0.114100002,0.119599998,0.127200007,0.136299998,0.147799999,0.154699996,0.162900001,0.178499997,0.195899993,0.216100007,0.238000005,0.266499996,0.300700009,0.334300011,0.369800001,0.408399999,0.449400008,0.492300004,0.528100014,0.565999985,0.589999974,0.609899998,0.628400028,0.645099998,0.665199995,0.683799982,0.700900018,0.720300019,0.738699973,0.753799975,0.766200006,0.777999997,0.788699985,0.799300015,0.808499992,0.817399979,0.823700011,0.82950002,0.833599985,0.836899996,0.838400006,0.840699971,0.83890003,0.837700009,0.834900022,0.830500007,0.824100018,0.817300022,0.808899999,0.801299989,0.791999996,0.783200026,0.773199975,0.760999978,0.748000026,0.734799981,0.719299972,0.704200029,0.687099993,0.669200003,0.6505,0.631900012,0.613099992,0.595300019,0.578199983,0.564599991,0.552299976,0.542100012,0.529200017,0.513999999,0.498100013,0.480100006,0.458299994,0.436199993,0.412200004,0.387400001,0.364600003,0.343300015,0.325599998,0.311800003,0.301899999,0.292899996,0.285899997,0.278699994,0.272100002,0.265199989,0.258300006,0.252299994,0.246399999,0.240700006,0.236499995,0.233700007,0.230000004,0.227699995,0.226199999,0.2245,0.2236,0.222399995,0.221599996,0.221200004,0.221499994,0.220200002,0.220100001,0.219999999,0.219799995,0.219799995,0.219600007,0.219699994,0.219099998,0.219099998,0.218899995,0.218799993,0.218799993,0.218899995,0.219500005,0.222499996,0.218700007,0.2192,0.220300004,0.219099998,0.219099998,0.218899995,0.218799993,0.218500003,0.219699994,0.219699994,0.218899995,0.220799997,0.219400004,0.218799993,0.219099998,0.2192,0.219099998
A5,0.0902,0.0902,0.090499997,0.090599999,0.091899998,0.092600003,0.094599999,0.095799997,0.096799999,0.099100001,0.101099998,0.103600003,0.106899999,0.109999999,0.113700002,0.117600001,0.119999997,0.121200003,0.1215,0.120700002,0.119000003,0.116700001,0.114,0.109999999,0.102600001,0.096199997,0.093900003,0.093099996,0.092900001,0.092600003,0.092399999,0.092100002,0.092200004,0.092,0.092100002,0.091899998,0.092100002,0.092,0.092100002,0.092100002,0.092200004,0.092100002,0.092,0.092299998,0.092399999,0.092200004,0.092299998,0.092200004,0.092299998,0.092200004,0.092299998,0.092200004,0.092299998,0.092399999,0.092399999,0.092500001,0.092500001,0.092500001,0.092299998,0.092399999,0.092500001,0.092699997,0.092500001,0.092500001,0.092699997,0.092500001,0.092600003,0.092500001,0.092600003,0.092799999,0.092799999,0.092699997,0.092900001,0.092699997,0.092799999,0.092699997,0.092699997,0.092600003,0.092699997,0.092799999,0.092699997,0.093000002,0.092799999,0.092699997,0.092900001,0.093099996,0.092900001,0.092900001,0.093099996,0.093000002,0.092799999,0.093400002,0.093199998,0.0933,0.093400002,0.093199998,0.093500003,0.093699999,0.093599997,0.093400002,0.093800001,0.0942,0.094099998,0.094300002,0.094800003,0.095299996,0.0955,0.096199997,0.096600004,0.097400002,0.098099999,0.099299997,0.100299999,0.101800002,0.103799999,0.105800003,0.108199999,0.110299997,0.111599997,0.114600003,0.118799999,0.1241,0.1294,0.136199996,0.143399999,0.151700005,0.161699995,0.171299994,0.183699995,0.197999999,0.214100003,0.233400002,0.254000008,0.280699998,0.307900012,0.335299999,0.366400003,0.406899989,0.447100013,0.486900002,0.510100007,0.531899989,0.549700022,0.563899994,0.583899975,0.601800025,0.619599998,0.637799978,0.654100001,0.671000004,0.689499974,0.704900026,0.724099994,0.739799976,0.757099986,0.776899993,0.793799996,0.808799982,0.822099984,0.835900009,0.8477,0.860300004,0.870700002,0.883099973,0.892099977,0.901799977,0.914300025,0.925800025,0.934899986,0.944000006,0.952600002,0.961000025,0.969099998,0.977199972,0.984899998,0.992900014,1.000399947,1.008900046,1.021000028,1.027799964,1.033400059,1.039199948,1.04460001,1.050099969,1.056499958,1.06159997,1.066499949,1.073899984,1.08130002,1.081699967,1.080199957,1.078500032,1.077000022,1.075099945,1.074300051,1.073500037,1.072399974,1.070799947,1.070299983,1.068600059,1.068099976,1.067700028,1.066499949,1.065899968,1.064700007,1.06340003,1.06309998,1.062399983,1.06099999,1.061200023,1.060099959,1.059700012
A6,0.089199997,0.089400001,0.089699998,0.0898,0.090899996,0.091799997,0.093599997,0.094899997,0.095700003,0.098099999,0.100100003,0.102600001,0.105499998,0.108900003,0.112899996,0.116599999,0.118799999,0.119599998,0.120099999,0.119000003,0.117200002,0.115199998,0.112599999,0.108800001,0.101199999,0.095200002,0.093099996,0.092200004,0.092100002,0.091799997,0.091600001,0.091300003,0.091300003,0.091300003,0.091300003,0.090999998,0.091200002,0.0911,0.091200002,0.091200002,0.091200002,0.091200002,0.091200002,0.091300003,0.091499999,0.091300003,0.091300003,0.091200002,0.091300003,0.091300003,0.091300003,0.091399997,0.091399997,0.091399997,0.091399997,0.091499999,0.091499999,0.091600001,0.091399997,0.091700003,0.091600001,0.092,0.091700003,0.092,0.092399999,0.092299998,0.092500001,0.092500001,0.092799999,0.0933,0.093500003,0.093800001,0.094899997,0.095200002,0.095799997,0.096900001,0.098399997,0.099600002,0.101499997,0.103500001,0.106399998,0.109499998,0.111000001,0.113700002,0.118900001,0.125,0.130999997,0.138999999,0.147799999,0.158199996,0.170399994,0.181500003,0.196700007,0.215000004,0.236900002,0.260600001,0.290499985,0.320600003,0.351999998,0.386700004,0.426800013,0.461400002,0.509899974,0.536800027,0.558899999,0.581200004,0.600199997,0.620999992,0.639699996,0.659300029,0.680299997,0.703599989,0.718299985,0.742200017,0.761099994,0.778400004,0.792500019,0.809099972,0.823499978,0.838100016,0.854900002,0.869199991,0.882399976,0.894599974,0.907400012,0.918799996,0.92930001,0.941699982,0.95450002,0.9648,0.975499988,0.985700011,0.994400024,1.002300024,1.013599992,1.020900011,1.028599977,1.03579998,1.043300033,1.051399946,1.059800029,1.067100048,1.073799968,1.081699967,1.0898,1.098700047,1.106999993,1.118899941,1.123999953,1.12469995,1.126000047,1.125,1.126299977,1.126700044,1.12559998,1.12559998,1.125800014,1.123600006,1.12469995,1.124799967,1.124799967,1.123800039,1.123299956,1.123600006,1.123000026,1.122400045,1.122300029,1.120900035,1.119500041,1.119300008,1.118800044,1.11740005,1.116799951,1.116799951,1.11559999,1.115100026,1.113999963,1.112400055,1.112200022,1.111600041,1.110700011,1.110499978,1.108899951,1.108899951,1.10739994,1.106699944,1.106699944,1.105499983,1.103399992,1.103199959,1.101600051,1.101099968,1.100900054,1.100200057,1.099499941,1.09829998,1.097800016,1.096699953,1.096199989,1.095199943,1.094699979,1.094300032,1.093700051,1.092399955,1.091500044,1.090299964,1.089699984,1.089100003,1.088000059,1.087499976,1.086400032,1.085800052
A7,0.089100003,0.089199997,0.089500003,0.089900002,0.090999998,0.091700003,0.093599997,0.094800003,0.096199997,0.098200001,0.100900002,0.103799999,0.107699998,0.112499997,0.118600003,0.125400007,0.134499997,0.142900005,0.151999995,0.160600007,0.161200002,0.159299999,0.157600001,0.153799996,0.148000002,0.133100003,0.114399999,0.100100003,0.096100003,0.095100001,0.094499998,0.093999997,0.093900003,0.093699999,0.093599997,0.093500003,0.093599997,0.093500003,0.093500003,0.093599997,0.093599997,0.093599997,0.093599997,0.093800001,0.093800001,0.093699999,0.093699999,0.093800001,0.093900003,0.093900003,0.093900003,0.093999997,0.093900003,0.093999997,0.094099998,0.0942,0.0942,0.094400004,0.094499998,0.094400004,0.094499998,0.094800003,0.094599999,0.094700001,0.095100001,0.094999999,0.095399998,0.095399998,0.095799997,0.096299998,0.096699998,0.097199999,0.097999997,0.098999999,0.0999,0.100699998,0.102499999,0.104000002,0.105999999,0.108400002,0.111299999,0.114799999,0.118299998,0.123300001,0.128900006,0.135499999,0.143000007,0.151700005,0.160600007,0.172299996,0.186199993,0.204300001,0.221599996,0.241799995,0.264699996,0.290800005,0.3213,0.35620001,0.393400013,0.433299989,0.480500013,0.504000008,0.524699986,0.548600018,0.568700016,0.591099977,0.611000001,0.628400028,0.648500025,0.667200029,0.685299993,0.704400003,0.720200002,0.739600003,0.754100025,0.772700012,0.790099978,0.808399975,0.826499999,0.839900017,0.853299975,0.867999971,0.881600022,0.89289999,0.903100014,0.916800022,0.930000007,0.941699982,0.952700019,0.962199986,0.971800029,0.980799973,0.9903,1.000200033,1.01030004,1.017400026,1.023800015,1.031599998,1.038800001,1.046599984,1.053900003,1.061699986,1.068300009,1.076200008,1.085999966,1.098899961,1.106999993,1.110399961,1.110800028,1.111500025,1.111600041,1.111600041,1.112499952,1.112200022,1.112200022,1.113999963,1.113899946,1.113600016,1.113700032,1.114400029,1.113999963,1.113800049,1.112800002,1.112200022,1.111600041,1.109500051,1.108500004,1.107599974,1.106999993,1.106699944,1.10619998,1.105599999,1.105100036,1.104500055,1.102699995,1.102499962,1.101400018,1.100399971,1.098999977,1.09829998,1.097900033,1.097300053,1.096099973,1.095900059,1.095499992,1.095499992,1.095299959,1.094499946,1.093400002,1.093199968,1.092300057,1.091300011,1.091099977,1.090199947,1.089400053,1.08920002,1.088600039,1.087599993,1.08739996,1.085899949,1.085700035,1.083400011,1.081400037,1.081699967,1.080000043,1.079300046,1.078099966,1.077200055,1.076400042,1.076900005,1.076500058,1.076900005
A8,0.088699996,0.088699996,0.089100003,0.089400001,0.090599999,0.091200002,0.0933,0.094599999,0.096000001,0.098300003,0.100900002,0.104000002,0.108000003,0.113300003,0.119099997,0.126599997,0.135399997,0.143999994,0.152999997,0.161200002,0.161799997,0.160999998,0.159400001,0.156299993,0.149700001,0.131999999,0.113399997,0.099299997,0.095799997,0.094499998,0.093900003,0.093400002,0.093199998,0.093099996,0.093199998,0.092900001,0.093099996,0.093000002,0.093199998,0.0933,0.093000002,0.092900001,0.093099996,0.093000002,0.093000002,0.093000002,0.093000002,0.093000002,0.093099996,0.093099996,0.0933,0.093400002,0.093400002,0.093500003,0.093500003,0.093400002,0.093599997,0.093599997,0.093599997,0.093699999,0.093999997,0.0942,0.0942,0.094300002,0.094400004,0.094400004,0.094700001,0.094999999,0.095299996,0.095600002,0.096000001,0.0964,0.097499996,0.098099999,0.098800004,0.099600002,0.101000004,0.102399997,0.103799999,0.105700001,0.108000003,0.110600002,0.113899998,0.117399998,0.1219,0.126800001,0.133100003,0.139599994,0.147499993,0.155499995,0.164900005,0.177200004,0.193100005,0.207399994,0.225700006,0.244900003,0.26730001,0.293300003,0.322899997,0.356099993,0.391799986,0.439500004,0.469900012,0.490500003,0.510500014,0.533800006,0.550100029,0.572000027,0.594600022,0.614600003,0.630800009,0.650399983,0.667800009,0.685000002,0.703800023,0.720200002,0.736800015,0.753899992,0.773699999,0.791000009,0.809800029,0.823700011,0.836499989,0.851000011,0.862800002,0.875400007,0.888899982,0.90109998,0.913100004,0.924399972,0.933700025,0.944400012,0.954200029,0.962700009,0.971899986,0.979600012,0.988399982,0.996599972,1.004299998,1.013299942,1.019999981,1.026000023,1.033400059,1.038800001,1.052800059,1.060500026,1.073400021,1.081400037,1.082599998,1.083600044,1.084300041,1.085500002,1.085899949,1.085500002,1.085100055,1.084800005,1.084200025,1.083699942,1.082999945,1.083199978,1.082599998,1.082700014,1.081500053,1.080800056,1.080199957,1.079699993,1.078600049,1.078699946,1.077399969,1.077299953,1.076500058,1.075799942,1.074000001,1.073799968,1.073699951,1.072999954,1.07190001,1.071699977,1.069900036,1.069599986,1.069499969,1.068799973,1.067800045,1.067000031,1.066100001,1.065299988,1.064599991,1.063500047,1.06219995,1.061699986,1.061400056,1.060700059,1.059399962,1.058699965,1.057899952,1.057399988,1.055899978,1.054800034,1.054100037,1.05309999,1.052800059,1.051100016,1.050400019,1.050099969,1.048900008,1.047500014,1.047299981,1.046499968,1.046000004,1.045300007,1.04460001,1.044100046
