Cycle Nr.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203
Time [s],0,373.2,746.5,1119.7,1492.9,1866.2,2508.2,2881.5,3254.7,3627.9,4001.2,4374.4,4747.7,5120.9,5494.1,5867.4,6240.6,6613.8,6987.1,7360.3,7733.5,8106.8,8480,8853.3,9226.5,9599.8,9973,10346.2,10719.5,11092.7,11466,11839.2,12212.4,12585.7,12958.9,13332.2,13705.4,14078.7,14451.9,14825.1,15198.4,15571.6,15944.9,16318.1,16691.3,17064.6,17437.8,17811.1,18184.3,18557.5,18930.8,19304,19677.3,20050.5,20423.7,20797,21170.2,21543.5,21916.7,22290,22663.2,23036.5,23409.7,23782.9,24156.2,24529.4,24902.7,25275.9,25649.2,26022.4,26395.6,26768.9,27142.1,27515.4,27888.6,28261.8,28635.1,29008.3,29381.5,29754.8,30128,30501.3,30874.5,31247.7,31621,31994.2,32367.5,32740.7,33114,33487.2,33860.4,34233.7,34606.9,34980.2,35353.4,35726.6,36099.9,36473.1,36846.3,37219.6,37592.8,37966.1,38339.3,38712.6,39085.8,39459,39832.3,40205.5,40578.7,40952,41325.2,41698.5,42071.7,42445,42818.2,43191.5,43564.7,43937.9,44311.2,44684.4,45057.7,45430.9,45804.1,46177.4,46550.6,46924.2,47297.5,47670.7,48043.9,48417.2,48790.4,49163.6,49536.9,49910.1,50283.4,50656.6,51029.8,51403.1,51776.3,52149.6,52522.8,52896.1,53269.3,53642.5,54015.8,54389,54762.3,55135.5,55508.8,55882,56255.2,56628.5,57001.7,57374.9,57748.2,58121.4,58494.7,58867.9,59241.1,59614.4,59987.6,60360.9,60734.1,61107.3,61480.6,61853.8,62227.1,62600.3,62973.5,63346.8,63720,64093.3,64466.5,64839.8,65213,65586.2,65959.5,66332.7,66705.9,67079.2,67452.4,67825.7,68198.9,68572.1,68945.4,69318.6,69691.9,70065.1,70438.3,70811.6,71184.8,71558,71931.3,72304.5,72677.8,73051,73424.3,73797.5,74170.7,74544,74917.2,75290.5,75663.7
Temp. [C],38,38,38.3,38.6,38.7,38.3,37.8,38.2,38.7,38.6,37.8,38.3,38.8,38,38.2,38.7,38.2,38.1,38.7,38.2,38.1,38.7,37.9,38.2,38.8,37.8,38.4,38.7,37.8,38.4,38.8,37.8,38.3,38.7,38,38.1,38.7,38.4,37.9,38.6,38.7,37.8,38.3,38.7,38.4,37.9,38.5,38.7,37.8,38.3,38.7,38.3,38,38.6,38.7,37.8,38.3,38.7,38.2,37.9,38.5,38.7,37.8,38.1,38.7,38.5,37.8,38.5,38.7,38.1,37.9,38.5,38.7,37.8,38.2,38.7,38.5,37.8,38.4,38.7,38,38,38.6,38.7,37.8,38.2,38.7,38.5,37.8,38.4,38.8,37.9,38.1,38.6,38.7,37.8,38.2,38.7,38.5,37.8,38.3,38.7,38.6,37.8,38.2,38.7,38.5,37.8,38.3,38.8,38.1,37.9,38.6,38.7,37.8,38.2,38.7,38.6,37.8,38.2,38.7,38.5,37.8,38.4,38.7,38.2,37.9,38.5,38.7,37.9,38.1,38.6,38.7,37.8,38.3,38.7,38.4,37.8,38.4,38.7,38,38,38.6,38.7,37.8,38.2,38.6,38.7,37.8,38.2,38.7,38.5,37.8,38.3,38.7,38.3,37.9,38.5,38.7,37.9,38.1,38.6,38.6,37.8,38.3,38.7,38.5,37.8,38.4,38.7,38.2,37.9,38.5,38.7,37.8,38.2,38.7,38.6,37.8,38.3,38.8,38.1,37.9,38.5,38.7,37.8,38.3,38.8,37.8,38.5,38.7,37.8,38.3,38.8,37.8,38.4,38.7,37.8,38.4,38.7,37.8,38.5,38.7
A1,0.088500001,0.088500001,0.088799998,0.089299999,0.090099998,0.090999998,0.093000002,0.092399999,0.091899998,0.091499999,0.090899996,0.090899996,0.090599999,0.090400003,0.089500003,0.088600002,0.088,0.087399997,0.087099999,0.0867,0.086400002,0.086400002,0.086099997,0.086099997,0.085900001,0.085900001,0.085900001,0.0858,0.085900001,0.085900001,0.085900001,0.0858,0.085900001,0.0858,0.085900001,0.086000003,0.085900001,0.085900001,0.0858,0.0858,0.086000003,0.085900001,0.0858,0.085900001,0.086199999,0.086000003,0.086000003,0.086099997,0.086099997,0.086800002,0.086499996,0.086599998,0.086900003,0.087099999,0.0876,0.087700002,0.088399999,0.088799998,0.089599997,0.090400003,0.091600001,0.092399999,0.093500003,0.094300002,0.094999999,0.095799997,0.096299998,0.097000003,0.097400002,0.097999997,0.098499998,0.098999999,0.0995,0.0999,0.100599997,0.101300001,0.1021,0.103,0.104199998,0.105499998,0.106899999,0.108999997,0.111100003,0.113399997,0.115900002,0.119000003,0.122500002,0.126399994,0.130799994,0.135900006,0.1417,0.145199999,0.147400007,0.152899995,0.159999996,0.167600006,0.174600005,0.182600006,0.189700007,0.200299993,0.210899994,0.229300007,0.237200007,0.247600004,0.259000003,0.274300009,0.288500011,0.30340001,0.317200005,0.331499994,0.343699992,0.354000002,0.363499999,0.374199986,0.381900012,0.389400005,0.395999998,0.404500008,0.412699997,0.415800005,0.417199999,0.414600015,0.410400003,0.409999996,0.413300008,0.412099987,0.418199986,0.418199986,0.42050001,0.425500005,0.424699992,0.427700013,0.432200015,0.433499992,0.436399996,0.439700007,0.444400012,0.447400004,0.448100001,0.451599985,0.451400012,0.4551,0.45539999,0.460700005,0.461499989,0.46509999,0.467200011,0.469399989,0.470899999,0.470800012,0.47420001,0.47330001,0.476399988,0.476300001,0.477800012,0.480300009,0.481599987,0.481900007,0.487399995,0.486499995,0.486699998,0.48969999,0.49000001,0.4912,0.493400007,0.493099988,0.496199995,0.495200008,0.5,0.497200012,0.496699989,0.496499985,0.496300012,0.496300012,0.494700015,0.493200004,0.494800001,0.49000001,0.486499995,0.486699998,0.485300004,0.477800012,0.477299988,0.475100011,0.472499996,0.469199985,0.464100003,0.460299999,0.456200004,0.451499999,0.447100013,0.441399992,0.437700003,0.435000002,0.428900003,0.423000008,0.419499993,0.412999988,0.406500012,0.400999993,0.395599991,0.390700012,0.385600001
A2,0.090099998,0.090300001,0.090499997,0.0911,0.091700003,0.092699997,0.094700001,0.094300002,0.093699999,0.093099996,0.092799999,0.092699997,0.092299998,0.092200004,0.091200002,0.090300001,0.089199997,0.088799998,0.088699996,0.088500001,0.088299997,0.0876,0.087800004,0.087399997,0.087399997,0.087399997,0.088100001,0.087300003,0.087200001,0.087399997,0.087399997,0.087399997,0.087399997,0.087300003,0.087499999,0.087300003,0.087499999,0.087300003,0.087499999,0.087499999,0.0876,0.087399997,0.087399997,0.0876,0.087700002,0.087700002,0.087700002,0.087800004,0.088,0.088200003,0.088399999,0.088600002,0.089000002,0.089299999,0.089900002,0.090499997,0.091300003,0.092699997,0.093000002,0.093800001,0.094599999,0.095299996,0.095899999,0.096799999,0.097599998,0.098499998,0.099200003,0.099799998,0.100400001,0.100900002,0.101099998,0.101499997,0.1021,0.102700002,0.103699997,0.104500003,0.105700001,0.107000001,0.1083,0.110100001,0.112099998,0.114399999,0.116800003,0.120200001,0.122900002,0.126800001,0.130700007,0.135499999,0.140599996,0.146200001,0.151299998,0.152899995,0.154899999,0.160400003,0.167400002,0.174099997,0.180899993,0.187900007,0.194299996,0.202900007,0.212500006,0.225999996,0.237299994,0.247400001,0.257400006,0.269699991,0.281800002,0.296099991,0.310699999,0.326099992,0.340900004,0.354600012,0.365999997,0.377400011,0.387600005,0.397000015,0.407099992,0.414299995,0.41929999,0.419400007,0.418500006,0.41870001,0.4208,0.422699988,0.426699996,0.428200006,0.434799999,0.440200001,0.4454,0.447400004,0.452800006,0.455799997,0.460900009,0.46509999,0.469099998,0.472600013,0.478700012,0.484699994,0.491400003,0.495299995,0.50059998,0.505400002,0.50999999,0.513899982,0.515399992,0.518999994,0.523699999,0.527499974,0.527199984,0.529399991,0.530499995,0.533699989,0.536300004,0.5352,0.537400007,0.537,0.537899971,0.537999988,0.535700023,0.532700002,0.530799985,0.528400004,0.527899981,0.530700028,0.5273,0.524699986,0.52670002,0.523899972,0.522800028,0.523500025,0.519900024,0.518599987,0.515999973,0.514599979,0.512000024,0.50880003,0.507399976,0.504199982,0.501900017,0.497299999,0.496600002,0.492599994,0.491600007,0.487599999,0.484100014,0.481299996,0.477899998,0.47420001,0.472600013,0.469000012,0.46450001,0.463099986,0.459399998,0.457300007,0.453999996,0.449699998,0.446200013,0.444299996,0.440800011,0.4384,0.434300005,0.432399988,0.428499997
A3,0.089100003,0.089299999,0.089400001,0.090099998,0.090800002,0.091799997,0.0942,0.095200002,0.096500002,0.097900003,0.099600002,0.101099998,0.102600001,0.103600003,0.100299999,0.093900003,0.090000004,0.088,0.087099999,0.0867,0.086400002,0.086300001,0.086199999,0.086199999,0.086199999,0.086199999,0.086199999,0.086199999,0.086199999,0.086300001,0.086800002,0.086300001,0.086400002,0.086300001,0.086400002,0.086300001,0.086400002,0.086400002,0.086499996,0.086499996,0.086599998,0.086599998,0.0867,0.086800002,0.086999997,0.086999997,0.087300003,0.087499999,0.087700002,0.088200003,0.089100003,0.089199997,0.0898,0.090599999,0.091700003,0.092699997,0.093800001,0.095100001,0.095799997,0.096699998,0.097900003,0.099100001,0.100400001,0.101800002,0.103100002,0.104800001,0.105999999,0.1074,0.1087,0.110299997,0.111900002,0.113799997,0.115900002,0.1184,0.1219,0.123899996,0.127100006,0.1303,0.134000003,0.1382,0.139799997,0.141299993,0.145699993,0.151700005,0.158500001,0.165700004,0.172999993,0.180700004,0.190500006,0.202999994,0.216499999,0.233899996,0.245399997,0.25940001,0.274500012,0.291500002,0.309700012,0.327800006,0.344900012,0.361600012,0.376800001,0.390399992,0.403699994,0.417400002,0.428000003,0.433400005,0.432799995,0.433200002,0.434700012,0.43720001,0.440499991,0.444400012,0.448199987,0.452100009,0.45539999,0.459800005,0.464700013,0.470800012,0.479099989,0.483700007,0.486000001,0.488000005,0.49059999,0.493099988,0.495900005,0.4991,0.500199974,0.502799988,0.503600001,0.506600022,0.50849998,0.510900021,0.513400018,0.514299989,0.516499996,0.518000007,0.521700025,0.523299992,0.527199984,0.529500008,0.532599986,0.533900023,0.538100004,0.537299991,0.539600015,0.537800014,0.541899979,0.544700027,0.547699988,0.546400011,0.546500027,0.540600002,0.545099974,0.541999996,0.543299973,0.540000021,0.539900005,0.538100004,0.538500011,0.533999979,0.53549999,0.527700007,0.531499982,0.522899985,0.527100027,0.517099977,0.521700025,0.511900008,0.51789999,0.504100025,0.50999999,0.500500023,0.500899971,0.493699998,0.490799993,0.487199992,0.481900007,0.477999985,0.47330001,0.470999986,0.460799992,0.453999996,0.449900001,0.4463,0.440200001,0.436100006,0.4375,0.43689999,0.429899991,0.431100011,0.421900004,0.419200003,0.415499985,0.411300004,0.407200009,0.405499995,0.403400004,0.398699999,0.396299988,0.393700004,0.389899999,0.387699991,0.384499997
A4,0.089699998,0.089400001,0.089500003,0.090099998,0.090700001,0.091600001,0.093900003,0.095200002,0.095899999,0.097199999,0.098700002,0.100199997,0.1017,0.102600001,0.099699996,0.093999997,0.090400003,0.088200003,0.087200001,0.0867,0.086499996,0.086400002,0.086300001,0.086400002,0.086300001,0.086900003,0.086400002,0.086499996,0.086400002,0.086400002,0.086400002,0.086400002,0.086499996,0.086400002,0.086599998,0.086499996,0.086499996,0.086499996,0.086599998,0.086499996,0.0867,0.0867,0.086800002,0.0867,0.086900003,0.086900003,0.087099999,0.087200001,0.087399997,0.087700002,0.088,0.088299997,0.0889,0.089400001,0.090300001,0.090999998,0.092299998,0.093699999,0.095399998,0.097599998,0.100199997,0.103600003,0.107500002,0.112400003,0.1184,0.126399994,0.134900004,0.146200001,0.150900006,0.158600003,0.172600001,0.190400004,0.208199993,0.229300007,0.248099998,0.267100006,0.292299986,0.31099999,0.324699998,0.339700013,0.357899994,0.381199986,0.398900002,0.415800005,0.430700004,0.444999993,0.453599989,0.462300003,0.468699992,0.476599991,0.484100014,0.495299995,0.506799996,0.514900029,0.524600029,0.535099983,0.544399977,0.55400002,0.564899981,0.573800027,0.585200012,0.595000029,0.60710001,0.617299974,0.628499985,0.639299989,0.648899972,0.658500016,0.667800009,0.67750001,0.688799977,0.69630003,0.706499994,0.716600001,0.728600025,0.736000001,0.743900001,0.751299977,0.75940001,0.766799986,0.774500012,0.782299995,0.788399994,0.795400023,0.80430001,0.810000002,0.818599999,0.825100005,0.832300007,0.839399993,0.846499979,0.850399971,0.857599974,0.861100018,0.867900014,0.870100021,0.877099991,0.880999982,0.8847,0.887899995,0.892199993,0.895799994,0.898899972,0.90079999,0.904200017,0.906000018,0.9102,0.913900018,0.915199995,0.919799984,0.921199977,0.922100008,0.925999999,0.935199976,0.942600012,0.944599986,0.946500003,0.94660002,0.949699998,0.949000001,0.951799989,0.953299999,0.9551,0.95660001,0.959200025,0.959900022,0.962100029,0.962000012,0.965200007,0.966000021,0.964699984,0.961300015,0.959999979,0.955500007,0.95450002,0.950900018,0.950500011,0.946099997,0.944999993,0.941799998,0.939100027,0.936999977,0.933600008,0.9296,0.928600013,0.922599971,0.921899974,0.915199995,0.914799988,0.908399999,0.906099975,0.902800024,0.898000002,0.893100023,0.890799999,0.884000003,0.885500014,0.884899974,0.876900017,0.879000008,0.882399976,0.869400024,0.872699976
A5,0.088399999,0.088500001,0.088799998,0.089299999,0.090099998,0.0911,0.093800001,0.095100001,0.097099997,0.099299997,0.101999998,0.105499998,0.109099999,0.114,0.118199997,0.1206,0.120099999,0.120800003,0.120200001,0.119800001,0.116099998,0.107000001,0.093599997,0.089199997,0.087899998,0.087499999,0.087300003,0.087200001,0.087200001,0.087800004,0.087300003,0.087300003,0.087700002,0.087399997,0.087499999,0.087700002,0.0876,0.0876,0.087700002,0.087800004,0.087899998,0.087899998,0.087800004,0.087899998,0.088100001,0.088100001,0.088200003,0.088200003,0.088299997,0.089000002,0.088799998,0.088799998,0.089000002,0.089100003,0.089400001,0.089500003,0.089900002,0.0902,0.090499997,0.090999998,0.091499999,0.092200004,0.092799999,0.093800001,0.094700001,0.095899999,0.097199999,0.098999999,0.1008,0.103100002,0.105700001,0.108599998,0.111400001,0.113799997,0.116999999,0.121699996,0.126800001,0.132300004,0.138300002,0.145300001,0.152700007,0.160600007,0.170200005,0.181299999,0.194199994,0.208700001,0.226600006,0.239500001,0.253500015,0.26910001,0.285100013,0.301600009,0.319900006,0.337700009,0.354000002,0.368400007,0.381999999,0.396299988,0.406899989,0.413300008,0.412900001,0.412200004,0.4111,0.414000005,0.417299986,0.421900004,0.424499989,0.42899999,0.431300014,0.43720001,0.441700011,0.448599994,0.452699989,0.457500011,0.460900009,0.467799991,0.470999986,0.473399997,0.476599991,0.480399996,0.48269999,0.484800011,0.486200005,0.489100009,0.49090001,0.490700006,0.491400003,0.494300008,0.494100004,0.496899992,0.498400003,0.49849999,0.501900017,0.503899992,0.504100025,0.504999995,0.506500006,0.507300019,0.506500006,0.508700013,0.504299998,0.509800017,0.505599976,0.506799996,0.505999982,0.509800017,0.504199982,0.511799991,0.502900004,0.507700026,0.50029999,0.50029999,0.495099992,0.495799989,0.490799993,0.493600011,0.487100005,0.488799989,0.482499987,0.481299996,0.475600004,0.478199989,0.471599996,0.469300002,0.466800004,0.464399993,0.461600006,0.460200012,0.456800014,0.454699993,0.450500011,0.448100001,0.444599986,0.441500008,0.439700007,0.435699999,0.433299989,0.430299997,0.426800013,0.424199998,0.421000004,0.417699993,0.416000009,0.413300008,0.409399986,0.408199996,0.404700011,0.401199996,0.397399992,0.396800011,0.391799986,0.390399992,0.386799991,0.386599988,0.381900012,0.381099999,0.376899987,0.374799997,0.372500002,0.371600002,0.368200004,0.367300004,0.362899989
A6,0.088,0.088200003,0.088600002,0.089100003,0.089900002,0.090899996,0.094400004,0.095200002,0.097199999,0.098899998,0.1021,0.1052,0.108400002,0.112800002,0.116700001,0.119199999,0.119000003,0.118799999,0.1193,0.118100002,0.115800001,0.105400003,0.093000002,0.088799998,0.088699996,0.087800004,0.087700002,0.087399997,0.087300003,0.087499999,0.087300003,0.087200001,0.087300003,0.087899998,0.087899998,0.088200003,0.087899998,0.087700002,0.087800004,0.087499999,0.087899998,0.087899998,0.088299997,0.087899998,0.088600002,0.087899998,0.087899998,0.088799998,0.088600002,0.088799998,0.089299999,0.088799998,0.089000002,0.089199997,0.089599997,0.090000004,0.090499997,0.091200002,0.092299998,0.092799999,0.093800001,0.095399998,0.096699998,0.098499998,0.100000001,0.101800002,0.103600003,0.1061,0.1083,0.111699998,0.112999998,0.117700003,0.122100003,0.127599999,0.133100003,0.140499994,0.1479,0.156100005,0.165600002,0.177599996,0.190699995,0.206100002,0.226199999,0.241899997,0.259200007,0.273699999,0.289499998,0.305900007,0.321500003,0.336899996,0.348699987,0.362100005,0.374500006,0.382299989,0.387199998,0.383300006,0.379599988,0.377000004,0.379299998,0.380100012,0.381199986,0.383899987,0.384900004,0.386700004,0.390300006,0.393099993,0.398400009,0.404000014,0.406899989,0.413700014,0.416000009,0.4208,0.421400011,0.425300002,0.42840001,0.432200015,0.4375,0.441500008,0.44600001,0.449900001,0.455500007,0.459699988,0.464100003,0.467799991,0.472799987,0.474099994,0.477699995,0.480399996,0.483799994,0.488499999,0.490999997,0.490399987,0.493800014,0.492399991,0.494800001,0.493999988,0.496899992,0.493499994,0.497399986,0.493099988,0.494100004,0.493499994,0.49180001,0.492199987,0.493400007,0.488099992,0.492700011,0.488200009,0.485199988,0.479799986,0.48300001,0.474000007,0.476700008,0.467900008,0.469799995,0.462000012,0.462500006,0.45570001,0.456900001,0.448599994,0.448100001,0.443199992,0.442099988,0.435699999,0.434700012,0.430400014,0.429800004,0.423900008,0.423999995,0.41839999,0.417400002,0.410699993,0.41049999,0.404500008,0.403499991,0.399300009,0.397599995,0.394899994,0.391900003,0.389200002,0.386299998,0.382699996,0.380299985,0.378800005,0.37560001,0.373400003,0.370799989,0.369300008,0.3662,0.364199996,0.361000001,0.362300009,0.356900007,0.355199993,0.352499992,0.354400009,0.350699991,0.348699987,0.346899986,0.346599996,0.343899995,0.343499988,0.341899991
A7,0.088,0.088500001,0.089299999,0.089299999,0.090000004,0.091300003,0.093800001,0.095299996,0.0977,0.100299999,0.103399999,0.107799999,0.1127,0.119000003,0.126599997,0.135700002,0.144600004,0.154499993,0.162599996,0.174799994,0.180999994,0.185000002,0.171100006,0.146300003,0.127700001,0.114799999,0.104599997,0.098200001,0.095200002,0.092900001,0.091899998,0.091600001,0.091399997,0.091499999,0.091600001,0.091600001,0.091600001,0.091799997,0.091799997,0.091799997,0.092100002,0.092100002,0.092200004,0.092299998,0.092500001,0.092600003,0.092799999,0.092900001,0.093699999,0.0933,0.093500003,0.093900003,0.093999997,0.0942,0.094599999,0.095100001,0.0955,0.096199997,0.097000003,0.0977,0.098899998,0.100199997,0.101599999,0.103399999,0.1052,0.107699998,0.110200003,0.113300003,0.116999999,0.121100001,0.1259,0.131699994,0.138300002,0.145699993,0.154499993,0.165199995,0.177599996,0.192599997,0.2095,0.226300001,0.243100002,0.260600001,0.278200001,0.297800004,0.313699991,0.330799997,0.34830001,0.362599999,0.374199986,0.386099994,0.397000015,0.409799993,0.421499997,0.441199988,0.459500015,0.469399989,0.48269999,0.4912,0.500999987,0.50880003,0.520600021,0.528900027,0.540000021,0.552200019,0.563199997,0.57190001,0.584299982,0.58859998,0.601800025,0.608299971,0.617900014,0.628899992,0.637300014,0.648400009,0.655300021,0.664900005,0.672599971,0.680499971,0.689899981,0.700299978,0.709699988,0.716799974,0.725499988,0.731100023,0.740100026,0.742900014,0.754100025,0.760999978,0.771700025,0.7773,0.785300016,0.791000009,0.799799979,0.803799987,0.814700007,0.817700028,0.826499999,0.831099987,0.840399981,0.842800021,0.852299988,0.853900015,0.862500012,0.863600016,0.87349999,0.873199999,0.881900012,0.8847,0.888000011,0.892700016,0.897099972,0.896600008,0.905499995,0.903100014,0.912500024,0.913100004,0.918299973,0.920099974,0.924799979,0.925300002,0.92809999,0.930499971,0.934400022,0.942499995,0.951099992,0.950699985,0.955500007,0.955200016,0.957300007,0.958500028,0.961899996,0.962300003,0.964600027,0.964399993,0.967700005,0.968800008,0.971899986,0.968999982,0.963400006,0.960600019,0.957599998,0.953499973,0.950600028,0.947600007,0.944299996,0.942499995,0.938799977,0.934199989,0.930999994,0.929499984,0.922900021,0.916999996,0.916499972,0.915199995,0.909200013,0.903999984,0.90170002,0.897400022,0.892700016,0.890100002,0.882099986,0.882200003,0.874499977
A8,0.086400002,0.086800002,0.087200001,0.088,0.088699996,0.090000004,0.092699997,0.094499998,0.096600004,0.099399999,0.102600001,0.107100002,0.112499997,0.118600003,0.126399994,0.135700002,0.144700006,0.153600007,0.161200002,0.173700005,0.178800002,0.184499994,0.172900006,0.148800001,0.132699996,0.114500001,0.105099998,0.098300003,0.0942,0.091899998,0.090700001,0.0902,0.090099998,0.090000004,0.090000004,0.090099998,0.090000004,0.0902,0.0902,0.090300001,0.090400003,0.090499997,0.090599999,0.090700001,0.090899996,0.090999998,0.0911,0.091300003,0.091499999,0.091700003,0.092,0.092299998,0.092699997,0.093099996,0.093599997,0.094300002,0.094999999,0.096000001,0.096900001,0.098300003,0.0995,0.101300001,0.103200004,0.105700001,0.108099997,0.111299999,0.1149,0.1193,0.124200001,0.129600003,0.136700004,0.144099995,0.152999997,0.163699999,0.176499993,0.192399994,0.209099993,0.227200001,0.244599998,0.261999995,0.279399991,0.298799992,0.315699995,0.338099986,0.353799999,0.369700015,0.381999999,0.396400005,0.404500008,0.419200003,0.426999986,0.4454,0.465000004,0.477200001,0.488299996,0.496199995,0.505100012,0.514900029,0.523899972,0.534799993,0.543600023,0.553600013,0.56220001,0.577499986,0.585200012,0.594399989,0.603500009,0.612699986,0.624199986,0.633099973,0.641300023,0.653699994,0.662199974,0.670599997,0.680299997,0.688600004,0.694700003,0.705799997,0.714999974,0.726999998,0.734099984,0.741699994,0.747200012,0.756299973,0.762000024,0.76880002,0.778900027,0.788299978,0.79610002,0.80339998,0.809199989,0.816100001,0.8222,0.827199996,0.835600019,0.840300024,0.845300019,0.854399979,0.856999993,0.861599982,0.8653,0.869899988,0.876100004,0.879400015,0.884899974,0.890900016,0.892099977,0.900399983,0.903299987,0.909699976,0.908299983,0.911199987,0.911800027,0.916400015,0.917699993,0.924000025,0.925599992,0.927600026,0.927200019,0.931100011,0.931299984,0.943300009,0.943199992,0.950800002,0.951399982,0.953199983,0.953199983,0.95480001,0.958199978,0.95599997,0.961199999,0.960699975,0.963,0.956799984,0.958899975,0.951699972,0.953599989,0.946699977,0.944500029,0.943199992,0.941699982,0.936999977,0.935699999,0.931599975,0.928499997,0.925400019,0.922299981,0.918299973,0.916700006,0.913100004,0.910300016,0.905900002,0.902199984,0.899399996,0.895200014,0.889900029,0.888000011,0.881299973,0.879800022,0.87440002,0.871599972,0.867299974,0.861599982
